Tool	Version
Python	Python 3.10.14
Prodigal	Prodigal V2.6.3: February, 2016
MMseqs2	9.d36de
CD-HIT	"====== CD-HIT version 4.8.1 (built on Nov 12 2024) ====== |  | Usage: /workspace/miniconda3/envs/metagenome-gene-catalog-2026.07/bin/cd-hit [Options]  |  | Options |  |    -i	input filename in fasta format, required, can be in .gz format |    -o	output filename, required |    -c	sequence identity threshold, default 0.9 |  	this is the default cd-hit's ""global sequence identity"" calculated as: |  	number of identical amino acids or bases in alignment |  	divided by the full length of t"
SeqKit	seqkit v2.11.0
