Branch	Assembler	Strategy	Mock	InputPairs	RelativePath	SourcePath	SourceCompressedBytes	SourceCompressedSHA256	UpstreamManifest	UpstreamChecksumVerified	NormalizedPath	Contigs	AssemblyBases	MinimumContigBp	CanonicalSequenceSHA256	NormalizedFASTA_SHA256
megahit-m1	MEGAHIT	Individual	MOCK1	1999853	contigs/megahit-single-MOCK1.ge1000.fna.gz	data/small/30-short-read-assembly-frozen/contigs/megahit-single-MOCK1.ge1000.fna.gz	16806769	e3554bafffb94c5e48954f6cbb27de977015c82d8bf98f7a9e6373316e2a4a60	data/small/30-short-read-assembly-frozen/file-checksums.sha256	yes	assemblies/megahit-m1.fna	14794	55461594	1000	a7cd86543682d0ab52a6b6763cf04fa65f7acf5bd9c007b04c86137564d60bea	6a897260010fc68b7538c3facf3d456c9e36e6ab408ce6cbdad63bb2bfb0c54b
megahit-m2	MEGAHIT	Individual	MOCK2	1999888	contigs/megahit-single-MOCK2.ge1000.fna.gz	data/small/30-short-read-assembly-frozen/contigs/megahit-single-MOCK2.ge1000.fna.gz	16504403	a6c6c2eafb40bb557c3eaf21d124b983dd964843e6caa5ef656b3a61c01a3cbf	data/small/30-short-read-assembly-frozen/file-checksums.sha256	yes	assemblies/megahit-m2.fna	14811	54477949	1000	5c44e820697dd7a921f2b0ff1bdd892112f8fc21ee9a5c8bf1eecb24d9a46604	0045b8fd0f93ebf4789028c68ec11ae8df7e3fa5bd7e345ba43c9a111dc01d06
megahit-co	MEGAHIT	Co-assembly	MOCK1+MOCK2	3999741	contigs/megahit-coassembly.ge1000.fna.gz	data/small/30-short-read-assembly-frozen/contigs/megahit-coassembly.ge1000.fna.gz	25559722	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	data/small/30-short-read-assembly-frozen/file-checksums.sha256	yes	assemblies/megahit-co.fna	18354	84811518	1000	cc5581585cc8fab2ce78e15402e1f0b88eb9e6d00881f73aca68d39d8dd6a6fb	5ae895227cb4004316f6e52b3395c30e515e43b2781d9b8b84f31fa35371d813
metaspades-m1	metaSPAdes	Individual	MOCK1	1999853	contigs/metaspades-single-MOCK1.ge1000.fna.gz	data/small/30-short-read-assembly-frozen/contigs/metaspades-single-MOCK1.ge1000.fna.gz	17562509	31f0cc488a4b9f22ddf7c48cfa781768da8a59a2b0a89d93163a88b25d636db5	data/small/30-short-read-assembly-frozen/file-checksums.sha256	yes	assemblies/metaspades-m1.fna	14461	58170565	1000	c3f707850e3ee3a16046320fe9db43c0328ab86c5dcb643cb92da9697304e5bd	f716b6aa19dc2951471e3589e26fa6ef81173a9886ba14fffa1c045dac068c33
metaspades-m2	metaSPAdes	Individual	MOCK2	1999888	contigs/metaspades-single-MOCK2.ge1000.fna.gz	data/small/30-short-read-assembly-frozen/contigs/metaspades-single-MOCK2.ge1000.fna.gz	17221681	5df645a88ee9e996f7495cccf8eb4342e59503a38a115e34f898edbdae2f461e	data/small/30-short-read-assembly-frozen/file-checksums.sha256	yes	assemblies/metaspades-m2.fna	14697	57015313	1000	014d330b31e2740ee2094ef0e1a749af3112d39ce12eb4def05b2b3145830504	47c155f6305ca61ad3789b2c2d31b1b915163a2475dd79ae743f9c15fec59e8b
metaspades-co	metaSPAdes	Co-assembly	MOCK1+MOCK2	3999741	contigs/metaspades-coassembly.ge1000.fna.gz	data/small/30-short-read-assembly-frozen/contigs/metaspades-coassembly.ge1000.fna.gz	26516931	d3d6300e11bfdff2dfc10d4abdf58240e89e856e0f634c81b527cdd5ff7a559e	data/small/30-short-read-assembly-frozen/file-checksums.sha256	yes	assemblies/metaspades-co.fna	19158	88166433	1000	973a7b1ec112dc55e84d833308de428bd0c5cc43cdaef0f66d9b3d4b247eadd9	8f27d60634ac171ef3e89e14d72d8644139a59bed935df13c0959d4764b1286a
