CatalogID	Assembler	Strategy	Method	MinimumAminoAcidIdentity	MinimumMemberCoverage	CoverageMode	ClusterMode	Cascaded	InputFAA	RepresentativesFAA	RepresentativesFNA	MembershipTSV	Stage1MembershipTSV	RawInputGenes	CatalogGenes	RemovedRedundantGenes	CompressionPct	SingletonClusters	SingletonPct	LargestCluster	MedianClusterSize	CompleteGenes	PartialGenes	IncompleteGenes	CompletePct	MedianGeneBp	TotalGeneBp	RepresentativeFromIndividual	RepresentativeFromCoassembly	MixedOriginClusters	RepresentativeFAA_SHA256	RepresentativeFNA_SHA256
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	0.95	0.95	target/member	greedy incremental by length	no	pools/megahit/individual.raw.faa	catalogs/megahit/individual-primary/representatives.faa	catalogs/megahit/individual-primary/representatives.fna	catalogs/megahit/individual-primary/membership.tsv		124206	71520	52686	42.418241	24381	34.089765	33	2.000	47247	22201	2072	66.061242	705.000	58955070	71520	0	0	b39d45f99966cd76582baf2e8b1dedabba09daa8d8b21e43a4ed0a6114607bb7	5612091218459c67f92e954fafe26eed880cebed677b8a42619857d6be88bb9c
megahit-co-primary	MEGAHIT	Co-assembly	No clustering	1.00	1.00	target/member	not applicable	no	pools/megahit/co.raw.faa	catalogs/megahit/co-primary/representatives.faa	catalogs/megahit/co-primary/representatives.fna	catalogs/megahit/co-primary/membership.tsv		91985	91985	0	0.000000	91985	100.000000	1	1.000	64571	25753	1661	70.197315	690.000	75708267	0	91985	0	721b1822d274a7a0f7be99ea1a47c54681b3e2aca4985026a567d220bc80ed92	c1d8334f329eb6e6fc0006cd13ef881c9622096317f377ab763a046844495a54
megahit-mix-primary	MEGAHIT	Mix	MMseqs2 9.d36de	0.95	0.95	target/member	greedy incremental by length	yes	pools/megahit/mix-stage2-primary.faa	catalogs/megahit/mix-primary/representatives.faa	catalogs/megahit/mix-primary/representatives.fna	catalogs/megahit/mix-primary/membership.tsv	catalogs/megahit/individual-primary/membership.tsv	216191	93782	122409	56.620766	30963	33.015931	51	3.000	64849	27124	1809	69.148664	681.000	76730130	30289	63493	62371	005a26d60eaa357ff328b97071b49fe1d580f4e8e488bca1ba49f22dfd01ac17	86b1d6b5dd5bc812b0a6b6d1612f6d0aba8ef8fbff6425ebc627c6d539f3a6f0
metaspades-individual-primary	metaSPAdes	Individual	MMseqs2 9.d36de	0.95	0.95	target/member	greedy incremental by length	no	pools/metaspades/individual.raw.faa	catalogs/metaspades/individual-primary/representatives.faa	catalogs/metaspades/individual-primary/representatives.fna	catalogs/metaspades/individual-primary/membership.tsv		129244	75434	53810	41.634428	26485	35.110163	6	2.000	50912	22573	1949	67.492112	699.000	61948107	75434	0	0	843f521882fe573ba30ed314322e7adc492d47dcd68960caf329e112d933090e	1d9662bb48f4ed3f0e26583d612e7410659bb3d05836a656492e4c21d5597abb
metaspades-co-primary	metaSPAdes	Co-assembly	No clustering	1.00	1.00	target/member	not applicable	no	pools/metaspades/co.raw.faa	catalogs/metaspades/co-primary/representatives.faa	catalogs/metaspades/co-primary/representatives.fna	catalogs/metaspades/co-primary/membership.tsv		95972	95972	0	0.000000	95972	100.000000	1	1.000	67918	26425	1629	70.768557	687.000	78804129	0	95972	0	108beb44504ffb29dd4954b878627a02beacb76a8bc752334e3569df43499ceb	152bdc7c5fe03e8d9be7f47e1fe8837cfa881573da0d51a4972f1e3c4f43b0f7
metaspades-mix-primary	metaSPAdes	Mix	MMseqs2 9.d36de	0.95	0.95	target/member	greedy incremental by length	yes	pools/metaspades/mix-stage2-primary.faa	catalogs/metaspades/mix-primary/representatives.faa	catalogs/metaspades/mix-primary/representatives.fna	catalogs/metaspades/mix-primary/membership.tsv	catalogs/metaspades/individual-primary/membership.tsv	225216	100002	125214	55.597293	34252	34.251315	15	2.000	69151	29044	1807	69.149617	675.000	81066186	33131	66871	65175	22558ff5fd02efcc843f6482bf29e1b3b56ebaefbb2c48079ca5e1b9bc5fbda2	e1fd7191ad2a19f7c849de03947e1e76c5c8559d702791437175f84f55fcd7db
megahit-mix-id90-cov80	MEGAHIT	Mix	MMseqs2 9.d36de	0.90	0.80	target/member	greedy incremental by length	yes	pools/megahit/mix-stage2-id90-cov80.faa	catalogs/megahit/mix-id90-cov80/representatives.faa	catalogs/megahit/mix-id90-cov80/representatives.fna	catalogs/megahit/mix-id90-cov80/membership.tsv	catalogs/megahit/individual-id90-cov80/membership.tsv	216191	91206	124985	57.812305	28892	31.677740	51	3.000	63922	25596	1688	70.085301	687.000	75099153	28697	62509	61807	9c5984f0708d9b1c231bdb2a3dc24cb64e289777844625a14de9c2068279382e	5a9ee327d74196797f34c272a6755eb3b414c8034c99057a5eb3bf2f7332b9c4
megahit-mix-id99-cov95	MEGAHIT	Mix	MMseqs2 9.d36de	0.99	0.95	target/member	greedy incremental by length	yes	pools/megahit/mix-stage2-id99-cov95.faa	catalogs/megahit/mix-id99-cov95/representatives.faa	catalogs/megahit/mix-id99-cov95/representatives.fna	catalogs/megahit/mix-id99-cov95/membership.tsv	catalogs/megahit/individual-id99-cov95/membership.tsv	216191	102761	113430	52.467494	41313	40.202995	51	2.000	67740	32893	2128	65.919950	663.000	82175937	37573	65188	60589	1266063d267b75878afc0a6d76d585b331ca8a1d0491512095e5fae87e34c63d	c962e91c3215bcc74bf97304f65af3c262ecbff2589da401b712fc60cb9b7f01
megahit-mix-cdhit	MEGAHIT	Mix	CD-HIT 4.8.1 local identity	0.95	0.95	target/member	greedy incremental by length	yes	pools/megahit/mix-stage2-primary.faa	catalogs/megahit/mix-cdhit/representatives.faa	catalogs/megahit/mix-cdhit/representatives.fna	catalogs/megahit/mix-cdhit/membership.tsv	catalogs/megahit/individual-primary/membership.tsv	216191	93721	122470	56.648982	30908	32.978735	52	3.000	64798	27114	1809	69.139254	684.000	76735800	52524	41197	62371	84f481675c510d1f63372ed8201aa183bacb370ca545cf88a0d0f436c5fd4e7c	2aa47ccfa703bb0a354d85fccf92e2beed232528e9b2ce412749803b7a695f99
