CatalogID	Assembler	Strategy	Method	TruthGenes	RecoveredTruthGenes	TruthGeneRecoveryPct	TruthNRClusters	RecoveredTruthNRClusters	TruthNRRecoveryPct	TruthCompleteClusters	RecoveredTruthCompleteClusters	TruthCompleteClusterRecoveryPct	CatalogGenes	TruthSupportedCatalogGenes	CatalogTruthSupportPct
megahit-individual-primary	MEGAHIT	Individual	MMseqs2 9.d36de	270679	52354	19.341730	260868	47068	18.042842	260602	47017	18.041688	71520	66831	93.443792
megahit-co-primary	MEGAHIT	Co-assembly	No clustering	270679	69549	25.694273	260868	63703	24.419630	260602	63642	24.421148	91985	88520	96.233081
megahit-mix-primary	MEGAHIT	Mix	MMseqs2 9.d36de	270679	70934	26.205949	260868	64541	24.740865	260602	64469	24.738490	93782	86873	92.632915
metaspades-individual-primary	metaSPAdes	Individual	MMseqs2 9.d36de	270679	54526	20.144156	260868	49480	18.967447	260602	49435	18.969540	75434	69488	92.117613
metaspades-co-primary	metaSPAdes	Co-assembly	No clustering	270679	71340	26.355942	260868	65981	25.292868	260602	65928	25.298348	95972	91656	95.502855
metaspades-mix-primary	metaSPAdes	Mix	MMseqs2 9.d36de	270679	73093	27.003572	260868	67017	25.690004	260602	66958	25.693586	100002	91058	91.056179
megahit-mix-id90-cov80	MEGAHIT	Mix	MMseqs2 9.d36de	270679	70086	25.892663	260868	63777	24.447997	260602	63713	24.448393	91206	85051	93.251540
megahit-mix-id99-cov95	MEGAHIT	Mix	MMseqs2 9.d36de	270679	70970	26.219249	260868	64563	24.749298	260602	64491	24.746932	102761	95649	93.079086
megahit-mix-cdhit	MEGAHIT	Mix	CD-HIT 4.8.1 local identity	270679	70935	26.206318	260868	64543	24.741632	260602	64472	24.739641	93721	86845	92.663331
