Cohort	Study	Role	Country	Samples	Controls	CRC	IndependentSubjects	AgeAvailable	MedianAge	GenderAvailable	SpeciesAtSource	SourceProfileSHA256
FR	ZellerG_2014	Discovery / meta-analysis	FRA	114	61	53	114	114	64	114	661	d8e0f3fd00b2339b1aa929197ca0869c43990ff885a04fc675e70d4aff5604b2
AT	FengQ_2015	Discovery / meta-analysis	AUT	107	61	46	107	107	68	107	615	7d33b4813f36ee3aa49e5ade0598bb6283c724a44591f316d49d9c349c871304
CN	YuJ_2015	Discovery / meta-analysis	CHN	128	54	74	128	128	64	128	584	7c5b4fc3bac6e83371105e147b40c41aa4399f005619da4ed2a92fa6ef777272
US	VogtmannE_2016	Discovery / meta-analysis	USA	104	52	52	104	104	63	104	548	ba624fa7a51c002909b54c8783073e861f3c512c4295cc82571bc6cce9dfe8da
DE	WirbelJ_2018	Discovery / meta-analysis	DEU	125	65	60	125	125	60	125	547	8b7cdc0f4e6ba7546970bef6ae8b62d798488aecb9d0b6af627fb0bd95117fdd
IT-A	ThomasAM_2018a	Independent validation	ITA	53	24	29	53	53	69	53	486	f353bf89c9fa749b9308f27bb3aaedad17a1d48615670b7564c689ac888daf48
IT-B	ThomasAM_2018b	Independent validation	ITA	60	28	32	60	59	59	60	512	6bb1dd1669c824a25e33de719612e54e597cf83a811b8f2173cb099e778f07f8
JP	ThomasAM_2019_c	Independent validation	JPN	80	40	40	80	80	64	80	526	1c32d598e1d050cfa4fba8f13d2a644d8e8146b2aba1dde45ebb30d9e015883e
