Sample	Genome	Mean	Trimmed Mean	Covered Fraction	Relative Abundance (%)	Read Count	ANIr	Length
ERR9765746_clean_R1.fastq.gz	unmapped	NA	NA	NA	29.884571	NA	NA	NA
ERR9765746_clean_R1.fastq.gz	SGB_012	3.3684468	3.281107	0.9484786	1.3077533	47659	0.99743384	2147088
ERR9765746_clean_R1.fastq.gz	SGB_001	5.941474	5.8506136	0.9947823	2.3066957	104226	0.9962543	2614762
ERR9765746_clean_R1.fastq.gz	SGB_016	15.738823	15.49257	0.9994495	6.110382	290853	0.99724156	2770249
ERR9765746_clean_R1.fastq.gz	SGB_015	2.5501273	2.4761248	0.90346617	0.990052	18483	0.9973484	1122363
ERR9765746_clean_R1.fastq.gz	SGB_022	7.406059	7.313758	0.998624	2.875301	230888	0.9959069	4629413
ERR9765746_clean_R1.fastq.gz	SGB_013	2.4214675	2.3386877	0.88617265	0.9401016	21466	0.99592966	1366218
ERR9765746_clean_R1.fastq.gz	SGB_006	4.112062	4.0042286	0.95517385	1.5964518	140332	0.9924497	5210977
ERR9765746_clean_R1.fastq.gz	SGB_020	3.39409	3.32185	0.95514214	1.3177088	45400	0.9948486	2000542
ERR9765746_clean_R1.fastq.gz	SGB_011	8.124507	7.974041	0.99790245	3.1542282	105028	0.99737126	1937978
ERR9765746_clean_R1.fastq.gz	SGB_024	24.943275	24.833855	0.99987364	9.683886	295811	0.9970209	1772843
ERR9765746_clean_R1.fastq.gz	SGB_009	3.3587384	3.2821	0.94770825	1.3039842	23743	0.996314	1083632
ERR9765746_clean_R1.fastq.gz	SGB_007	4.5581026	4.4628463	0.9823522	1.7696209	196913	0.9971169	6481038
ERR9765746_clean_R1.fastq.gz	SGB_018	4.8774066	4.702106	0.95833373	1.8935862	13366	0.9977472	418156
ERR9765746_clean_R1.fastq.gz	SGB_008	2.242659	2.1668932	0.87315845	0.8706817	13679	0.9974447	946551
ERR9765746_clean_R1.fastq.gz	SGB_017	8.80204	8.684447	0.99864763	3.4172714	126409	0.99737823	2151032
ERR9765746_clean_R1.fastq.gz	SGB_003	4.5426416	4.447124	0.98144215	1.7636184	61741	0.99691874	2039351
ERR9765746_clean_R1.fastq.gz	SGB_004	4.8548064	4.7898455	0.9886677	1.8848121	61923	0.99661875	1906417
ERR9765746_clean_R1.fastq.gz	SGB_014	6.9556456	6.885096	0.9986122	2.7004342	89368	0.9975133	1920309
ERR9765746_clean_R1.fastq.gz	SGB_023	20.349552	19.731968	0.9996679	7.900435	230852	0.9969691	1698339
ERR9765746_clean_R1.fastq.gz	SGB_021	3.539668	3.4569862	0.9586317	1.3742275	162431	0.9966119	6915991
ERR9765746_clean_R1.fastq.gz	SGB_019	7.2838264	7.2084517	0.99833536	2.8278458	84589	0.99751574	1736697
ERR9765746_clean_R1.fastq.gz	SGB_010	18.435284	18.35504	0.9996076	7.157246	212607	0.9975823	1727858
ERR9765746_clean_R1.fastq.gz	SGB_005	4.9215727	4.8223286	0.988876	1.9107331	87433	0.99654424	2653984
ERR9765746_clean_R1.fastq.gz	SGB_002	7.877611	7.7139063	0.9981489	3.0583746	139211	0.99705315	2643322
ERR9765747_clean_R1.fastq.gz	unmapped	NA	NA	NA	30.131012	NA	NA	NA
ERR9765747_clean_R1.fastq.gz	SGB_012	3.5123317	3.4119997	0.9523508	1.378362	49735	0.99706954	2147088
