Genome	AnalysisSet	Species	Phylum	ModuleID	DRAMModuleName	METABOLICModuleName	DRAMCoverage	DRAMPresentAt075	METABOLICPresentAt075	Agreement	ComparisonBoundary
SGB_020	Primary real MAG	Halobacterium salinarum	Halobacteriota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.6666666666666666	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_021	Primary real MAG	Rhodopirellula baltica	Planctomycetota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.7777777777777778	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_022	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.7777777777777778	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_023	Primary real MAG	Thermotoga petrophila	Thermotogota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.8888888888888888	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_024	Primary real MAG	Thermotoga neapolitana	Thermotogota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.8888888888888888	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_001	Primary real MAG	Desulfobulbus oralis	Desulfobacterota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.5714285714285714	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_002	Primary real MAG	Nitrosomonas europaea	Pseudomonadota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_003	Primary real MAG	Porphyromonas gingivalis	Bacteroidota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.7142857142857143	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_004	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_005	Primary real MAG	Chlorobium limicola	Bacteroidota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_006	Primary real MAG	Shewanella baltica	Pseudomonadota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_007	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_008	Primary real MAG	Ignicoccus islandicus	Thermoproteota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.2857142857142857	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_009	Primary real MAG	Ignicoccus hospitalis	Thermoproteota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.2857142857142857	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_010	Primary real MAG	Methanocaldococcus jannaschii	AGJL01	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.7142857142857143	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_011	Primary real MAG	Methanocatella oralis	Methanobacteriota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.14285714285714285	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_012	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.42857142857142855	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_013	Primary real MAG	Methanococcus maripaludis_D	AGJL01	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.7142857142857143	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_014	Primary real MAG	Persephonella marina	Aquificota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.7142857142857143	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_015	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.7142857142857143	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_016	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.7142857142857143	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_017	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_018	Primary real MAG	Nanoarchaeum equitans	Nanobdellota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_019	Primary real MAG	Pyrococcus horikoshii	Methanobacteriota_B	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.2857142857142857	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_020	Primary real MAG	Halobacterium salinarum	Halobacteriota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.42857142857142855	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_021	Primary real MAG	Rhodopirellula baltica	Planctomycetota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.8571428571428571	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_022	Primary real MAG	Gemmatimonas aurantiaca	Gemmatimonadota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.8571428571428571	true	false	false	same KOfam snapshot; tool-specific module-step definitions
SGB_023	Primary real MAG	Thermotoga petrophila	Thermotogota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	0.8571428571428571	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_024	Primary real MAG	Thermotoga neapolitana	Thermotogota	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pentose phosphate pathway (Pentose phosphate cycle)	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_001	Primary real MAG	Desulfobulbus oralis	Desulfobacterota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_002	Primary real MAG	Nitrosomonas europaea	Pseudomonadota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.5	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_003	Primary real MAG	Porphyromonas gingivalis	Bacteroidota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_004	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.5	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_005	Primary real MAG	Chlorobium limicola	Bacteroidota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.25	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_006	Primary real MAG	Shewanella baltica	Pseudomonadota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_007	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.5	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_008	Primary real MAG	Ignicoccus islandicus	Thermoproteota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_009	Primary real MAG	Ignicoccus hospitalis	Thermoproteota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_010	Primary real MAG	Methanocaldococcus jannaschii	AGJL01	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_011	Primary real MAG	Methanocatella oralis	Methanobacteriota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_012	Primary real MAG	Fusobacterium nucleatum	Fusobacteriota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_013	Primary real MAG	Methanococcus maripaludis_D	AGJL01	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_014	Primary real MAG	Persephonella marina	Aquificota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_015	Primary real MAG	Hydrogenobaculum sp003543175	Aquificota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.25	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_016	Primary real MAG	Caldicellulosiruptor saccharolyticus	Bacillota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.25	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_017	Primary real MAG	Thermoanaerobacter pseudethanolicus	Bacillota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.5	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_018	Primary real MAG	Nanoarchaeum equitans	Nanobdellota	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	false	false	true	same KOfam snapshot; tool-specific module-step definitions
