Profile	RequestedByMETABOLICv4	PresentInKOfam2026_06_01	CompatibilityAction
K05283.hmm	true	true	included
K03847.hmm	true	true	included
K08691.hmm	true	true	included
K02266.hmm	true	true	included
K20861.hmm	true	true	included
K18906.hmm	true	true	included
K11389.hmm	true	true	included
K15016.hmm	true	true	included
K15964.hmm	true	true	included
K01714.hmm	true	true	included
K22800.hmm	true	true	included
K02302.hmm	true	true	included
K00625.hmm	true	true	included
K03960.hmm	true	true	included
K03860.hmm	true	true	included
K14083.hmm	true	true	included
K00979.hmm	true	true	included
K00405.hmm	true	true	included
K19889.hmm	true	true	included
K18970.hmm	true	true	included
K02546.hmm	true	true	included
K03967.hmm	true	true	included
K00836.hmm	true	true	included
K18253.hmm	true	true	included
K21173.hmm	true	true	included
K02190.hmm	true	true	included
K13384.hmm	true	true	included
K21070.hmm	true	true	included
K03948.hmm	true	true	included
K00381.hmm	true	true	included
K18859.hmm	true	true	included
K15750.hmm	true	true	included
K21295.hmm	true	true	included
K05917.hmm	true	true	included
K21064.hmm	true	true	included
K14976.hmm	true	true	included
K00705.hmm	true	true	included
K00128.hmm	true	true	included
K12670.hmm	true	true	included
K25986.hmm	true	true	included
K00804.hmm	true	true	included
K20086.hmm	true	true	included
K07282.hmm	true	true	included
K07644.hmm	true	true	included
K11539.hmm	true	true	included
K00967.hmm	true	true	included
K12094.hmm	true	true	included
K03644.hmm	true	true	included
K02270.hmm	true	true	included
K02548.hmm	true	true	included
K02371.hmm	true	true	included
K00360.hmm	true	true	included
K22096.hmm	true	true	included
K01077.hmm	true	true	included
K02693.hmm	true	true	included
K02045.hmm	true	true	included
K00993.hmm	true	true	included
K00643.hmm	true	true	included
K18907.hmm	true	true	included
K24257.hmm	true	true	included
K12639.hmm	true	true	included
K05553.hmm	true	true	included
K20436.hmm	true	true	included
K03225.hmm	true	true	included
K00374.hmm	true	true	included
K02637.hmm	true	true	included
K14632.hmm	true	true	included
K00414.hmm	true	true	included
K08964.hmm	true	true	included
K19744.hmm	true	true	included
K13230.hmm	true	true	included
K02297.hmm	true	true	included
K05582.hmm	true	true	included
K17399.hmm	true	true	included
K03230.hmm	true	true	included
K03886.hmm	true	true	included
K18299.hmm	true	true	included
K05532.hmm	true	true	included
K09913.hmm	true	true	included
K03888.hmm	true	true	included
K02496.hmm	true	true	included
K00498.hmm	true	true	included
K01716.hmm	true	true	included
K22284.hmm	true	true	included
K02527.hmm	true	true	included
K01588.hmm	true	true	included
K07511.hmm	true	true	included
K05826.hmm	true	true	included
K24559.hmm	true	true	included
K15739.hmm	true	true	included
K01698.hmm	true	true	included
K01848.hmm	true	true	included
K18352.hmm	true	true	included
K20081.hmm	true	true	included
K00451.hmm	true	true	included
K17877.hmm	true	true	included
K14066.hmm	true	true	included
K19547.hmm	true	true	included
K01933.hmm	true	true	included
K01432.hmm	true	true	included
K02305.hmm	true	true	included
K18903.hmm	true	true	included
K13787.hmm	true	true	included
K26178.hmm	true	true	included
K04712.hmm	true	true	included
K00734.hmm	true	true	included
K01845.hmm	true	true	included
K14266.hmm	true	true	included
K10948.hmm	true	true	included
K01057.hmm	true	true	included
K21780.hmm	true	true	included
K01581.hmm	true	true	included
K13027.hmm	true	true	included
K09840.hmm	true	true	included
K00332.hmm	true	true	included
K01958.hmm	true	true	included
K22923.hmm	true	true	included
K22116.hmm	true	true	included
K07665.hmm	true	true	included
K23750.hmm	true	true	included
K00246.hmm	true	true	included
K00227.hmm	true	true	included
K00611.hmm	true	true	included
K00137.hmm	true	true	included
K15357.hmm	true	true	included
K02535.hmm	true	true	included
K22802.hmm	true	true	included
K26211.hmm	true	true	included
K09883.hmm	true	true	included
K00023.hmm	true	true	included
K00928.hmm	true	true	included
K01244.hmm	true	true	included
K17069.hmm	true	true	included
K15968.hmm	true	true	included
K03527.hmm	true	true	included
K00058.hmm	true	true	included
K08645.hmm	true	true	included
K22568.hmm	true	true	included
K00013.hmm	true	true	included
K19211.hmm	true	true	included
K12349.hmm	true	true	included
K01520.hmm	true	true	included
K00067.hmm	true	true	included
K00275.hmm	true	true	included
K18295.hmm	true	true	included
K00207.hmm	true	true	included
K01602.hmm	true	true	included
K00244.hmm	true	true	included
K21225.hmm	true	true	included
K12407.hmm	true	true	included
K03182.hmm	true	true	included
K22095.hmm	true	true	included
K16884.hmm	true	true	included
K03185.hmm	true	true	included
