Label	Command	ExitStatus	Stdout	Stderr	Timing
dram-annotate		0	/workspace/wechat/Metagenome/work/article59/logs/dram-annotate.stdout.log	/workspace/wechat/Metagenome/work/article59/logs/dram-annotate.stderr.log	/workspace/wechat/Metagenome/work/article59/logs/dram-annotate.time.txt
dram-distill		0	/workspace/wechat/Metagenome/work/article59/logs/dram-distill.stdout.log	/workspace/wechat/Metagenome/work/article59/logs/dram-distill.stderr.log	/workspace/wechat/Metagenome/work/article59/logs/dram-distill.time.txt
dram-merge		0	/workspace/wechat/Metagenome/work/article59/logs/dram-merge.stdout.log	/workspace/wechat/Metagenome/work/article59/logs/dram-merge.stderr.log	/workspace/wechat/Metagenome/work/article59/logs/dram-merge.time.txt
metabolic-g	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/perl /workspace/wechat/Metagenome/work/article59/tools/METABOLIC/METABOLIC-G.pl -t 32 -m-cutoff 0.75 -in /workspace/wechat/Metagenome/work/article59/metabolic-proteins -kofam-db small -o /workspace/wechat/Metagenome/work/article59/metabolic-output	0	/workspace/wechat/Metagenome/work/article59/logs/metabolic-g.stdout.log	/workspace/wechat/Metagenome/work/article59/logs/metabolic-g.stderr.log	/workspace/wechat/Metagenome/work/article59/logs/metabolic-g.time.txt
metabolic-prodigal	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/parallel --jobs 32 --halt now,fail=1 --joblog /workspace/wechat/Metagenome/work/article59/logs/metabolic-prodigal.joblog.tsv :::: /workspace/wechat/Metagenome/work/article59/metabolic-prodigal-commands.txt	0	/workspace/wechat/Metagenome/work/article59/logs/metabolic-prodigal.stdout.log	/workspace/wechat/Metagenome/work/article59/logs/metabolic-prodigal.stderr.log	/workspace/wechat/Metagenome/work/article59/logs/metabolic-prodigal.time.txt
