Tool	VersionEvidence
DRAM	/workspace/miniconda3/envs/metagenome-dram-2026.07/lib/python3.10/site-packages/mag_annotator/database_handler.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
Python isolation	numpy=1.23.5;skbio=0.5.8;user_site_disabled
METABOLIC-G	METABOLIC-G.pl v4.0
HMMER	# hmmsearch :: search profile(s) against a sequence database
DIAMOND	diamond version 2.2.2
Prodigal	Prodigal V2.6.3: February, 2016
