Branch	WallSeconds	PeakRSSGiB	Threads	Splits
reference-benchmark	186.630	2.750084	16	16
coassembly	1092.210	2.825478	16	16
staphylococcus	182.640	2.711781	16	16
plasmid-to-reference alignment	10.790	1.604504	16	NA
