Database	Release	ReleaseIdentity	Status
geNomad database	v1.9	Zenodo 14886553; archive MD5 67244b528bb8bed464d1ca147136d33e	PASS
CARD	4.0.1	card.json SHA-256 dee4dcdb0d9c7f79107452d64211d816d1eab55289ddf8dc5f1e99ddfdc5e111	PASS
