Metric	Numerator	Denominator	Estimate	Wilson95Lower	Wilson95Upper
Sensitivity	33	43	0.7674418604651163	0.62255479702191	0.8684632152061552
Precision	33	34	0.9705882352941176	0.8508442670731406	0.9947890937237309
Specificity	42	43	0.9767441860465116	0.8794100655939282	0.9958829127256662
