Asset	SourcePath	Bytes	ExpectedSHA256	ObservedSHA256	ChecksumPass
MOCK_002.fasta.gz	data/raw/article32/benchmark_mock/reference/MOCK_002.fasta.gz	88738977	5617cc377fc503141d7a27d7c52ce874e3393e3939a9fdcbbd43fe0268c6092c	5617cc377fc503141d7a27d7c52ce874e3393e3939a9fdcbbd43fe0268c6092c	true
megahit-coassembly.ge1000.fna.gz	data/small/30-short-read-assembly-frozen/contigs/megahit-coassembly.ge1000.fna.gz	25559722	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	true
coassembly.txt	work/article38/coassembly/coassembly.txt	16587604	ce859071af7596e9c80ec28b37601edcb448441a1549ab41fe0949f99db76fd2	ce859071af7596e9c80ec28b37601edcb448441a1549ab41fe0949f99db76fd2	true
staphylococcus.txt	work/article38/staphylococcus/staphylococcus.txt	584386	b67d3033a6fdd3789978dba97be8ea8a020a5f30ad18a8f8aa6642ebdf7c6175	b67d3033a6fdd3789978dba97be8ea8a020a5f30ad18a8f8aa6642ebdf7c6175	true
