Tool	Version	Role
geNomad	1.12.0	plasmid classification and marker annotation
geNomad database	1.9 (ICTV MSL39)	marker and taxonomy database
RGI	6.0.8	independent Perfect/Strict ARG calls
CARD	4.0.1	RGI resistance models
minimap2	2.31-r1302	candidate-to-exact-reference alignment
