Input	PublicIdentity	Origin	Records	Bases	Role
mock2-all-references.fna.gz	PRJEB52977 MOCK2 exact references	Meslier benchmark_mock fixed commit	399	292802018	full identity inventory and alignment reference
matched-reference-replicons.fna.gz	43 plasmids plus 43 length-matched other replicons	deterministic no-replacement matching within MOCK2 references	86	10224313	balanced geNomad reference benchmark
coassembly.fna.gz	PRJEB52977 MOCK1+MOCK2 4M-pair subset	MEGAHIT 1.2.9 meta-sensitive; contigs >=1 kb	18354	84811518	metagenomic plasmid discovery and ARG context
staphylococcus-USA300.fna	GCA_000013465.1	exact MOCK2 reference set	4	2917469	real plasmid-borne ARG positive control
