Label	Command	ExitStatus	Stdout	Stderr	Timing
genomad-reference-benchmark	/workspace/miniconda3/envs/metagenome-virus-discovery-2026.07/bin/genomad end-to-end --cleanup --restart --disable-find-proviruses --threads 16 --splits 16 /workspace/wechat/Metagenome/work/article57/inputs/matched-reference-replicons.fna.gz /workspace/wechat/Metagenome/work/article57/results/reference-benchmark /workspace/wechat/Metagenome/db/virus-discovery-cache/databases/genomad_db	0	/workspace/wechat/Metagenome/work/article57/logs/genomad-reference-benchmark.stdout.log	/workspace/wechat/Metagenome/work/article57/logs/genomad-reference-benchmark.stderr.log	/workspace/wechat/Metagenome/work/article57/logs/genomad-reference-benchmark.time.txt
genomad-coassembly	/workspace/miniconda3/envs/metagenome-virus-discovery-2026.07/bin/genomad end-to-end --cleanup --restart --disable-find-proviruses --threads 16 --splits 16 /workspace/wechat/Metagenome/data/small/30-short-read-assembly-frozen/contigs/megahit-coassembly.ge1000.fna.gz /workspace/wechat/Metagenome/work/article57/results/coassembly /workspace/wechat/Metagenome/db/virus-discovery-cache/databases/genomad_db	0	/workspace/wechat/Metagenome/work/article57/logs/genomad-coassembly.stdout.log	/workspace/wechat/Metagenome/work/article57/logs/genomad-coassembly.stderr.log	/workspace/wechat/Metagenome/work/article57/logs/genomad-coassembly.time.txt
genomad-staphylococcus	/workspace/miniconda3/envs/metagenome-virus-discovery-2026.07/bin/genomad end-to-end --cleanup --restart --disable-find-proviruses --threads 16 --splits 16 /workspace/wechat/Metagenome/work/article57/inputs/staphylococcus-USA300.fna /workspace/wechat/Metagenome/work/article57/results/staphylococcus /workspace/wechat/Metagenome/db/virus-discovery-cache/databases/genomad_db	0	/workspace/wechat/Metagenome/work/article57/logs/genomad-staphylococcus.stdout.log	/workspace/wechat/Metagenome/work/article57/logs/genomad-staphylococcus.stderr.log	/workspace/wechat/Metagenome/work/article57/logs/genomad-staphylococcus.time.txt
minimap2-plasmid-truth	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/minimap2 -x asm5 --secondary=no -t 16 -o /workspace/wechat/Metagenome/work/article57/results/coassembly-plasmid-to-reference.paf /workspace/wechat/Metagenome/data/raw/article32/benchmark_mock/reference/MOCK_002.fasta.gz /workspace/wechat/Metagenome/work/article57/results/coassembly/megahit-coassembly.ge1000_summary/megahit-coassembly.ge1000_plasmid.fna	0	/workspace/wechat/Metagenome/work/article57/logs/minimap2-plasmid-truth.stdout.log	/workspace/wechat/Metagenome/work/article57/logs/minimap2-plasmid-truth.stderr.log	/workspace/wechat/Metagenome/work/article57/logs/minimap2-plasmid-truth.time.txt
