name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Shewanella baltica	62322	S	843	3508	4351	0.07062
Shewanella loihica	359303	S	25	101	126	0.00204
Pseudomonas marginalis	298	S	65	2570	2635	0.04277
Nitrosomonas europaea	915	S	492	2487	2979	0.04835
Paraburkholderia xenovorans	36873	S	362	535	897	0.01456
Leptothrix cholodnii	34029	S	28	11	39	0.00063
Ruegeria pomeroyi	89184	S	30	7	37	0.00060
Chlorobium limicola	1092	S	1642	101	1743	0.02829
Chlorobium phaeovibrioides	1094	S	788	70	858	0.01393
Chlorobium phaeobacteroides	1096	S	715	42	757	0.01229
Chlorobaculum tepidum	1097	S	384	151	535	0.00868
Porphyromonas gingivalis	837	S	1276	126	1402	0.02275
Phocaeicola vulgatus	821	S	219	450	669	0.01086
Bacteroides thetaiotaomicron	818	S	189	175	364	0.00591
Gemmatimonas aurantiaca	173480	S	4278	150	4428	0.07187
Rhodopirellula baltica	265606	S	2933	344	3277	0.05319
Akkermansia muciniphila	239935	S	372	86	458	0.00743
Desulfobulbus oralis	1986146	S	1946	123	2069	0.03358
Geobacter sulfurreducens	35554	S	141	272	413	0.00670
Desulfovibrio piger	901	S	142	23	165	0.00268
Persephonella marina	309805	S	1696	16	1712	0.02779
Sulfurihydrogenibium sp. YO3AOP1	436114	S	210	10	220	0.00357
Hydrogenobaculum sp. Y04AAS1	380749	S	220	207	427	0.00693
Treponema denticola	158	S	56	288	344	0.00558
Wolinella succinogenes	844	S	314	11	325	0.00527
Acidobacterium capsulatum	33075	S	247	12	259	0.00420
Dictyoglomus turgidum	513050	S	69	5	74	0.00120
Caldicellulosiruptor saccharolyticus	44001	S	975	4958	5933	0.09629
Caldicellulosiruptor bescii	31899	S	86	320	406	0.00659
Acetivibrio thermocellus	1515	S	262	143	405	0.00657
Chloroflexus aurantiacus	1108	S	780	20	800	0.01298
Salinispora tropica	168695	S	120	57	177	0.00287
Thermotoga petrophila	93929	S	820	4192	5012	0.08135
Thermotoga neapolitana	2337	S	495	5131	5626	0.09131
Deinococcus radiodurans	1299	S	32	85	117	0.00190
Fusobacterium nucleatum	851	S	58	701	759	0.01232
Methanocaldococcus jannaschii	2190	S	2716	996	3712	0.06025
Methanococcus maripaludis	39152	S	531	125	656	0.01065
Methanothermus sociabilis	2181	S	1661	37	1698	0.02756
Methanopyrus kandleri	2320	S	194	31	225	0.00365
Pyrococcus horikoshii	53953	S	1610	77	1687	0.02738
Halobacterium salinarum	2242	S	109	1119	1228	0.01993
Methanomethylovorans hollandica	101192	S	14	2	16	0.00026
Archaeoglobus fulgidus	2234	S	243	3	246	0.00399
Candidatus Aciduliprofundum boonei	379547	S	10	0	10	0.00016
Ignicoccus hospitalis	160233	S	557	2	559	0.00907
Ignicoccus islandicus	54259	S	391	0	391	0.00635
Pyrobaculum calidifontis	181486	S	318	2	320	0.00519
Pyrobaculum aerophilum	13773	S	45	0	45	0.00073
