name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Shewanella baltica	62322	S	42	492	534	0.08173
Nitrosomonas europaea	915	S	31	332	363	0.05556
Paraburkholderia xenovorans	36873	S	25	87	112	0.01714
Chlorobium limicola	1092	S	155	25	180	0.02755
Chlorobium phaeobacteroides	1096	S	71	11	82	0.01255
Chlorobium phaeovibrioides	1094	S	45	13	58	0.00888
Chlorobaculum tepidum	1097	S	31	31	62	0.00949
Porphyromonas gingivalis	837	S	126	22	148	0.02265
Phocaeicola vulgatus	821	S	16	64	80	0.01224
Bacteroides thetaiotaomicron	818	S	26	31	57	0.00872
Gemmatimonas aurantiaca	173480	S	458	79	537	0.08219
Rhodopirellula baltica	265606	S	296	99	395	0.06045
Akkermansia muciniphila	239935	S	32	19	51	0.00781
Persephonella marina	309805	S	198	10	208	0.03183
Sulfurihydrogenibium sp. YO3AOP1	436114	S	23	4	27	0.00413
Hydrogenobaculum sp. Y04AAS1	380749	S	12	37	49	0.00750
Desulfobulbus oralis	1986146	S	206	52	258	0.03949
Wolinella succinogenes	844	S	33	5	38	0.00582
Acidobacterium capsulatum	33075	S	26	2	28	0.00429
Thermotoga neapolitana	2337	S	46	839	885	0.13545
Thermotoga petrophila	93929	S	34	367	401	0.06137
Caldicellulosiruptor saccharolyticus	44001	S	52	653	705	0.10790
Acetivibrio thermocellus	1515	S	27	58	85	0.01301
Chloroflexus aurantiacus	1108	S	101	10	111	0.01699
Salinispora tropica	168695	S	12	11	23	0.00352
Methanocaldococcus jannaschii	2190	S	168	277	445	0.06811
Methanococcus maripaludis	39152	S	37	24	61	0.00934
Methanothermus sociabilis	2181	S	119	14	133	0.02036
Methanopyrus kandleri	2320	S	16	14	30	0.00459
Pyrococcus horikoshii	53953	S	182	24	206	0.03153
Archaeoglobus fulgidus	2234	S	27	0	27	0.00413
Ignicoccus hospitalis	160233	S	59	2	61	0.00934
Ignicoccus islandicus	54259	S	44	0	44	0.00673
Pyrobaculum calidifontis	181486	S	32	1	33	0.00505
