name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Shewanella baltica	62322	S	82	674	756	0.07870
Nitrosomonas europaea	915	S	54	449	503	0.05236
Paraburkholderia xenovorans	36873	S	46	114	160	0.01666
Chlorobium limicola	1092	S	264	31	295	0.03071
Chlorobium phaeobacteroides	1096	S	110	15	125	0.01301
Chlorobium phaeovibrioides	1094	S	106	17	123	0.01280
Chlorobaculum tepidum	1097	S	44	47	91	0.00947
Porphyromonas gingivalis	837	S	192	31	223	0.02321
Phocaeicola vulgatus	821	S	31	90	121	0.01260
Bacteroides thetaiotaomicron	818	S	25	28	53	0.00552
Gemmatimonas aurantiaca	173480	S	700	85	785	0.08172
Rhodopirellula baltica	265606	S	431	100	531	0.05528
Akkermansia muciniphila	239935	S	62	27	89	0.00927
Desulfobulbus oralis	1986146	S	300	46	346	0.03602
Geobacter sulfurreducens	35554	S	13	47	60	0.00625
Desulfovibrio piger	901	S	17	4	21	0.00219
Persephonella marina	309805	S	279	12	291	0.03029
Sulfurihydrogenibium sp. YO3AOP1	436114	S	28	2	30	0.00312
Hydrogenobaculum sp. Y04AAS1	380749	S	26	46	72	0.00750
Wolinella succinogenes	844	S	55	4	59	0.00614
Acidobacterium capsulatum	33075	S	40	3	43	0.00448
Dictyoglomus turgidum	513050	S	13	0	13	0.00135
Caldicellulosiruptor saccharolyticus	44001	S	101	886	987	0.10275
Caldicellulosiruptor bescii	31899	S	14	107	121	0.01260
Acetivibrio thermocellus	1515	S	41	30	71	0.00739
Chloroflexus aurantiacus	1108	S	128	10	138	0.01437
Salinispora tropica	168695	S	23	12	35	0.00364
Thermotoga petrophila	93929	S	90	541	631	0.06569
Thermotoga neapolitana	2337	S	80	1044	1124	0.11701
Methanocaldococcus jannaschii	2190	S	336	244	580	0.06038
Methanococcus maripaludis	39152	S	64	29	93	0.00968
Methanothermus sociabilis	2181	S	214	18	232	0.02415
Methanopyrus kandleri	2320	S	30	8	38	0.00396
Pyrococcus horikoshii	53953	S	246	38	284	0.02956
Halobacterium salinarum	2242	S	15	175	190	0.01978
Archaeoglobus fulgidus	2234	S	37	0	37	0.00385
Ignicoccus hospitalis	160233	S	91	3	94	0.00979
Ignicoccus islandicus	54259	S	80	1	81	0.00843
Pyrobaculum calidifontis	181486	S	58	3	61	0.00635
