name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Chlorobium limicola	1092	S	2431	4	2435	0.02752
Chlorobium phaeovibrioides	1094	S	1487	9	1496	0.01691
Chlorobium phaeobacteroides	1096	S	1024	3	1027	0.01161
Pelodictyon luteolum	1100	S	32	0	32	0.00036
Chlorobaculum tepidum	1097	S	744	3	747	0.00844
Porphyromonas gingivalis	837	S	1803	58	1861	0.02104
Phocaeicola vulgatus	821	S	700	152	852	0.00963
Bacteroides thetaiotaomicron	818	S	401	43	444	0.00502
Gemmatimonas aurantiaca	173480	S	5972	3	5975	0.06754
Shewanella baltica	62322	S	4355	969	5324	0.06018
Shewanella loihica	359303	S	338	61	399	0.00451
Pseudomonas marginalis	298	S	1165	2520	3685	0.04165
Pseudomonas putida	303	S	10	67	77	0.00087
Nitrosomonas europaea	915	S	2661	1038	3699	0.04181
Paraburkholderia xenovorans	36873	S	1001	86	1087	0.01229
Bordetella bronchiseptica	518	S	51	164	215	0.00243
Leptothrix cholodnii	34029	S	61	0	61	0.00069
Ruegeria pomeroyi	89184	S	53	1	54	0.00061
Rhodopirellula baltica	265606	S	4254	24	4278	0.04835
Akkermansia muciniphila	239935	S	607	2	609	0.00688
Desulfobulbus oralis	1986146	S	2837	2	2839	0.03209
Desulfovibrio piger	901	S	533	5	538	0.00608
Geobacter sulfurreducens	35554	S	485	50	535	0.00605
Persephonella marina	309805	S	2343	0	2343	0.02648
Sulfurihydrogenibium sp. YO3AOP1	436114	S	311	0	311	0.00352
Hydrogenobaculum sp. Y04AAS1	380749	S	615	8	623	0.00704
Treponema denticola	158	S	409	114	523	0.00591
Wolinella succinogenes	844	S	433	0	433	0.00489
Acidobacterium capsulatum	33075	S	337	0	337	0.00381
Dictyoglomus turgidum	513050	S	103	0	103	0.00116
Caldicellulosiruptor saccharolyticus	44001	S	5219	2500	7719	0.08725
Caldicellulosiruptor bescii	31899	S	425	144	569	0.00643
Caldicellulosiruptor changbaiensis	1222016	S	28	10	38	0.00043
Caldicellulosiruptor sp. DIB 104C	3019889	S	28	18	46	0.00052
Caldicellulosiruptor naganoensis	29324	S	25	3	28	0.00032
Thermoanaerobacter mathranii	583357	S	12	124	136	0.00154
Thermoanaerobacter wiegelii	46354	S	20	617	637	0.00720
Thermoanaerobacter sp. RKWS2	2983842	S	10	870	880	0.00995
Thermoanaerobacter ethanolicus	1757	S	11	1099	1110	0.01255
Thermoanaerobacter siderophilus	106578	S	10	850	860	0.00972
Acetivibrio thermocellus	1515	S	411	18	429	0.00485
Desulfitobacterium dehalogenans	36854	S	13	1	14	0.00016
Enterococcus faecalis	1351	S	14	74	88	0.00099
Chloroflexus aurantiacus	1108	S	1053	1	1054	0.01191
Salinispora tropica	168695	S	276	32	308	0.00348
Thermotoga petrophila	93929	S	2868	3094	5962	0.06739
Thermotoga neapolitana	2337	S	2730	5361	8091	0.09145
Thermotoga sp. Cell2	1157947	S	17	58	75	0.00085
Thermotoga sp. 2812B	1157948	S	11	8	19	0.00021
Thermotoga maritima	2336	S	12	24	36	0.00041
Deinococcus radiodurans	1299	S	159	21	180	0.00203
Fusobacterium nucleatum	851	S	863	303	1166	0.01318
Fusobacterium animalis	76859	S	15	1	16	0.00018
Fusobacterium polymorphum	76857	S	11	1	12	0.00014
Methanocaldococcus jannaschii	2190	S	5383	55	5438	0.06147
Methanococcus maripaludis	39152	S	1019	9	1028	0.01162
Methanothermus sociabilis	2181	S	3045	1	3046	0.03443
Methanobrevibacter sp. YE315	1609968	S	36	7	43	0.00049
Methanobrevibacter millerae	230361	S	26	2	28	0.00032
Methanobrevibacter smithii	2173	S	16	43	59	0.00067
Methanopyrus kandleri	2320	S	300	0	300	0.00339
Pyrococcus horikoshii	53953	S	2138	49	2187	0.02472
Halobacterium salinarum	2242	S	710	956	1666	0.01883
Haloferax volcanii	2246	S	12	3	15	0.00017
Methanosarcina acetivorans	2214	S	19	0	19	0.00021
Methanomethylovorans hollandica	101192	S	19	0	19	0.00021
Archaeoglobus fulgidus	2234	S	331	0	331	0.00374
Candidatus Aciduliprofundum boonei	379547	S	14	0	14	0.00016
Ignicoccus hospitalis	160233	S	749	0	749	0.00847
Ignicoccus islandicus	54259	S	508	1	509	0.00575
Pyrobaculum calidifontis	181486	S	436	0	436	0.00493
Pyrobaculum aerophilum	13773	S	59	0	59	0.00067
Sulfurisphaera tokodaii	111955	S	59	12	71	0.00080
Homo sapiens	9606	S	12	0	12	0.00014
