name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Shewanella baltica	62322	S	917	2886	3803	0.06846
Shewanella loihica	359303	S	42	128	170	0.00306
Pseudomonas marginalis	298	S	100	2294	2394	0.04309
Nitrosomonas europaea	915	S	516	2038	2554	0.04597
Paraburkholderia xenovorans	36873	S	365	412	777	0.01399
Leptothrix cholodnii	34029	S	27	13	40	0.00072
Ruegeria pomeroyi	89184	S	29	6	35	0.00063
Chlorobium limicola	1092	S	1492	77	1569	0.02824
Chlorobium phaeovibrioides	1094	S	746	56	802	0.01444
Chlorobium phaeobacteroides	1096	S	631	37	668	0.01202
Chlorobaculum tepidum	1097	S	382	105	487	0.00877
Porphyromonas gingivalis	837	S	1117	99	1216	0.02189
Phocaeicola vulgatus	821	S	227	370	597	0.01075
Bacteroides thetaiotaomicron	818	S	212	121	333	0.00599
Gemmatimonas aurantiaca	173480	S	3886	158	4044	0.07280
Rhodopirellula baltica	265606	S	2667	305	2972	0.05350
Akkermansia muciniphila	239935	S	354	62	416	0.00749
Desulfobulbus oralis	1986146	S	1805	119	1924	0.03463
Geobacter sulfurreducens	35554	S	150	209	359	0.00646
Desulfovibrio piger	901	S	154	24	178	0.00320
Persephonella marina	309805	S	1497	21	1518	0.02733
Sulfurihydrogenibium sp. YO3AOP1	436114	S	195	6	201	0.00362
Hydrogenobaculum sp. Y04AAS1	380749	S	227	169	396	0.00713
Treponema denticola	158	S	80	243	323	0.00581
Wolinella succinogenes	844	S	285	8	293	0.00527
Acidobacterium capsulatum	33075	S	220	11	231	0.00416
Dictyoglomus turgidum	513050	S	64	2	66	0.00119
Caldicellulosiruptor saccharolyticus	44001	S	1133	4138	5271	0.09488
Caldicellulosiruptor bescii	31899	S	92	281	373	0.00671
Acetivibrio thermocellus	1515	S	254	76	330	0.00594
Chloroflexus aurantiacus	1108	S	690	11	701	0.01262
Salinispora tropica	168695	S	108	51	159	0.00286
Thermotoga petrophila	93929	S	841	3455	4296	0.07733
Thermotoga neapolitana	2337	S	549	4669	5218	0.09393
Deinococcus radiodurans	1299	S	40	70	110	0.00198
Fusobacterium nucleatum	851	S	96	620	716	0.01289
Methanocaldococcus jannaschii	2190	S	2650	733	3383	0.06090
Methanococcus maripaludis	39152	S	545	95	640	0.01152
Methanothermus sociabilis	2181	S	1592	30	1622	0.02920
Methanopyrus kandleri	2320	S	184	17	201	0.00362
Pyrococcus horikoshii	53953	S	1453	81	1534	0.02761
Halobacterium salinarum	2242	S	110	993	1103	0.01985
Methanomethylovorans hollandica	101192	S	14	1	15	0.00027
Methanosarcina acetivorans	2214	S	11	2	13	0.00023
Archaeoglobus fulgidus	2234	S	222	1	223	0.00401
Candidatus Aciduliprofundum boonei	379547	S	11	0	11	0.00020
Ignicoccus hospitalis	160233	S	502	7	509	0.00916
Ignicoccus islandicus	54259	S	369	3	372	0.00670
Pyrobaculum calidifontis	181486	S	274	3	277	0.00499
Pyrobaculum aerophilum	13773	S	41	0	41	0.00074
Sulfurisphaera tokodaii	111955	S	12	33	45	0.00081
