name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	6296	5418	11714	0.76293
Borreliella burgdorferi	139	S	3335	304	3639	0.23701
