name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Chlorobium limicola	1092	S	2292	49	2341	0.02865
Chlorobium phaeovibrioides	1094	S	1344	39	1383	0.01692
Chlorobium phaeobacteroides	1096	S	971	22	993	0.01215
Pelodictyon luteolum	1100	S	19	0	19	0.00023
Chlorobaculum tepidum	1097	S	670	52	722	0.00883
Porphyromonas gingivalis	837	S	1691	87	1778	0.02176
Phocaeicola vulgatus	821	S	455	412	867	0.01061
Bacteroides thetaiotaomicron	818	S	330	121	451	0.00552
Gemmatimonas aurantiaca	173480	S	5760	31	5791	0.07086
Shewanella baltica	62322	S	2204	3125	5329	0.06521
Shewanella loihica	359303	S	120	167	287	0.00351
Pseudomonas marginalis	298	S	315	3301	3616	0.04425
Nitrosomonas europaea	915	S	1199	2441	3640	0.04454
Paraburkholderia xenovorans	36873	S	701	376	1077	0.01318
Bordetella bronchiseptica	518	S	15	184	199	0.00244
Leptothrix cholodnii	34029	S	54	10	64	0.00078
Ruegeria pomeroyi	89184	S	50	2	52	0.00064
Rhodopirellula baltica	265606	S	4020	144	4164	0.05095
Akkermansia muciniphila	239935	S	565	33	598	0.00732
Desulfobulbus oralis	1986146	S	2696	35	2731	0.03342
Geobacter sulfurreducens	35554	S	321	199	520	0.00636
Desulfovibrio piger	901	S	361	27	388	0.00475
Persephonella marina	309805	S	2258	4	2262	0.02768
Sulfurihydrogenibium sp. YO3AOP1	436114	S	299	2	301	0.00368
Hydrogenobaculum sp. Y04AAS1	380749	S	472	124	596	0.00729
Treponema denticola	158	S	202	306	508	0.00622
Wolinella succinogenes	844	S	421	5	426	0.00521
Acidobacterium capsulatum	33075	S	328	3	331	0.00405
Dictyoglomus turgidum	513050	S	101	1	102	0.00125
Caldicellulosiruptor saccharolyticus	44001	S	2599	5141	7740	0.09471
Caldicellulosiruptor bescii	31899	S	194	276	470	0.00575
Acetivibrio thermocellus	1515	S	375	53	428	0.00524
Desulfitobacterium dehalogenans	36854	S	13	0	13	0.00016
Chloroflexus aurantiacus	1108	S	1015	6	1021	0.01249
Salinispora tropica	168695	S	212	80	292	0.00357
Thermotoga petrophila	93929	S	1794	4659	6453	0.07896
Thermotoga neapolitana	2337	S	1182	6171	7353	0.08997
Deinococcus radiodurans	1299	S	94	81	175	0.00214
Fusobacterium nucleatum	851	S	308	831	1139	0.01394
Methanocaldococcus jannaschii	2190	S	4710	463	5173	0.06330
Methanococcus maripaludis	39152	S	916	62	978	0.01197
Methanothermus sociabilis	2181	S	2729	15	2744	0.03358
Methanopyrus kandleri	2320	S	280	8	288	0.00352
Pyrococcus horikoshii	53953	S	2063	59	2122	0.02597
Halobacterium salinarum	2242	S	256	1363	1619	0.01981
Methanomethylovorans hollandica	101192	S	19	0	19	0.00023
Methanosarcina acetivorans	2214	S	17	0	17	0.00021
Archaeoglobus fulgidus	2234	S	322	0	322	0.00394
Candidatus Aciduliprofundum boonei	379547	S	14	0	14	0.00017
Ignicoccus hospitalis	160233	S	724	2	726	0.00888
Ignicoccus islandicus	54259	S	502	1	503	0.00615
Pyrobaculum calidifontis	181486	S	424	0	424	0.00519
Pyrobaculum aerophilum	13773	S	59	0	59	0.00072
Sulfurisphaera tokodaii	111955	S	35	35	70	0.00086
