name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Shewanella baltica	62322	S	106	822	928	0.07722
Nitrosomonas europaea	915	S	78	572	650	0.05409
Paraburkholderia xenovorans	36873	S	57	137	194	0.01614
Chlorobium limicola	1092	S	335	40	375	0.03120
Chlorobium phaeovibrioides	1094	S	137	21	158	0.01315
Chlorobium phaeobacteroides	1096	S	129	17	146	0.01215
Chlorobaculum tepidum	1097	S	60	54	114	0.00949
Porphyromonas gingivalis	837	S	243	40	283	0.02355
Phocaeicola vulgatus	821	S	43	122	165	0.01373
Bacteroides thetaiotaomicron	818	S	31	40	71	0.00591
Gemmatimonas aurantiaca	173480	S	852	106	958	0.07971
Rhodopirellula baltica	265606	S	563	118	681	0.05667
Akkermansia muciniphila	239935	S	75	35	110	0.00915
Desulfobulbus oralis	1986146	S	377	64	441	0.03669
Geobacter sulfurreducens	35554	S	18	53	71	0.00591
Desulfovibrio piger	901	S	21	5	26	0.00216
Persephonella marina	309805	S	342	16	358	0.02979
Sulfurihydrogenibium sp. YO3AOP1	436114	S	34	4	38	0.00316
Hydrogenobaculum sp. Y04AAS1	380749	S	30	58	88	0.00732
Treponema denticola	158	S	10	62	72	0.00599
Wolinella succinogenes	844	S	64	6	70	0.00582
Acidobacterium capsulatum	33075	S	48	6	54	0.00449
Dictyoglomus turgidum	513050	S	14	0	14	0.00116
Caldicellulosiruptor saccharolyticus	44001	S	126	1106	1232	0.10251
Caldicellulosiruptor bescii	31899	S	16	121	137	0.01140
Acetivibrio thermocellus	1515	S	56	43	99	0.00824
Chloroflexus aurantiacus	1108	S	165	12	177	0.01473
Salinispora tropica	168695	S	26	17	43	0.00358
Thermotoga petrophila	93929	S	117	679	796	0.06623
Thermotoga neapolitana	2337	S	96	1271	1367	0.11375
Methanocaldococcus jannaschii	2190	S	415	292	707	0.05883
Methanococcus maripaludis	39152	S	81	40	121	0.01007
Methanothermus sociabilis	2181	S	263	19	282	0.02346
Methanopyrus kandleri	2320	S	35	13	48	0.00399
Pyrococcus horikoshii	53953	S	304	43	347	0.02887
Halobacterium salinarum	2242	S	17	219	236	0.01964
Archaeoglobus fulgidus	2234	S	48	0	48	0.00399
Ignicoccus hospitalis	160233	S	110	4	114	0.00949
Ignicoccus islandicus	54259	S	92	2	94	0.00782
Pyrobaculum calidifontis	181486	S	71	3	74	0.00616
Pyrobaculum aerophilum	13773	S	10	0	10	0.00083
