name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Chlorobium limicola	1092	S	2268	14	2282	0.02751
Chlorobium phaeovibrioides	1094	S	1331	16	1347	0.01624
Chlorobium phaeobacteroides	1096	S	950	10	960	0.01157
Pelodictyon luteolum	1100	S	24	0	24	0.00029
Chlorobaculum tepidum	1097	S	685	12	697	0.00840
Porphyromonas gingivalis	837	S	1693	78	1771	0.02135
Phocaeicola vulgatus	821	S	623	179	802	0.00967
Bacteroides thetaiotaomicron	818	S	355	65	420	0.00506
Gemmatimonas aurantiaca	173480	S	5641	9	5650	0.06810
Shewanella baltica	62322	S	3618	1526	5144	0.06200
Shewanella loihica	359303	S	250	87	337	0.00406
Pseudomonas marginalis	298	S	833	2718	3551	0.04280
Nitrosomonas europaea	915	S	2156	1363	3519	0.04242
Paraburkholderia xenovorans	36873	S	871	151	1022	0.01232
Bordetella bronchiseptica	518	S	32	172	204	0.00246
Leptothrix cholodnii	34029	S	56	1	57	0.00069
Ruegeria pomeroyi	89184	S	48	1	49	0.00059
Rhodopirellula baltica	265606	S	4010	41	4051	0.04883
Akkermansia muciniphila	239935	S	577	5	582	0.00702
Desulfobulbus oralis	1986146	S	2663	8	2671	0.03220
Geobacter sulfurreducens	35554	S	409	97	506	0.00610
Desulfovibrio piger	901	S	394	5	399	0.00481
Persephonella marina	309805	S	2206	1	2207	0.02660
Sulfurihydrogenibium sp. YO3AOP1	436114	S	290	0	290	0.00350
Hydrogenobaculum sp. Y04AAS1	380749	S	559	31	590	0.00711
Treponema denticola	158	S	337	152	489	0.00589
Wolinella succinogenes	844	S	407	1	408	0.00492
Acidobacterium capsulatum	33075	S	324	0	324	0.00391
Dictyoglomus turgidum	513050	S	98	1	99	0.00119
Caldicellulosiruptor saccharolyticus	44001	S	4241	3074	7315	0.08817
Caldicellulosiruptor bescii	31899	S	343	202	545	0.00657
Caldicellulosiruptor changbaiensis	1222016	S	20	11	31	0.00037
Caldicellulosiruptor naganoensis	29324	S	19	3	22	0.00027
Caldicellulosiruptor sp. DIB 104C	3019889	S	17	17	34	0.00041
Thermoanaerobacter wiegelii	46354	S	13	3341	3354	0.04043
Acetivibrio thermocellus	1515	S	384	23	407	0.00491
Desulfitobacterium dehalogenans	36854	S	11	0	11	0.00013
Chloroflexus aurantiacus	1108	S	986	4	990	0.01193
Salinispora tropica	168695	S	241	26	267	0.00322
Thermotoga petrophila	93929	S	2404	3217	5621	0.06775
Thermotoga neapolitana	2337	S	2141	5613	7754	0.09346
Thermotoga sp. Cell2	1157947	S	11	55	66	0.00080
Thermotoga maritima	2336	S	10	28	38	0.00046
Deinococcus radiodurans	1299	S	131	35	166	0.00200
Fusobacterium nucleatum	851	S	634	424	1058	0.01275
Methanocaldococcus jannaschii	2190	S	4964	97	5061	0.06100
Methanococcus maripaludis	39152	S	926	11	937	0.01129
Methanothermus sociabilis	2181	S	2716	2	2718	0.03276
Methanobrevibacter sp. YE315	1609968	S	16	18	34	0.00041
Methanobrevibacter millerae	230361	S	13	13	26	0.00031
Methanopyrus kandleri	2320	S	280	2	282	0.00340
Pyrococcus horikoshii	53953	S	2041	48	2089	0.02518
Halobacterium salinarum	2242	S	525	1026	1551	0.01870
Haloferax volcanii	2246	S	11	2	13	0.00016
Methanosarcina acetivorans	2214	S	17	0	17	0.00020
Methanomethylovorans hollandica	101192	S	17	0	17	0.00020
Archaeoglobus fulgidus	2234	S	316	0	316	0.00381
Candidatus Aciduliprofundum boonei	379547	S	13	0	13	0.00016
Ignicoccus hospitalis	160233	S	712	0	712	0.00858
Ignicoccus islandicus	54259	S	488	0	488	0.00588
Pyrobaculum calidifontis	181486	S	411	0	411	0.00495
Pyrobaculum aerophilum	13773	S	56	0	56	0.00067
Sulfurisphaera tokodaii	111955	S	48	18	66	0.00080
