Mate	RunAccession	Records	Bases	CompressedBytes	CompressedSHA256	PairIDHash
R1	ERR9765746	99991	14974589	8661319	ce438de2814a6e605cc24b00e53b697d018f325bc2a9694cece5be158ff32101	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
R2	ERR9765746	99991	14835184	10045722	207d080cd5dc98bd10fd4af8c492fb3f2000f73e1458a9d1d77e57347f4fe459	457cef6e9d603790dfbc26b716b0498169b54c31bc903d067d449d8dcc86770d
