Output	ExpectedRelationship	Features	Violations	MaximumAbsoluteDifference	MaximumRelativeDifference	NonadditiveFeatures	MedianStrataToCommunityRatio
Gene families	Community equals sum of strata	11776	0	1.000088900582341e-10	2.558282416047341e-11	0	1.0
Regrouped reactions	Community equals sum of strata	1402	0	2.00003569261753e-10	1.5705916345070465e-11	0	1.0
Pathway abundance	Community and strata solved separately	147	0	54.6177407262	1.0	147	0.0
