DatabaseID	Tool	ToolVersion	ReleaseID	ArchiveURL	EffectiveURL	RemoteContentLength	ArchiveBytes	ChecksumAlgorithm	ExpectedChecksum	PublisherChecksumAlgorithm	PublisherExpectedChecksum	PublisherObservedChecksum	ObservedSHA256	VerificationLevel	RetrievedAtUTC	ArchiveIntegrity	InstalledFiles	InstalledBytes	InstalledPath	DownloadGate	ValidationStatus
metaphlan-vjun23-metadata	MetaPhlAn	4.2.5	mpa_vJun23_CHOCOPhlAnSGB_202403-metadata	https://cmprod1.cibio.unitn.it/biobakery4/metaphlan_databases/mpa_vJun23_CHOCOPhlAnSGB_202403.tar	https://cmprod1.cibio.unitn.it/biobakery4/metaphlan_databases/mpa_vJun23_CHOCOPhlAnSGB_202403.tar	3316336640	3316336640	md5	d985de75a217cd319e721863f68e7d33	md5	d985de75a217cd319e721863f68e7d33	d985de75a217cd319e721863f68e7d33	a32901406fa9dec50329439724abac78dd4f95badbd53ad490cfce7f4c68cd83	publisher-checksum	2026-07-22T02:10:28Z	tar-list-pass	10	26306067254	${HUMANN_CACHE_ROOT}/installed/metaphlan-vjun23	enabled	PUBLISHER_MD5_AVAILABLE
metaphlan-vjun23-bowtie2	MetaPhlAn	4.2.5	mpa_vJun23_CHOCOPhlAnSGB_202403-bowtie2	https://cmprod1.cibio.unitn.it/biobakery4/metaphlan_databases/bowtie2_indexes/mpa_vJun23_CHOCOPhlAnSGB_202403_bt2.tar	https://cmprod1.cibio.unitn.it/biobakery4/metaphlan_databases/bowtie2_indexes/mpa_vJun23_CHOCOPhlAnSGB_202403_bt2.tar	22989752320	22989752320	md5	8caae86b4d2931416cbdbb92f5985cef	md5	8caae86b4d2931416cbdbb92f5985cef	8caae86b4d2931416cbdbb92f5985cef	8f5fde97f35710623cdc8bc9a47937869ffe8e50f9abcacdee738562651cb440	publisher-checksum	2026-07-22T02:46:33Z	tar-list-pass	10	26306067254	${HUMANN_CACHE_ROOT}/installed/metaphlan-vjun23	enabled	PUBLISHER_MD5_AVAILABLE
humann-chocophlan-full	HUMAnN	3.9	v201901_v31-full	https://huttenhower.sph.harvard.edu/humann_data/chocophlan/full_chocophlan.v201901_v31.tar.gz	https://g-227ca.190ebd.75bc.data.globus.org/humann_data/chocophlan/full_chocophlan.v201901_v31.tar.gz	16502062909	16502062909	sha256	7ed1b9e159838d125462f4723f98887fcb27f8e3e90f3490768c986d65d55f7b	none	unpublished	unpublished	7ed1b9e159838d125462f4723f98887fcb27f8e3e90f3490768c986d65d55f7b	retrieval-lock	2026-07-22T03:19:49Z	tar-list-pass	12773	16497929304	${HUMANN_CACHE_ROOT}/installed/humann-chocophlan-v201901-v31	enabled	RETRIEVAL_SHA256_LOCKED
humann-uniref90-full	HUMAnN	3.9	v201901b-uniref90-annotated-full	https://huttenhower.sph.harvard.edu/humann_data/uniprot/uniref_annotated/uniref90_annotated_v201901b_full.tar.gz	https://g-227ca.190ebd.75bc.data.globus.org/humann_data/uniprot/uniref_annotated/uniref90_annotated_v201901b_full.tar.gz	20579913329	20579913329	sha256	1fe799bb8824b0a9720c10887ee2ef2c3386462ed4a89bd8941c0a8b2cac07d2	none	unpublished	unpublished	1fe799bb8824b0a9720c10887ee2ef2c3386462ed4a89bd8941c0a8b2cac07d2	retrieval-lock	2026-07-22T03:28:27Z	tar-list-pass	1	36332007356	${HUMANN_CACHE_ROOT}/installed/humann-uniref90-v201901b	enabled	RETRIEVAL_SHA256_LOCKED
