Stage	Reads	FractionOfInput	Definition
Input	199982	1.0	Concatenated R1 and R2 individual reads
Nucleotide mapped	63968	0.31986878819093717	Accepted ChocoPhlAn nucleotide alignments
Translated mapped	3033	0.015166364972847556	Accepted UniRef90 DIAMOND alignments after nucleotide search
Unmapped	132981	0.6649648468362153	Reads unaligned after both search tiers
