Genome	Tool	RetentionObservedPct	Genes	DraftReactions	GapfillAddedReactions	GapfillAddedFractionPct	FilledRichBiomass	FilledRichGrowth	FilledMinimalBiomass	FilledMinimalGrowth
TRUNC_050	gapseq	52.036793	1289	1106	225	16.904583	0.0477333877	true	0	false
TRUNC_050	CarveMe	52.036793	1289	1215	19	1.539708	0.535574749	true	0	false
TRUNC_070	gapseq	70.175068	1713	1397	188	11.861199	0.186068661	true	0	false
TRUNC_070	CarveMe	70.175068	1713	1226	19	1.526104	0.424203496	true	0	false
TRUNC_090	gapseq	91.069344	2221	1630	146	8.220721	0.903169864	true	0	false
TRUNC_090	CarveMe	91.069344	2221	1406	2	0.142045	0.805286076	true	0	false
TRUNC_100	gapseq	100.000000	2468	1671	136	7.526287	0.903169864	true	0	false
TRUNC_100	CarveMe	100.000000	2468	1449	3	0.206612	0.781177485	true	0.668206024	true
