Genome	Species	Domain	Tool	DraftReactions	FilledReactions	AddedReactions	AddedInternalReactions	AddedGPRBackedReactions	AddedWithoutGPR	RemovedReactions	AddedFractionOfFilledPct	HighGapfillBurdenGt10Pct	TopAddedReactionIDsAndNames
SGB_018	Nanoarchaeum equitans	Archaea	gapseq	116	401	285	241	0	285	0	71.072319	true	R_EX_cpd00012_e0:PPi-e0 Exchange;R_EX_cpd00018_e0:AMP Exchange;R_EX_cpd00027_e0:D-Glucose Exchange;R_EX_cpd00031_e0:GDP-e0 Exchange;R_EX_cpd00033_e0:Glycine Exchange;R_EX_cpd00035_e0:L-Alanine Exchange;R_EX_cpd00038_e0:GTP Exchange;R_EX_cpd00039_e0:L-Lysine Exchange;R_EX_cpd00046_e0:CMP Exchange;R_EX_cpd00051_e0:L-Arginine Exchange;R_EX_cpd00052_e0:CTP Exchange;R_EX_cpd00053_e0:L-Glutamine Exchange;R_EX_cpd00054_e0:L-Serine Exchange;R_EX_cpd00060_e0:L-Methionine Exchange;R_EX_cpd00062_e0:UTP Exchange;R_EX_cpd00065_e0:L-Tryptophan Exchange;R_EX_cpd00066_e0:L-Phenylalanine Exchange;R_EX_cpd00069_e0:L-Tyrosine Exchange;R_EX_cpd00076_e0:Sucrose Exchange;R_EX_cpd00084_e0:L-Cysteine Exchange
SGB_018	Nanoarchaeum equitans	Archaea	CarveMe	340	438	98	84	0	98	0	22.374429	true	R_5HBZIDMT:5-hydroxybenzimidazole methyltransferase;R_5HBZIDS2:5-hydroxybenzimidazole synthase;R_ACALD:Acetaldehyde dehydrogenase (acetylating);R_ACMANApts:N-acetyl-D-mannosamine transport via PTS;R_ACPS:Acyl Carrier Protein Synthase;R_AGDC:N-acetylglucosamine-6-phosphate deacetylase;R_AKGDH:2-Oxogluterate dehydrogenase;R_ALKP:Alkaline phosphatase;R_AMANAPEr:N-acetylmannosamine 6-phosphate epimerase;R_APSR:Adenosine 5'-phosphosulfate reductase;;R_ARGSL:Argininosuccinate lyase;R_ARGSS:Argininosuccinate synthase;R_ASNN_1:L-asparaginase;R_ASPte:Diffusion of aspartate into blood;R_BARB:MNXR70450;R_BGLK:Beta-glucoside kinase;R_BG_CELLB:Beta glucosidase  cellobiose ;R_BZDH:Benzaldehyde dehydrogenase;R_CBPS_1:Carbamoyl-phosphate synthase (glutamine-hydrolysing);R_CELLB_Et:Cellobiose transport (transport mechanism unknown - evidence from biolog data)
SGB_021	Rhodopirellula baltica	Bacteria	gapseq	1554	1796	242	202	0	242	0	13.474388	true	R_EX_cpd00003_e0:NAD-e0 Exchange;R_EX_cpd00010_e0:CoA-e0 Exchange;R_EX_cpd00045_e0:Adenosine 3-5-bisphosphate-e0 Exchange;R_EX_cpd00051_e0:L-Arginine-e0 Exchange;R_EX_cpd00064_e0:Ornithine-e0 Exchange;R_EX_cpd00065_e0:L-Tryptophan-e0 Exchange;R_EX_cpd00076_e0:Sucrose-e0 Exchange;R_EX_cpd00080_e0:Glycerol-3-phosphate-e0 Exchange;R_EX_cpd00098_e0:Choline-e0 Exchange;R_EX_cpd00099_e0:Cl-e0 Exchange;R_EX_cpd00107_e0:L-Leucine-e0 Exchange;R_EX_cpd00118_e0:Putrescine-e0 Exchange;R_EX_cpd00119_e0:L-Histidine-e0 Exchange;R_EX_cpd00122_e0:N-Acetyl-D-glucosamine-e0 Exchange;R_EX_cpd00129_e0:L-Proline-e0 Exchange;R_EX_cpd00130_e0:L-Malate-e0 Exchange;R_EX_cpd00139_e0:Glycolate-e0 Exchange;R_EX_cpd00156_e0:L-Valine-e0 Exchange;R_EX_cpd00161_e0:L-Threonine-e0 Exchange;R_EX_cpd00220_e0:Riboflavin-e0 Exchange
SGB_021	Rhodopirellula baltica	Bacteria	CarveMe	1881	1883	2	2	0	2	0	0.106213	false	R_BZ12DOX:Benzoate 1,2-dioxygenase;R_BZDIOLDH:1,2-dihydrodihydroxybenzoate dehydrogenase
SGB_024	Thermotoga neapolitana	Bacteria	gapseq	1435	1644	209	189	0	209	0	12.712895	true	R_EX_cpd00010_e0:CoA-e0 Exchange;R_EX_cpd00020_e0:Pyruvate-e0 Exchange;R_EX_cpd00030_e0:Mn2-plus-e0 Exchange;R_EX_cpd00033_e0:Glycine-e0 Exchange;R_EX_cpd00099_e0:Cl-e0 Exchange;R_EX_cpd00115_e0:dATP-e0 Exchange;R_EX_cpd00158_e0:CELB-e0 Exchange;R_EX_cpd00218_e0:Niacin-e0 Exchange;R_EX_cpd00220_e0:Riboflavin-e0 Exchange;R_EX_cpd00254_e0:Mg-e0 Exchange;R_EX_cpd00309_e0:XAN-e0 Exchange;R_EX_cpd00793_e0:Thiamine-phosphate-e0 Exchange;R_EX_cpd03198_e0:Melibiose-e0 Exchange;R_EX_cpd03587_e0:kdo2-lipid a-e0 Exchange;R_EX_cpd11416_c0:EX cpd11416 c0;R_EX_cpd11581_e0:gly-asn-L-e0 Exchange;R_EX_cpd11587_e0:Ala-Gln-e0 Exchange;R_EX_cpd11590_e0:met-L-ala-L-e0 Exchange;R_EX_cpd15605_e0:Gly-Phe-e0 Exchange;R_EX_cpd15606_e0:Gly-Tyr-e0 Exchange
SGB_024	Thermotoga neapolitana	Bacteria	CarveMe	925	936	11	10	0	11	0	1.175214	false	R_ADCL:4-aminobenzoate synthase;R_ASNN:L-asparaginase;R_BZDH:Benzaldehyde dehydrogenase;R_CAt6:CAt6;R_CSND:Cytosine deaminase;R_EX_thm_e:R_EX_thm_e;R_GLXO3r:Glyoxylate dehydrogenase;R_NADS2:Nicotinate-mononucleotide adenylyltransferase;R_PABB:PABB;R_PHPYROX:Phenylpyruvate oxidation chemical ;R_THMtrbc:Thiamine transprot (passive - red blood cell)
TRUNC_050	Nitrosomonas europaea	Bacteria	gapseq	1106	1331	225	196	0	225	0	16.904583	true	R_EX_cpd00012_e0:PPi-e0 Exchange;R_EX_cpd00023_e0:L-Glutamate-e0 Exchange;R_EX_cpd00024_e0:2-Oxoglutarate-e0 Exchange;R_EX_cpd00028_e0:Heme-e0 Exchange;R_EX_cpd00041_e0:L-Aspartate-e0 Exchange;R_EX_cpd00045_e0:Adenosine 3-5-bisphosphate-e0 Exchange;R_EX_cpd00054_e0:L-Serine-e0 Exchange;R_EX_cpd00076_e0:Sucrose-e0 Exchange;R_EX_cpd00099_e0:Cl-e0 Exchange;R_EX_cpd00105_e0:D-Ribose-e0 Exchange;R_EX_cpd00115_e0:dATP-e0 Exchange;R_EX_cpd00119_e0:L-Histidine-e0 Exchange;R_EX_cpd00129_e0:L-Proline-e0 Exchange;R_EX_cpd00161_e0:L-Threonine-e0 Exchange;R_EX_cpd00210_e0:Taurine-e0 Exchange;R_EX_cpd00218_e0:Niacin-e0 Exchange;R_EX_cpd00220_e0:Riboflavin-e0 Exchange;R_EX_cpd00241_e0:dGTP-e0 Exchange;R_EX_cpd00246_e0:Inosine-e0 Exchange;R_EX_cpd00281_e0:GABA-c0 Exchange
TRUNC_050	Nitrosomonas europaea	Bacteria	CarveMe	1215	1234	19	16	0	19	0	1.539708	false	R_BZDH:Benzaldehyde dehydrogenase;R_DNADDP:Deamino-NAD+ nucleotidohydrolase;R_EX_phe__L_e:R_EX_phe__L_e;R_EX_trp__L_e:R_EX_trp__L_e;R_EX_tyr__L_e:R_EX_tyr__L_e;R_GLUDC:Glutamate Decarboxylase;R_HSDy:Homoserine dehydrogenase (NADPH);R_HSST:Homoserine O-succinyltransferase;R_ILEt2r:L isoleucine reversible transport via proton symport;R_NADS1_1:NAD synthase (nh3);R_PEPC:Phosphoenolpyruvate carboxylase;R_PHEtec:L-phenylalanine transport via diffusion (extracellular to cytosol);R_PHPYROX:Phenylpyruvate oxidation chemical ;R_RPE:Ribulose 5-phosphate 3-epimerase;R_TRPt2r:L tryptophan reversible transport via proton symport;R_TYRt:L-tyrosine transport;R_UAAGDS:UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase;R_UAMAGS:UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase;R_UAMAS:UDP-N-acetylmuramoyl-L-alanine synthetase
TRUNC_070	Nitrosomonas europaea	Bacteria	gapseq	1397	1585	188	165	0	188	0	11.861199	true	R_EX_cpd00023_e0:L-Glutamate-e0 Exchange;R_EX_cpd00024_e0:2-Oxoglutarate-e0 Exchange;R_EX_cpd00027_e0:D-Glucose-e0 Exchange;R_EX_cpd00033_e0:Glycine-e0 Exchange;R_EX_cpd00035_e0:L-Alanine-e0 Exchange;R_EX_cpd00038_e0:GTP-e0 Exchange;R_EX_cpd00041_e0:L-Aspartate-e0 Exchange;R_EX_cpd00045_e0:Adenosine 3-5-bisphosphate-e0 Exchange;R_EX_cpd00053_e0:L-Glutamine-e0 Exchange;R_EX_cpd00065_e0:L-Tryptophan-e0 Exchange;R_EX_cpd00066_e0:L-Phenylalanine-e0 Exchange;R_EX_cpd00099_e0:Cl-e0 Exchange;R_EX_cpd00129_e0:L-Proline-e0 Exchange;R_EX_cpd00161_e0:L-Threonine-e0 Exchange;R_EX_cpd00210_e0:Taurine-e0 Exchange;R_EX_cpd00220_e0:Riboflavin-e0 Exchange;R_EX_cpd00281_e0:GABA-c0 Exchange;R_EX_cpd00793_e0:Thiamine-phosphate-e0 Exchange;R_EX_cpd11416_c0:EX cpd11416 c0;R_EX_cpd11582_e0:ala-L-Thr-L-e0 Exchange
TRUNC_070	Nitrosomonas europaea	Bacteria	CarveMe	1226	1245	19	15	0	19	0	1.526104	false	R_ARGSS2:Argininosuccinate synthase, reversible;R_ARNO:NA;R_BZDH:Benzaldehyde dehydrogenase;R_EX_nac_e:R_EX_nac_e;R_EX_pnto__R_e:R_EX_pnto__R_e;R_EX_ribflv_e:R_EX_ribflv_e;R_EX_trp__L_e:R_EX_trp__L_e;R_HSST:Homoserine O-succinyltransferase;R_ILEt2r:L isoleucine reversible transport via proton symport;R_LEUt2r:L leucine reversible transport via proton symport;R_LEUt2rpp:L-leucine reversible transport via proton symport (periplasm);R_NACt:Nicotinic acid transport;R_NAPRT:NAPRTase (rev);R_PHPYROX:Phenylpyruvate oxidation chemical ;R_PNTOte:Transport of (R)-Pantothenate;R_PYK5:Pyruvate kinase(5);R_RIBFLVt2:Riboflavin transport in via proton symport;R_THRD:L-threonine dehydrogenase;R_TRPt2r:L tryptophan reversible transport via proton symport
TRUNC_090	Nitrosomonas europaea	Bacteria	gapseq	1630	1776	146	123	0	146	0	8.220721	false	R_EX_cpd00023_e0:L-Glutamate-e0 Exchange;R_EX_cpd00024_e0:2-Oxoglutarate-e0 Exchange;R_EX_cpd00033_e0:Glycine-e0 Exchange;R_EX_cpd00035_e0:L-Alanine-e0 Exchange;R_EX_cpd00038_e0:GTP-e0 Exchange;R_EX_cpd00041_e0:L-Aspartate-e0 Exchange;R_EX_cpd00045_e0:Adenosine 3-5-bisphosphate-e0 Exchange;R_EX_cpd00054_e0:L-Serine-e0 Exchange;R_EX_cpd00065_e0:L-Tryptophan-e0 Exchange;R_EX_cpd00066_e0:L-Phenylalanine-e0 Exchange;R_EX_cpd00099_e0:Cl-e0 Exchange;R_EX_cpd00105_e0:D-Ribose-e0 Exchange;R_EX_cpd00106_e0:Fumarate-e0 Exchange;R_EX_cpd00119_e0:L-Histidine-e0 Exchange;R_EX_cpd00129_e0:L-Proline-e0 Exchange;R_EX_cpd00132_e0:L-Asparagine-e0 Exchange;R_EX_cpd00137_e0:Citrate-e0 Exchange;R_EX_cpd00161_e0:L-Threonine-e0 Exchange;R_EX_cpd00210_e0:Taurine-e0 Exchange;R_EX_cpd00218_e0:Niacin-e0 Exchange
TRUNC_090	Nitrosomonas europaea	Bacteria	CarveMe	1406	1408	2	2	0	2	0	0.142045	false	R_BZDH:Benzaldehyde dehydrogenase;R_PHPYROX:Phenylpyruvate oxidation chemical 
TRUNC_100	Nitrosomonas europaea	Bacteria	gapseq	1671	1807	136	114	0	136	0	7.526287	false	R_EX_cpd00023_e0:L-Glutamate-e0 Exchange;R_EX_cpd00024_e0:2-Oxoglutarate-e0 Exchange;R_EX_cpd00033_e0:Glycine-e0 Exchange;R_EX_cpd00035_e0:L-Alanine-e0 Exchange;R_EX_cpd00038_e0:GTP-e0 Exchange;R_EX_cpd00041_e0:L-Aspartate-e0 Exchange;R_EX_cpd00054_e0:L-Serine-e0 Exchange;R_EX_cpd00065_e0:L-Tryptophan-e0 Exchange;R_EX_cpd00066_e0:L-Phenylalanine-e0 Exchange;R_EX_cpd00099_e0:Cl-e0 Exchange;R_EX_cpd00105_e0:D-Ribose-e0 Exchange;R_EX_cpd00106_e0:Fumarate-e0 Exchange;R_EX_cpd00119_e0:L-Histidine-e0 Exchange;R_EX_cpd00129_e0:L-Proline-e0 Exchange;R_EX_cpd00132_e0:L-Asparagine-e0 Exchange;R_EX_cpd00137_e0:Citrate-e0 Exchange;R_EX_cpd00161_e0:L-Threonine-e0 Exchange;R_EX_cpd00210_e0:Taurine-e0 Exchange;R_EX_cpd00218_e0:Niacin-e0 Exchange;R_EX_cpd00220_e0:Riboflavin-e0 Exchange
TRUNC_100	Nitrosomonas europaea	Bacteria	CarveMe	1449	1452	3	3	0	3	0	0.206612	false	R_ASP1DC:Aspartate 1-decarboxylase;R_BZDH:Benzaldehyde dehydrogenase;R_PHPYROX:Phenylpyruvate oxidation chemical 
