Tool	VersionEvidence
gapseq	gapseq version: 2.1.0
gapseq DIAMOND	diamond version 2.2.4
GLPK	GLPSOL--GLPK LP/MIP Solver 5.0
CarveMe	1.6.6
CarveMe DIAMOND	diamond version 2.1.13
SCIP	SCIP version 10.0.3 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 8.0.3] [GitHash: d409edf9f6]
Prodigal	Prodigal V2.6.3: February, 2016
