Tool	Version	Executable
HUMAnN	3.9	${BIOBAKERY_ENV_PREFIX}/bin/humann
MetaPhlAn	4.2.5	${BIOBAKERY_ENV_PREFIX}/bin/metaphlan
Bowtie2	2.5.5	${BIOBAKERY_ENV_PREFIX}/bin/bowtie2
DIAMOND	2.2.4	${BIOBAKERY_ENV_PREFIX}/bin/diamond
Python	3.12.13	${BIOBAKERY_ENV_PREFIX}/bin/python
