Stage	Threads	WallSeconds	MaximumRSSKiB	MaximumRSSGiB
MetaPhlAn vJun23 prescreen	8	146.4	19663412	18.752490997314453
HUMAnN 3 full workflow	8	1861.48	6943024	6.6213836669921875
