Pathway	PathwayID	PathwayName	CommunityRPK	StrataRPKSum	RPKDifference	StrataToCommunityRatio	CommunityCPM	StrataCPMSum	CommunityRelativeAbundance	Coverage	Strata	DominantStratum	DominantFractionOfStrata
PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes)	PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)	15.1286998497	10.5270446178	4.601655231900001	0.6958327366121121	147.192	102.421	0.000147192	0.0631811598	1	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	1.0
ANAEROFRUCAT-PWY: homolactic fermentation	ANAEROFRUCAT-PWY	homolactic fermentation	15.1134858625	0.0	15.1134858625	0.0	147.044	0.0	0.000147044	0.0004172456	0		0.0
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	14.6811640231	0.0	14.6811640231	0.0	142.837	0.0	0.000142837	0.0278924073	0		0.0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	14.6711318306	0.0	14.6711318306	0.0	142.74	0.0	0.00014274	0.0004496024	0		0.0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	DAPLYSINESYN-PWY	L-lysine biosynthesis I	14.6055495045	0.0	14.6055495045	0.0	142.102	0.0	0.000142102	0.0004997884	0		0.0
PWY-7238: sucrose biosynthesis II	PWY-7238	sucrose biosynthesis II	14.5588711217	5.2236937532	9.335177368499998	0.35879799398828965	141.648	50.8229	0.000141648	0.0527138818	1	g__Thermotoga.s__Thermotoga_petrophila	1.0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	14.4516378386	0.0	14.4516378386	0.0	140.604	0.0	0.000140604	0.0253052224	0		0.0
PWY-8004: Entner-Doudoroff pathway I	PWY-8004	Entner-Doudoroff pathway I	14.412924146	0.0	14.412924146	0.0	140.228	0.0	0.000140228	0.0005013008	0		0.0
PWY-6160: 3-dehydroquinate biosynthesis II (archaea)	PWY-6160	3-dehydroquinate biosynthesis II (archaea)	14.2946243379	0.0	14.2946243379	0.0	139.077	0.0	0.000139077	0.0171457906	0		0.0
PWY-5209: methyl-coenzyme M oxidation to CO2	PWY-5209	methyl-coenzyme M oxidation to CO2	13.6399730072	5.7692119461	7.8707610611	0.4229635896680047	132.707	56.1304	0.000132707	0.0152051366	1	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	1.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	13.1953993986	9.192853129500001	4.002546269099998	0.6966710784423351	128.382	89.44	0.000128382	0.0260747936	2	g__Thermotoga.s__Thermotoga_petrophila	0.6431609430402789
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronosides degradation	13.1468675283	14.259625485699999	-1.1127579573999995	1.084640539277107	127.91	138.7361	0.00012791	0.0030566094	2	g__Thermotoga.s__Thermotoga_neapolitana	0.517630262590144
HSERMETANA-PWY: L-methionine biosynthesis III	HSERMETANA-PWY	L-methionine biosynthesis III	12.5484612604	0.0	12.5484612604	0.0	122.088	0.0	0.000122088	0.000350985	0		0.0
PWY-6270: isoprene biosynthesis I	PWY-6270	isoprene biosynthesis I	12.2427274621	0.0	12.2427274621	0.0	119.113	0.0	0.000119113	0.0002819691	0		0.0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	11.9989021332	0.0	11.9989021332	0.0	116.741	0.0	0.000116741	0.0003162426	0		0.0
PWY-7761: NAD salvage pathway II (PNC IV cycle)	PWY-7761	NAD salvage pathway II (PNC IV cycle)	11.8957948968	0.0	11.8957948968	0.0	115.738	0.0	0.000115738	0.0001715681	0		0.0
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	11.8563555369	0.0	11.8563555369	0.0	115.354	0.0	0.000115354	0.0003843519	0		0.0
GLUCONEO-PWY: gluconeogenesis I	GLUCONEO-PWY	gluconeogenesis I	11.8538299554	0.0	11.8538299554	0.0	115.329	0.0	0.000115329	1.868e-07	0		0.0
PWY-6797: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)	PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)	11.8485230153	0.0	11.8485230153	0.0	115.278	0.0	0.000115278	0.0021438403	0		0.0
PWY-7853: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)	PWY-7853	6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)	11.8485230153	0.0	11.8485230153	0.0	115.278	0.0	0.000115278	0.0021438403	0		0.0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	11.7175986782	8.609536306	3.108062372199999	0.7347526180443104	114.004	83.7647	0.000114004	0.0012770623	1	g__Caldicellulosiruptor.s__Caldicellulosiruptor_saccharolyticus	1.0
PWY-7560: methylerythritol phosphate pathway II	PWY-7560	methylerythritol phosphate pathway II	11.2856894842	0.0	11.2856894842	0.0	109.802	0.0	0.000109802	0.0002467338	0		0.0
PWY-5941: glycogen degradation II	PWY-5941	glycogen degradation II	10.8811679131	0.0	10.8811679131	0.0	105.866	0.0	0.000105866	5.63247e-05	0		0.0
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	PWY-8187	L-arginine degradation XIII (reductive Stickland reaction)	10.0908032736	0.0	10.0908032736	0.0	98.1764	0.0	9.81764e-05	5.7481e-05	0		0.0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	10.0421531029	0.0	10.0421531029	0.0	97.7031	0.0	9.77031e-05	2.89577e-05	0		0.0
PWY-5532: nucleoside and nucleotide degradation (archaea)	PWY-5532	nucleoside and nucleotide degradation (archaea)	9.8327821839	0.0	9.8327821839	0.0	95.6661	0.0	9.56661e-05	0.0004117196	0		0.0
PWY-5659: GDP-mannose biosynthesis	PWY-5659	GDP-mannose biosynthesis	9.744209732	0.0	9.744209732	0.0	94.8043	0.0	9.48043e-05	0.0001753783	0		0.0
PWY-6549: L-glutamine biosynthesis III	PWY-6549	L-glutamine biosynthesis III	9.6288004396	0.0	9.6288004396	0.0	93.6815	0.0	9.36815e-05	4.76229e-05	0		0.0
PWY-6269: superpathway of adenosylcobalamin salvage from cobinamide II	PWY-6269	superpathway of adenosylcobalamin salvage from cobinamide II	9.3188626002	0.0	9.3188626002	0.0	90.666	0.0	9.0666e-05	0.0003566485	0		0.0
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	PWY-5189	tetrapyrrole biosynthesis II (from glycine)	9.1722850872	0.0	9.1722850872	0.0	89.2399	0.0	8.92399e-05	0.0002108555	0		0.0
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	9.0924585606	0.0	9.0924585606	0.0	88.4632	0.0	8.84632e-05	0.000307359	0		0.0
RUMP-PWY: formaldehyde oxidation I	RUMP-PWY	formaldehyde oxidation I	8.5738434363	0.0	8.5738434363	0.0	83.4175	0.0	8.34175e-05	3.01426e-05	0		0.0
PWY-6349: CDP-archaeol biosynthesis	PWY-6349	CDP-archaeol biosynthesis	8.4445025071	5.8005387082	2.643963798899999	0.6869011766321347	82.1591	56.4352	8.21591e-05	0.0001064766	1	g__Methanothermus.s__Methanothermus_fervidus	1.0
GLYCOCAT-PWY: glycogen degradation I	GLYCOCAT-PWY	glycogen degradation I	8.1036286124	0.0	8.1036286124	0.0	78.8426	0.0	7.88426e-05	5.2386e-06	0		0.0
PWY-6350: archaetidylinositol biosynthesis	PWY-6350	archaetidylinositol biosynthesis	7.6783572563	5.4885975294	2.1897597269	0.7148140345901034	74.705	53.4002	7.4705e-05	7.26105e-05	1	g__Methanothermus.s__Methanothermus_fervidus	1.0
PWY-8112: factor 420 biosynthesis I (archaea)	PWY-8112	factor 420 biosynthesis I (archaea)	7.6061075756	6.3668987807	1.2392087949000006	0.8370771406290232	74.0021	61.9454	7.40021e-05	6.0141e-06	1	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	1.0
PWY-6731: starch degradation III	PWY-6731	starch degradation III	7.4658827913	0.0	7.4658827913	0.0	72.6378	0.0	7.26378e-05	1.87902e-05	0		0.0
PWY0-1477: ethanolamine utilization	PWY0-1477	ethanolamine utilization	7.1914038319	0.0	7.1914038319	0.0	69.9673	0.0	6.99673e-05	3.86933e-05	0		0.0
PWY-8131: 5'-deoxyadenosine degradation II	PWY-8131	5'-deoxyadenosine degradation II	6.9283095863	0.0	6.9283095863	0.0	67.4076	0.0	6.74076e-05	1.9758e-06	0		0.0
GALACTUROCAT-PWY: D-galacturonate degradation I	GALACTUROCAT-PWY	D-galacturonate degradation I	6.8589020744	0.0	6.8589020744	0.0	66.7323	0.0	6.67323e-05	2.5157e-06	0		0.0
PWY-5198: factor 420 biosynthesis II (mycobacteria)	PWY-5198	factor 420 biosynthesis II (mycobacteria)	6.6160620581	5.6122583416	1.0038037165000002	0.8482777658847607	64.3696	54.6033	6.43696e-05	5.0117e-06	1	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	1.0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	5.0276728262	0.0	5.0276728262	0.0	48.9157	0.0	4.89157e-05	8.7303e-06	0		0.0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	5.0125108629	0.0	5.0125108629	0.0	48.7682	0.0	4.87682e-05	5.84e-08	0		0.0
