Pathway	PathwayID	PathwayName	CommunityRPK	StrataRPKSum	RPKDifference	StrataToCommunityRatio	CommunityCPM	StrataCPMSum	CommunityRelativeAbundance	Coverage	Strata	DominantStratum	DominantFractionOfStrata
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	40.3270394232	21.4068976915	18.9201417317	0.5308323645297078	392.354	208.2741	0.000392354	0.9389656599	2	g__Thermotoga.s__Thermotoga_neapolitana	0.5783100169257891
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	39.5120640634	0.0	39.5120640634	0.0	384.425	0.0	0.000384425	0.7333095222	0		0.0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	37.852528359	12.0366991071	25.8158292519	0.31798930293220684	368.278	117.109	0.000368278	0.9185453863	1	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	1.0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	37.8109703249	21.8051564244	16.005813900499998	0.5766886233554407	367.874	212.1489	0.000367874	0.8203148169	2	g__Thermotoga.s__Thermotoga_neapolitana	0.5568586707826892
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	PWY-7851	coenzyme A biosynthesis II (eukaryotic)	37.2808849577	0.0	37.2808849577	0.0	362.717	0.0	0.000362717	0.8644343985	0		0.0
GLUTORN-PWY: L-ornithine biosynthesis I	GLUTORN-PWY	L-ornithine biosynthesis I	37.1889430931	0.0	37.1889430931	0.0	361.822	0.0	0.000361822	0.8104644662	0		0.0
PWY-6628: superpathway of L-phenylalanine biosynthesis	PWY-6628	superpathway of L-phenylalanine biosynthesis	35.5871328056	0.0	35.5871328056	0.0	346.238	0.0	0.000346238	0.7913643139	0		0.0
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	PYRIDNUCSYN-PWY	NAD de novo biosynthesis I (from aspartate)	35.5069509494	6.2965621884	29.210388761	0.17733322687642375	345.458	61.2611	0.000345458	0.7524101556	1	g__Caldicellulosiruptor.s__Caldicellulosiruptor_saccharolyticus	1.0
ARO-PWY: chorismate biosynthesis I	ARO-PWY	chorismate biosynthesis I	35.083384455	20.2141918063	14.8691926487	0.576175648966476	341.337	196.6695	0.000341337	0.828890492	2	g__Thermotoga.s__Thermotoga_neapolitana	0.5472437819627477
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	34.5739558951	13.0803564203	21.4935994748	0.37832975954463505	336.38	127.263	0.00033638	0.904115509	1	g__Thermotoga.s__Thermotoga_neapolitana	1.0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	34.0282713729	0.0	34.0282713729	0.0	331.071	0.0	0.000331071	0.6871669696	0		0.0
PWY-6700: queuosine biosynthesis I (de novo)	PWY-6700	queuosine biosynthesis I (de novo)	33.5899053594	11.5230491823	22.0668561771	0.3430509570958145	326.806	112.111	0.000326806	0.8630907205	1	g__Thermotoga.s__Thermotoga_neapolitana	1.0
PWY-6630: superpathway of L-tyrosine biosynthesis	PWY-6630	superpathway of L-tyrosine biosynthesis	33.3829691092	0.0	33.3829691092	0.0	324.793	0.0	0.000324793	0.7651451898	0		0.0
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	PWY-8178	pentose phosphate pathway (non-oxidative branch) II	32.5732702534	0.0	32.5732702534	0.0	316.915	0.0	0.000316915	0.7204642493	0		0.0
PWY-5686: UMP biosynthesis I	PWY-5686	UMP biosynthesis I	32.2295943174	7.6765116535	24.5530826639	0.23818207507984773	313.571	74.687	0.000313571	0.5065410379	2	g__Thermotoga.s__Thermotoga_neapolitana	0.5007031391853015
PWY-7790: UMP biosynthesis II	PWY-7790	UMP biosynthesis II	32.2295943174	14.9342019066	17.295392410799998	0.4633692177297241	313.571	145.29919999999998	0.000313571	0.5065410379	3	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	0.48597777762014494
PWY-6823: molybdopterin biosynthesis	PWY-6823	molybdopterin biosynthesis	31.0436976288	19.8118421924	11.2318554364	0.6381920874664128	302.033	192.7554	0.000302033	0.8255509418	2	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	0.6628346942636936
PWY0-1061: superpathway of L-alanine biosynthesis	PWY0-1061	superpathway of L-alanine biosynthesis	30.4601324187	0.0	30.4601324187	0.0	296.356	0.0	0.000296356	0.4648129299	0		0.0
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	PWY-7357	thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	30.4064127376	21.3571316299	9.0492811077	0.7023890589859083	295.833	207.7899	0.000295833	0.5962577812	3	g__Methanocaldococcus.s__Methanocaldococcus_jannaschii	0.41918323267092766
PWY-5981: CDP-diacylglycerol biosynthesis III	PWY-5981	CDP-diacylglycerol biosynthesis III	29.3262951077	8.0425531067	21.283742001	0.2742437487300714	285.324	78.2484	0.000285324	0.5757227663	1	g__Thermotoga.s__Thermotoga_petrophila	1.0
PWY-5667: CDP-diacylglycerol biosynthesis I	PWY-5667	CDP-diacylglycerol biosynthesis I	28.4777843136	7.3895490182	21.0882352954	0.2594846894275763	277.069	71.8951	0.000277069	0.5322806347	1	g__Thermotoga.s__Thermotoga_petrophila	1.0
PWY0-1319: CDP-diacylglycerol biosynthesis II	PWY0-1319	CDP-diacylglycerol biosynthesis II	28.4777843136	7.3895490182	21.0882352954	0.2594846894275763	277.069	71.8951	0.000277069	0.5322806347	1	g__Thermotoga.s__Thermotoga_petrophila	1.0
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	27.6197816705	0.0	27.6197816705	0.0	268.721	0.0	0.000268721	0.1208401322	0		0.0
PWY-1042: glycolysis IV	PWY-1042	glycolysis IV	27.5591029864	0.0	27.5591029864	0.0	268.131	0.0	0.000268131	0.4939352868	0		0.0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	27.3707084974	0.0	27.3707084974	0.0	266.298	0.0	0.000266298	0.541310444	0		0.0
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	27.3707084974	0.0	27.3707084974	0.0	266.298	0.0	0.000266298	0.541310444	0		0.0
PWY-6629: superpathway of L-tryptophan biosynthesis	PWY-6629	superpathway of L-tryptophan biosynthesis	27.1124554121	0.0	27.1124554121	0.0	263.785	0.0	0.000263785	0.0003867731	0		0.0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	26.7723457299	0.0	26.7723457299	0.0	260.476	0.0	0.000260476	0.1348183949	0		0.0
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	PWY-841	superpathway of purine nucleotides de novo biosynthesis I	26.4584182026	0.0	26.4584182026	0.0	257.422	0.0	0.000257422	0.0968027584	0		0.0
CALVIN-PWY: Calvin-Benson-Bassham cycle	CALVIN-PWY	Calvin-Benson-Bassham cycle	25.9316360522	0.0	25.9316360522	0.0	252.297	0.0	0.000252297	0.0674376777	0		0.0
