Label	WallSeconds	PeakRAMGiB	ExitStatus	Command	MeasurementStatus
drep-species95	191.08	0.325	0	conda run -n metagenome-drep-2026.07 dRep dereplicate /workspace/wechat/Metagenome/work/article45/drep/species95 -g /workspace/wechat/Metagenome/work/article45/genomes.txt --genomeInfo /workspace/wechat/Metagenome/work/article45/genome-info.csv -comp 50 -con 10 --S_algorithm fastANI -pa 0.90 -sa 0.95 -nc 0.30 -p 24 --gen_warnings	GNU time exact
drep-nearclone999	188.08	0.325	0	conda run -n metagenome-drep-2026.07 dRep dereplicate /workspace/wechat/Metagenome/work/article45/drep/nearclone999 -g /workspace/wechat/Metagenome/work/article45/genomes.txt --genomeInfo /workspace/wechat/Metagenome/work/article45/genome-info.csv -comp 50 -con 10 --S_algorithm fastANI -pa 0.90 -sa 0.999 -nc 0.30 -p 24 --gen_warnings	GNU time exact
