Branch	ANIThresholdPct	MinimumAlignmentFractionPct	InputGenomes	Clusters	Representatives	GenomesRemoved	SingletonClusters	MultiGenomeClusters	LargestCluster	RepresentativesFromArticle44
Species 95% ANI	95.0	30	124	24	24	100	0	24	6	16
Near-clone 99.9% ANI	99.9	30	124	25	25	99	1	24	6	16
