SampleID	1 peptide · 1% FDR	1 peptide · 5% FDR	2 peptides · 1% FDR	2 peptides · 5% FDR
MSMB4LXY	1215.0	1599	379	477
CSM7KON8	1269.0	1598	421	507
HSM7CZ2F	1732.0	2177	600	728
PSM7J19R	2745.0	3177	1090	1207
CSM5FZ4O	873.0	1240	257	344
ESM7F5BL	265.0	452	64	88
CSM5MCUU	2164.0	2553	843	935
ESM718SY	2559.0	2956	1036	1144
CSM5MCY8	769.0	1059	207	262
HSM7J4QJ	160.0	324	37	46
ESM5MEEG	402.0	614	107	149
HSMA33MZ	505.0	749	139	157
ESM5GEZ6	408.0	659	82	111
ESM5MEBU	1062.0	1334	427	475
CSM67UBN	990.0	1271	468	496
MSM6J2LL	174.0	346	33	47
HSM7J4Q7	1086.0	1511	266	366
PSMA263W	773.0	1087	241	271
CSM5FZ3T	567.0	831	209	253
PSM6XBSE	705.0	959	256	288
PSM7J12R	543.0	764	187	218
HSMA33L3	2364.0	2720	908	996
HSMA33MA	518.0	743	172	191
HSM7J4K8	928.0	1199	359	401
HSMA33OR	460.0	708	132	157
CSM7KOLE	549.0	806	167	226
CSM7KOMD	815.0	1067	258	301
MSM9VZFH	1853.0	2268	595	684
MSMAPC7J	2554.0	2931	1013	1120
MSM9VZH1	2604.0	3151	930	1124
HSM67VEA	1146.0	1489	368	434
MSM9VZF7	493.0	799	110	167
ESM9IEP5	2371.0	2840	894	1047
CSM67UEI	958.0	1272	308	386
CSM67UEA	419.0	621	93	144
PSM6XBQY	1238.0	1632	368	434
CSM79HLA	1424.0	1725	619	706
PSM6XBQM	1133.0	1416	439	476
PSM7J14L	200.0	372	61	81
PSM6XBSS	817.0	1131	191	279
PSM7J14T	1297.0	1648	477	532
CSM67UDN	1227.0	1491	587	647
HSM7J4JV	1601.0	1969	577	637
MSMA26BB	2119.0	2616	684	833
PSM6XBSI	976.0	1304	258	351
CSM7KOUF	1483.0	1907	455	572
CSM9X1ZU	2416.0	2855	973	1070
HSM67VEE	588.0	816	168	182
CSM79HM9	1884.0	2322	697	813
CSM9X22G	2704.0	3152	1108	1207
HSM7CYX2	359.0	606	106	119
HSM6XRTC	2217.0	2662	760	858
MSM6J2RC	766.0	1063	231	277
MSM79HA7	1472.0	1892	429	524
HSM5MD82	1609.0	2038	473	565
MSM6J2R2	2083.0	2462	775	854
HSM5MD6K	592.0	854	163	212
MSM6J2LB	1506.0	1852	534	599
HSMA33O5	937.0	1216	338	398
PSM6XBTZ	1167.0	1537	281	385
HSM5MD6U	1126.0	1427	373	425
CSM5MCU4	1073.0	1372	469	510
CSM67UEW	1163.0	1500	363	426
CSM5MCYO	1571.0	1941	587	658
