Feature	DNAPrevalence	RNAPrevalence	ProteinPrevalence	EC	Description	MinimumPrevalence	Selected
6.3.5.11: Cobyrinate a,c-diamide synthase (glutamine-hydrolyzing)	0.9838709677419355	0.8763440860215054	0.0	6.3.5.11	Cobyrinate a,c-diamide synthase (glutamine-hydrolyzing)	0.0	False
6.3.5.1: NAD(+) synthase (glutamine-hydrolyzing)	0.9623655913978495	0.8709677419354839	0.0	6.3.5.1	NAD(+) synthase (glutamine-hydrolyzing)	0.0	False
6.3.5.2: GMP synthase (glutamine-hydrolyzing)	0.9946236559139785	0.989247311827957	0.5483870967741935	6.3.5.2	GMP synthase (glutamine-hydrolyzing)	0.5483870967741935	True
6.3.5.3: Phosphoribosylformylglycinamidine synthase	0.9731182795698925	0.8064516129032258	0.7526881720430108	6.3.5.3	Phosphoribosylformylglycinamidine synthase	0.7526881720430108	True
6.3.5.4: Asparagine synthase (glutamine-hydrolyzing)	0.9838709677419355	0.8602150537634409	0.005376344086021506	6.3.5.4	Asparagine synthase (glutamine-hydrolyzing)	0.005376344086021506	False
6.3.5.5: Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	0.989247311827957	0.989247311827957	0.6881720430107527	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	0.6881720430107527	True
6.3.5.7: Glutaminyl-tRNA synthase (glutamine-hydrolyzing)	0.9946236559139785	0.9354838709677419	0.026881720430107527	6.3.5.7	Glutaminyl-tRNA synthase (glutamine-hydrolyzing)	0.026881720430107527	False
6.4.1.1: Pyruvate carboxylase	0.989247311827957	0.9623655913978495	0.2849462365591398	6.4.1.1	Pyruvate carboxylase	0.2849462365591398	True
6.4.1.2: Acetyl-CoA carboxylase	0.9946236559139785	0.9838709677419355	0.043010752688172046	6.4.1.2	Acetyl-CoA carboxylase	0.043010752688172046	False
6.4.1.3: Propionyl-CoA carboxylase	0.9408602150537635	0.8763440860215054	0.3010752688172043	6.4.1.3	Propionyl-CoA carboxylase	0.3010752688172043	True
6.5.1.2: DNA ligase (NAD(+))	0.9946236559139785	0.989247311827957	0.06989247311827956	6.5.1.2	DNA ligase (NAD(+))	0.06989247311827956	False
