Feature	DNAPrevalence	RNAPrevalence	ProteinPrevalence	EC	Description	MinimumPrevalence	Selected
1.2.1.79: Succinate-semialdehyde dehydrogenase (NADP(+))	0.3333333333333333	0.08064516129032258	0.0	1.2.1.79	Succinate-semialdehyde dehydrogenase (NADP(+))	0.0	False
1.2.1.9: Glyceraldehyde-3-phosphate dehydrogenase (NADP(+))	0.03763440860215054	0.021505376344086023	0.005376344086021506	1.2.1.9	Glyceraldehyde-3-phosphate dehydrogenase (NADP(+))	0.005376344086021506	False
1.2.4.1: Pyruvate dehydrogenase (acetyl-transferring)	0.478494623655914	0.22043010752688172	0.0913978494623656	1.2.4.1	Pyruvate dehydrogenase (acetyl-transferring)	0.0913978494623656	False
1.2.4.2: Oxoglutarate dehydrogenase (succinyl-transferring)	0.3225806451612903	0.23118279569892472	0.07526881720430108	1.2.4.2	Oxoglutarate dehydrogenase (succinyl-transferring)	0.07526881720430108	False
1.2.5.1: Pyruvate dehydrogenase (quinone)	0.489247311827957	0.20430107526881722	0.005376344086021506	1.2.5.1	Pyruvate dehydrogenase (quinone)	0.005376344086021506	False
1.2.7.1: Pyruvate synthase	0.9139784946236559	0.5860215053763441	0.021505376344086023	1.2.7.1	Pyruvate synthase	0.021505376344086023	False
1.2.7.3: 2-oxoglutarate synthase	0.967741935483871	0.9354838709677419	0.016129032258064516	1.2.7.3	2-oxoglutarate synthase	0.016129032258064516	False
1.2.7.8: Indolepyruvate ferredoxin oxidoreductase	0.978494623655914	0.9838709677419355	0.15591397849462366	1.2.7.8	Indolepyruvate ferredoxin oxidoreductase	0.15591397849462366	True
1.2.99.2: Carbon-monoxide dehydrogenase (acceptor)	0.9516129032258065	0.7795698924731183	0.4731182795698925	1.2.99.2	Carbon-monoxide dehydrogenase (acceptor)	0.4731182795698925	True
1.2.99.5: Formylmethanofuran dehydrogenase	0.12365591397849462	0.04838709677419355	0.0	1.2.99.5	Formylmethanofuran dehydrogenase	0.0	False
1.2.99.7: Aldehyde dehydrogenase (FAD-independent)	0.7795698924731183	0.489247311827957	0.3225806451612903	1.2.99.7	Aldehyde dehydrogenase (FAD-independent)	0.3225806451612903	True
1.21.4.1: D-proline reductase (dithiol)	0.20967741935483872	0.26881720430107525	0.021505376344086023	1.21.4.1	D-proline reductase (dithiol)	0.021505376344086023	False
1.21.4.2: Glycine reductase	0.5645161290322581	0.6182795698924731	0.06451612903225806	1.21.4.2	Glycine reductase	0.06451612903225806	False
1.21.4.3: Sarcosine reductase	0.43548387096774194	0.4032258064516129	0.0	1.21.4.3	Sarcosine reductase	0.0	False
1.21.4.4: Betaine reductase	0.45698924731182794	0.7365591397849462	0.0	1.21.4.4	Betaine reductase	0.0	False
1.3.1.12: Prephenate dehydrogenase	0.9946236559139785	0.8225806451612904	0.0	1.3.1.12	Prephenate dehydrogenase	0.0	False
1.3.1.14: Dihydroorotate dehydrogenase (NAD(+))	0.967741935483871	0.9408602150537635	0.12903225806451613	1.3.1.14	Dihydroorotate dehydrogenase (NAD(+))	0.12903225806451613	True
1.3.1.1: Dihydrouracil dehydrogenase (NAD(+))	0.4946236559139785	0.25806451612903225	0.0	1.3.1.1	Dihydrouracil dehydrogenase (NAD(+))	0.0	False
1.3.1.2: Dihydropyrimidine dehydrogenase (NADP(+))	0.43548387096774194	0.0913978494623656	0.03763440860215054	1.3.1.2	Dihydropyrimidine dehydrogenase (NADP(+))	0.03763440860215054	False
1.3.1.34: 2,4-dienoyl-CoA reductase (NADPH)	0.3064516129032258	0.026881720430107527	0.0	1.3.1.34	2,4-dienoyl-CoA reductase (NADPH)	0.0	False
1.3.1.74: 2-alkenal reductase (NAD(P)(+))	0.9623655913978495	0.8494623655913979	0.0	1.3.1.74	2-alkenal reductase (NAD(P)(+))	0.0	False
1.3.1.84: Acrylyl-CoA reductase (NADPH)	0.3924731182795699	0.13440860215053763	0.005376344086021506	1.3.1.84	Acrylyl-CoA reductase (NADPH)	0.005376344086021506	False
1.3.1.98: UDP-N-acetylmuramate dehydrogenase	0.989247311827957	0.9946236559139785	0.010752688172043012	1.3.1.98	UDP-N-acetylmuramate dehydrogenase	0.010752688172043012	False
1.3.1.9: Enoyl-[acyl-carrier-protein] reductase (NADH)	0.989247311827957	0.9838709677419355	0.10752688172043011	1.3.1.9	Enoyl-[acyl-carrier-protein] reductase (NADH)	0.10752688172043011	True
1.3.1.n3: Curcumin reductase	0.26881720430107525	0.06989247311827956	0.0	1.3.1.n3	Curcumin reductase	0.0	False
1.3.3.1: Transferred entry: 1.3.98.1	0.9193548387096774	0.8333333333333334	0.05913978494623656	1.3.3.1	Transferred entry: 1.3.98.1	0.05913978494623656	False
1.3.3.3: Coproporphyrinogen oxidase	0.44623655913978494	0.25268817204301075	0.005376344086021506	1.3.3.3	Coproporphyrinogen oxidase	0.005376344086021506	False
1.3.5.1: Succinate dehydrogenase (quinone)	0.9139784946236559	0.8978494623655914	0.34946236559139787	1.3.5.1	Succinate dehydrogenase (quinone)	0.34946236559139787	True
1.3.5.2: Dihydroorotate dehydrogenase (quinone)	0.9838709677419355	0.9516129032258065	0.0	1.3.5.2	Dihydroorotate dehydrogenase (quinone)	0.0	False
1.3.5.4: Fumarate reductase (quinol)	0.7258064516129032	0.5645161290322581	0.04838709677419355	1.3.5.4	Fumarate reductase (quinol)	0.04838709677419355	False
1.3.8.1: Short-chain acyl-CoA dehydrogenase	0.7580645161290323	0.6182795698924731	0.3817204301075269	1.3.8.1	Short-chain acyl-CoA dehydrogenase	0.3817204301075269	True
1.3.8.7: Medium-chain acyl-CoA dehydrogenase	0.010752688172043012	0.0	0.0	1.3.8.7	Medium-chain acyl-CoA dehydrogenase	0.0	False
1.3.99.1: Deleted entry	0.978494623655914	0.9086021505376344	0.5268817204301075	1.3.99.1	Deleted entry	0.5268817204301075	True
1.3.99.22: Coproporphyrinogen dehydrogenase	0.9946236559139785	0.9731182795698925	0.005376344086021506	1.3.99.22	Coproporphyrinogen dehydrogenase	0.005376344086021506	False
1.3.99.2: Transferred entry: 1.3.8.1	0.967741935483871	0.967741935483871	0.6881720430107527	1.3.99.2	Transferred entry: 1.3.8.1	0.6881720430107527	True
1.4.1.13: Glutamate synthase (NADPH)	0.9946236559139785	0.956989247311828	0.27419354838709675	1.4.1.13	Glutamate synthase (NADPH)	0.27419354838709675	True
1.4.1.14: Glutamate synthase (NADH)	0.978494623655914	0.8978494623655914	0.26344086021505375	1.4.1.14	Glutamate synthase (NADH)	0.26344086021505375	True
1.4.1.16: Diaminopimelate dehydrogenase	0.9838709677419355	0.9838709677419355	0.6559139784946236	1.4.1.16	Diaminopimelate dehydrogenase	0.6559139784946236	True
1.4.1.1: Alanine dehydrogenase	0.989247311827957	0.9731182795698925	0.3548387096774194	1.4.1.1	Alanine dehydrogenase	0.3548387096774194	True
1.4.1.2: Glutamate dehydrogenase	0.978494623655914	0.9731182795698925	0.8870967741935484	1.4.1.2	Glutamate dehydrogenase	0.8870967741935484	True
1.4.1.3: Glutamate dehydrogenase (NAD(P)(+))	0.9139784946236559	0.8978494623655914	0.8548387096774194	1.4.1.3	Glutamate dehydrogenase (NAD(P)(+))	0.8548387096774194	True
1.4.1.4: Glutamate dehydrogenase (NADP(+))	0.46236559139784944	0.24731182795698925	0.016129032258064516	1.4.1.4	Glutamate dehydrogenase (NADP(+))	0.016129032258064516	False
1.4.3.16: L-aspartate oxidase	0.989247311827957	0.989247311827957	0.10215053763440861	1.4.3.16	L-aspartate oxidase	0.10215053763440861	True
1.4.3.5: Pyridoxal 5'-phosphate synthase	0.9731182795698925	0.9623655913978495	0.005376344086021506	1.4.3.5	Pyridoxal 5'-phosphate synthase	0.005376344086021506	False
1.4.4.2: Glycine dehydrogenase (aminomethyl-transferring)	0.967741935483871	0.9247311827956989	0.532258064516129	1.4.4.2	Glycine dehydrogenase (aminomethyl-transferring)	0.532258064516129	True
1.5.1.20: Methylenetetrahydrofolate reductase (NAD(P)H)	0.989247311827957	0.9946236559139785	0.1989247311827957	1.5.1.20	Methylenetetrahydrofolate reductase (NAD(P)H)	0.1989247311827957	True
1.5.1.2: Pyrroline-5-carboxylate reductase	0.9946236559139785	0.9838709677419355	0.1774193548387097	1.5.1.2	Pyrroline-5-carboxylate reductase	0.1774193548387097	True
1.5.1.30: Flavin reductase (NADPH)	0.04838709677419355	0.010752688172043012	0.0	1.5.1.30	Flavin reductase (NADPH)	0.0	False
1.5.1.34: 6,7-dihydropteridine reductase	0.3817204301075269	0.1989247311827957	0.016129032258064516	1.5.1.34	6,7-dihydropteridine reductase	0.016129032258064516	False
1.5.1.38: FMN reductase (NADPH)	0.3817204301075269	0.04838709677419355	0.0	1.5.1.38	FMN reductase (NADPH)	0.0	False
1.5.1.3: Dihydrofolate reductase	0.989247311827957	0.9838709677419355	0.010752688172043012	1.5.1.3	Dihydrofolate reductase	0.010752688172043012	False
1.5.1.41: Riboflavin reductase (NAD(P)H)	0.41935483870967744	0.16666666666666666	0.0	1.5.1.41	Riboflavin reductase (NAD(P)H)	0.0	False
1.5.1.7: Saccharopine dehydrogenase (NAD(+), L-lysine-forming)	0.946236559139785	0.6344086021505376	0.08602150537634409	1.5.1.7	Saccharopine dehydrogenase (NAD(+), L-lysine-forming)	0.08602150537634409	False
1.5.3.1: Sarcosine oxidase	0.9247311827956989	0.5752688172043011	0.053763440860215055	1.5.3.1	Sarcosine oxidase	0.053763440860215055	False
1.5.98.1: Methylenetetrahydromethanopterin dehydrogenase	0.03763440860215054	0.03225806451612903	0.005376344086021506	1.5.98.1	Methylenetetrahydromethanopterin dehydrogenase	0.005376344086021506	False
1.5.98.2: 5,10-methylenetetrahydromethanopterin reductase	0.03225806451612903	0.04838709677419355	0.010752688172043012	1.5.98.2	5,10-methylenetetrahydromethanopterin reductase	0.010752688172043012	False
1.6.1.1: NAD(P)(+) transhydrogenase (Si-specific)	0.5268817204301075	0.3548387096774194	0.0	1.6.1.1	NAD(P)(+) transhydrogenase (Si-specific)	0.0	False
1.6.1.2: NAD(P)(+) transhydrogenase (Re/Si-specific)	0.8870967741935484	0.5483870967741935	0.0	1.6.1.2	NAD(P)(+) transhydrogenase (Re/Si-specific)	0.0	False
1.6.5.11: NADH dehydrogenase (quinone)	0.989247311827957	0.9946236559139785	0.08602150537634409	1.6.5.11	NADH dehydrogenase (quinone)	0.08602150537634409	False
1.6.5.2: NAD(P)H dehydrogenase (quinone)	0.5752688172043011	0.34408602150537637	0.15053763440860216	1.6.5.2	NAD(P)H dehydrogenase (quinone)	0.15053763440860216	True
1.6.5.3: NADH:ubiquinone reductase (H(+)-translocating)	0.978494623655914	0.946236559139785	0.03225806451612903	1.6.5.3	NADH:ubiquinone reductase (H(+)-translocating)	0.03225806451612903	False
1.6.5.5: NADPH:quinone reductase	0.6612903225806451	0.510752688172043	0.0	1.6.5.5	NADPH:quinone reductase	0.0	False
1.6.5.8: NADH:ubiquinone reductase (Na(+)-transporting)	0.989247311827957	0.9946236559139785	0.6182795698924731	1.6.5.8	NADH:ubiquinone reductase (Na(+)-transporting)	0.6182795698924731	True
1.7.1.13: PreQ(1) synthase	0.989247311827957	0.9838709677419355	0.021505376344086023	1.7.1.13	PreQ(1) synthase	0.021505376344086023	False
1.7.2.2: Nitrite reductase (cytochrome; ammonia-forming)	0.9838709677419355	0.967741935483871	0.03763440860215054	1.7.2.2	Nitrite reductase (cytochrome; ammonia-forming)	0.03763440860215054	False
1.7.2.3: Trimethylamine-N-oxide reductase (cytochrome c)	0.3548387096774194	0.11290322580645161	0.0	1.7.2.3	Trimethylamine-N-oxide reductase (cytochrome c)	0.0	False
1.7.99.1: Hydroxylamine reductase	0.9946236559139785	0.9731182795698925	0.10215053763440861	1.7.99.1	Hydroxylamine reductase	0.10215053763440861	True
1.7.99.4: Nitrate reductase	0.7311827956989247	0.3602150537634409	0.010752688172043012	1.7.99.4	Nitrate reductase	0.010752688172043012	False
1.8.1.2: Assimilatory sulfite reductase (NADPH)	0.7688172043010753	0.27419354838709675	0.0	1.8.1.2	Assimilatory sulfite reductase (NADPH)	0.0	False
1.8.1.4: Dihydrolipoyl dehydrogenase	0.989247311827957	0.9946236559139785	0.22580645161290322	1.8.1.4	Dihydrolipoyl dehydrogenase	0.22580645161290322	True
1.8.1.7: Glutathione-disulfide reductase	0.7258064516129032	0.4032258064516129	0.0	1.8.1.7	Glutathione-disulfide reductase	0.0	False
1.8.1.8: Protein-disulfide reductase	0.8763440860215054	0.7741935483870968	0.0	1.8.1.8	Protein-disulfide reductase	0.0	False
1.8.1.9: Thioredoxin-disulfide reductase	0.9946236559139785	0.9946236559139785	0.3763440860215054	1.8.1.9	Thioredoxin-disulfide reductase	0.3763440860215054	True
1.8.4.11: Peptide-methionine (S)-S-oxide reductase	0.967741935483871	0.9086021505376344	0.005376344086021506	1.8.4.11	Peptide-methionine (S)-S-oxide reductase	0.005376344086021506	False
1.8.4.14: L-methionine (R)-S-oxide reductase	0.40860215053763443	0.1774193548387097	0.0	1.8.4.14	L-methionine (R)-S-oxide reductase	0.0	False
1.8.4.8: Phosphoadenylyl-sulfate reductase (thioredoxin)	0.9032258064516129	0.2849462365591398	0.0	1.8.4.8	Phosphoadenylyl-sulfate reductase (thioredoxin)	0.0	False
1.8.5.3: Dimethylsulfoxide reductase	0.06989247311827956	0.03763440860215054	0.0	1.8.5.3	Dimethylsulfoxide reductase	0.0	False
1.8.98.1: CoB--CoM heterodisulfide reductase	0.7204301075268817	0.5376344086021505	0.010752688172043012	1.8.98.1	CoB--CoM heterodisulfide reductase	0.010752688172043012	False
1.8.99.3: Hydrogensulfite reductase	0.1827956989247312	0.41935483870967744	0.026881720430107527	1.8.99.3	Hydrogensulfite reductase	0.026881720430107527	False
1.97.1.4: [Formate-C-acetyltransferase]-activating enzyme	0.9946236559139785	0.989247311827957	0.005376344086021506	1.97.1.4	[Formate-C-acetyltransferase]-activating enzyme	0.005376344086021506	False
2.1.1.107: Uroporphyrinogen-III C-methyltransferase	0.9623655913978495	0.5	0.010752688172043012	2.1.1.107	Uroporphyrinogen-III C-methyltransferase	0.010752688172043012	False
2.1.1.132: Precorrin-6B C(5,15)-methyltransferase (decarboxylating)	0.9516129032258065	0.8440860215053764	0.0	2.1.1.132	Precorrin-6B C(5,15)-methyltransferase (decarboxylating)	0.0	False
2.1.1.13: Methionine synthase	0.9623655913978495	0.8118279569892473	0.010752688172043012	2.1.1.13	Methionine synthase	0.010752688172043012	False
2.1.1.144: Trans-aconitate 2-methyltransferase	0.5	0.10215053763440861	0.0	2.1.1.144	Trans-aconitate 2-methyltransferase	0.0	False
2.1.1.148: Thymidylate synthase (FAD)	0.967741935483871	0.7741935483870968	0.005376344086021506	2.1.1.148	Thymidylate synthase (FAD)	0.005376344086021506	False
2.1.1.14: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	0.9623655913978495	0.3655913978494624	0.13440860215053763	2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	0.13440860215053763	True
2.1.1.163: Demethylmenaquinone methyltransferase	0.989247311827957	0.9838709677419355	0.0	2.1.1.163	Demethylmenaquinone methyltransferase	0.0	False
2.1.1.172: 16S rRNA (guanine(1207)-N(2))-methyltransferase	0.6290322580645161	0.24193548387096775	0.0	2.1.1.172	16S rRNA (guanine(1207)-N(2))-methyltransferase	0.0	False
2.1.1.177: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase	0.989247311827957	0.9838709677419355	0.005376344086021506	2.1.1.177	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase	0.005376344086021506	False
2.1.1.181: 23S rRNA (adenine(1618)-N(6))-methyltransferase	0.9623655913978495	0.6989247311827957	0.010752688172043012	2.1.1.181	23S rRNA (adenine(1618)-N(6))-methyltransferase	0.010752688172043012	False
2.1.1.182: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	0.9946236559139785	0.989247311827957	0.021505376344086023	2.1.1.182	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	0.021505376344086023	False
2.1.1.190: 23S rRNA (uracil(1939)-C(5))-methyltransferase	0.9354838709677419	0.6720430107526881	0.0	2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase	0.0	False
2.1.1.192: 23S rRNA (adenine(2503)-C(2))-methyltransferase	0.9946236559139785	0.989247311827957	0.10752688172043011	2.1.1.192	23S rRNA (adenine(2503)-C(2))-methyltransferase	0.10752688172043011	True
2.1.1.193: 16S rRNA (uracil(1498)-N(3))-methyltransferase	0.989247311827957	0.989247311827957	0.0	2.1.1.193	16S rRNA (uracil(1498)-N(3))-methyltransferase	0.0	False
2.1.1.198: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase	0.9946236559139785	0.989247311827957	0.010752688172043012	2.1.1.198	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	0.010752688172043012	False
2.1.1.199: 16S rRNA (cytosine(1402)-N(4))-methyltransferase	0.9946236559139785	1.0	0.08602150537634409	2.1.1.199	16S rRNA (cytosine(1402)-N(4))-methyltransferase	0.08602150537634409	False
2.1.1.201: 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	0.9139784946236559	0.6935483870967742	0.0	2.1.1.201	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	0.0	False
2.1.1.207: tRNA (cytidine(34)-2'-O)-methyltransferase	0.989247311827957	0.946236559139785	0.005376344086021506	2.1.1.207	tRNA (cytidine(34)-2'-O)-methyltransferase	0.005376344086021506	False
2.1.1.228: tRNA (guanine(37)-N(1))-methyltransferase	0.9946236559139785	0.989247311827957	0.0	2.1.1.228	tRNA (guanine(37)-N(1))-methyltransferase	0.0	False
2.1.1.297: Peptide chain release factor N(5)-glutamine methyltransferase	0.989247311827957	0.989247311827957	0.005376344086021506	2.1.1.297	Peptide chain release factor N(5)-glutamine methyltransferase	0.005376344086021506	False
2.1.1.33: tRNA (guanine(46)-N(7))-methyltransferase	0.9946236559139785	0.989247311827957	0.03763440860215054	2.1.1.33	tRNA (guanine(46)-N(7))-methyltransferase	0.03763440860215054	False
2.1.1.37: DNA (cytosine-5-)-methyltransferase	0.9946236559139785	0.978494623655914	0.010752688172043012	2.1.1.37	DNA (cytosine-5-)-methyltransferase	0.010752688172043012	False
2.1.1.45: Thymidylate synthase	0.989247311827957	0.9946236559139785	0.05913978494623656	2.1.1.45	Thymidylate synthase	0.05913978494623656	False
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase	0.978494623655914	0.7741935483870968	0.026881720430107527	2.1.1.64	3-demethylubiquinol 3-O-methyltransferase	0.026881720430107527	False
2.1.1.72: Site-specific DNA-methyltransferase (adenine-specific)	0.989247311827957	0.989247311827957	0.03225806451612903	2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific)	0.03225806451612903	False
2.1.1.74: (FADH(2)-oxidizing)	0.9946236559139785	0.9247311827956989	0.016129032258064516	2.1.1.74	(FADH(2)-oxidizing)	0.016129032258064516	False
2.1.1.79: Cyclopropane-fatty-acyl-phospholipid synthase	0.7150537634408602	0.34946236559139787	0.005376344086021506	2.1.1.79	Cyclopropane-fatty-acyl-phospholipid synthase	0.005376344086021506	False
2.1.1.86: Tetrahydromethanopterin S-methyltransferase	0.03763440860215054	0.04838709677419355	0.005376344086021506	2.1.1.86	Tetrahydromethanopterin S-methyltransferase	0.005376344086021506	False
2.1.2.10: Aminomethyltransferase	0.989247311827957	0.9946236559139785	0.4731182795698925	2.1.2.10	Aminomethyltransferase	0.4731182795698925	True
2.1.2.11: 3-methyl-2-oxobutanoate hydroxymethyltransferase	0.989247311827957	0.9838709677419355	0.0	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.0	False
2.1.2.1: Glycine hydroxymethyltransferase	0.9946236559139785	0.9946236559139785	0.7258064516129032	2.1.2.1	Glycine hydroxymethyltransferase	0.7258064516129032	True
2.1.2.2: Phosphoribosylglycinamide formyltransferase	0.9946236559139785	0.989247311827957	0.010752688172043012	2.1.2.2	Phosphoribosylglycinamide formyltransferase	0.010752688172043012	False
2.1.2.3: Phosphoribosylaminoimidazolecarboxamide formyltransferase	0.978494623655914	0.9086021505376344	0.44623655913978494	2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase	0.44623655913978494	True
2.1.2.9: Methionyl-tRNA formyltransferase	0.9946236559139785	0.989247311827957	0.016129032258064516	2.1.2.9	Methionyl-tRNA formyltransferase	0.016129032258064516	False
2.1.3.2: Aspartate carbamoyltransferase	0.9946236559139785	0.9946236559139785	0.3333333333333333	2.1.3.2	Aspartate carbamoyltransferase	0.3333333333333333	True
2.1.3.3: Ornithine carbamoyltransferase	0.9946236559139785	0.978494623655914	0.3172043010752688	2.1.3.3	Ornithine carbamoyltransferase	0.3172043010752688	True
2.1.3.9: N-acetylornithine carbamoyltransferase	0.9193548387096774	0.9032258064516129	0.08602150537634409	2.1.3.9	N-acetylornithine carbamoyltransferase	0.08602150537634409	False
2.10.1.1: Molybdopterin molybdotransferase	0.43010752688172044	0.15591397849462366	0.0	2.10.1.1	Molybdopterin molybdotransferase	0.0	False
2.2.1.1: Transketolase	0.9946236559139785	0.989247311827957	0.6881720430107527	2.2.1.1	Transketolase	0.6881720430107527	True
2.2.1.2: Transaldolase	0.9946236559139785	0.9946236559139785	0.6290322580645161	2.2.1.2	Transaldolase	0.6290322580645161	True
2.2.1.6: Acetolactate synthase	0.9946236559139785	0.9946236559139785	0.10752688172043011	2.2.1.6	Acetolactate synthase	0.10752688172043011	True
2.2.1.7: 1-deoxy-D-xylulose-5-phosphate synthase	0.9946236559139785	0.9838709677419355	0.021505376344086023	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase	0.021505376344086023	False
2.2.1.9: synthase	0.989247311827957	0.9838709677419355	0.0	2.2.1.9	synthase	0.0	False
2.3.1.117: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0.9623655913978495	0.8548387096774194	0.021505376344086023	2.3.1.117	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0.021505376344086023	False
2.3.1.128: Ribosomal-protein-alanine N-acetyltransferase	0.989247311827957	0.6182795698924731	0.005376344086021506	2.3.1.128	Ribosomal-protein-alanine N-acetyltransferase	0.005376344086021506	False
2.3.1.129: Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	0.989247311827957	0.989247311827957	0.1827956989247312	2.3.1.129	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	0.1827956989247312	True
2.3.1.12: Dihydrolipoyllysine-residue acetyltransferase	0.6989247311827957	0.4946236559139785	0.08602150537634409	2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase	0.08602150537634409	False
2.3.1.169: CO-methylating acetyl-CoA synthase	0.46236559139784944	0.27956989247311825	0.026881720430107527	2.3.1.169	CO-methylating acetyl-CoA synthase	0.026881720430107527	False
2.3.1.16: Acetyl-CoA C-acyltransferase	0.6182795698924731	0.20967741935483872	0.0	2.3.1.16	Acetyl-CoA C-acyltransferase	0.0	False
2.3.1.174: 3-oxoadipyl-CoA thiolase	0.20430107526881722	0.06451612903225806	0.0	2.3.1.174	3-oxoadipyl-CoA thiolase	0.0	False
2.3.1.179: Beta-ketoacyl-[acyl-carrier-protein] synthase II	0.989247311827957	0.9946236559139785	0.5268817204301075	2.3.1.179	Beta-ketoacyl-[acyl-carrier-protein] synthase II	0.5268817204301075	True
2.3.1.180: Beta-ketoacyl-[acyl-carrier-protein] synthase III	0.9946236559139785	1.0	0.15053763440860216	2.3.1.180	Beta-ketoacyl-[acyl-carrier-protein] synthase III	0.15053763440860216	True
2.3.1.181: Lipoyl(octanoyl) transferase	0.989247311827957	0.9731182795698925	0.005376344086021506	2.3.1.181	Lipoyl(octanoyl) transferase	0.005376344086021506	False
2.3.1.18: Galactoside O-acetyltransferase	0.9247311827956989	0.42473118279569894	0.0	2.3.1.18	Galactoside O-acetyltransferase	0.0	False
2.3.1.193: tRNA(Met) cytidine acetyltransferase	0.6236559139784946	0.12903225806451613	0.0	2.3.1.193	tRNA(Met) cytidine acetyltransferase	0.0	False
2.3.1.19: Phosphate butyryltransferase	0.6720430107526881	0.44086021505376344	0.005376344086021506	2.3.1.19	Phosphate butyryltransferase	0.005376344086021506	False
2.3.1.222: Phosphate propanoyltransferase	0.989247311827957	0.9516129032258065	0.08064516129032258	2.3.1.222	Phosphate propanoyltransferase	0.08064516129032258	False
2.3.1.234: N(6)-L-threonylcarbamoyladenine synthase	0.989247311827957	0.989247311827957	0.1935483870967742	2.3.1.234	N(6)-L-threonylcarbamoyladenine synthase	0.1935483870967742	True
2.3.1.241: Kdo(2)-lipid IV(A) lauroyltransferase	0.6505376344086021	0.1774193548387097	0.0	2.3.1.241	Kdo(2)-lipid IV(A) lauroyltransferase	0.0	False
2.3.1.29: Glycine C-acetyltransferase	0.989247311827957	0.989247311827957	0.8763440860215054	2.3.1.29	Glycine C-acetyltransferase	0.8763440860215054	True
2.3.1.30: Serine O-acetyltransferase	0.989247311827957	0.9838709677419355	0.005376344086021506	2.3.1.30	Serine O-acetyltransferase	0.005376344086021506	False
2.3.1.39: [Acyl-carrier-protein] S-malonyltransferase	0.989247311827957	0.989247311827957	0.24731182795698925	2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase	0.24731182795698925	True
2.3.1.41: Beta-ketoacyl-[acyl-carrier-protein] synthase I	0.8924731182795699	0.6451612903225806	0.005376344086021506	2.3.1.41	Beta-ketoacyl-[acyl-carrier-protein] synthase I	0.005376344086021506	False
2.3.1.46: Homoserine O-succinyltransferase	0.989247311827957	0.9838709677419355	0.021505376344086023	2.3.1.46	Homoserine O-succinyltransferase	0.021505376344086023	False
2.3.1.47: 8-amino-7-oxononanoate synthase	0.989247311827957	0.6021505376344086	0.0967741935483871	2.3.1.47	8-amino-7-oxononanoate synthase	0.0967741935483871	False
2.3.1.48: Histone acetyltransferase	0.3924731182795699	0.11290322580645161	0.0	2.3.1.48	Histone acetyltransferase	0.0	False
2.3.1.50: Serine C-palmitoyltransferase	0.8333333333333334	0.7903225806451613	0.15591397849462366	2.3.1.50	Serine C-palmitoyltransferase	0.15591397849462366	True
2.3.1.51: 1-acylglycerol-3-phosphate O-acyltransferase	0.9946236559139785	0.9946236559139785	0.016129032258064516	2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase	0.016129032258064516	False
2.3.1.54: Formate C-acetyltransferase	0.978494623655914	0.9247311827956989	0.3817204301075269	2.3.1.54	Formate C-acetyltransferase	0.3817204301075269	True
2.3.1.61: Dihydrolipoyllysine-residue succinyltransferase	0.956989247311828	0.8172043010752689	0.10752688172043011	2.3.1.61	Dihydrolipoyllysine-residue succinyltransferase	0.10752688172043011	True
2.3.1.79: Maltose O-acetyltransferase	0.989247311827957	0.8763440860215054	0.0	2.3.1.79	Maltose O-acetyltransferase	0.0	False
2.3.1.88: Peptide alpha-N-acetyltransferase	0.026881720430107527	0.0	0.0	2.3.1.88	Peptide alpha-N-acetyltransferase	0.0	False
2.3.1.8: Phosphate acetyltransferase	0.9946236559139785	0.9731182795698925	0.6182795698924731	2.3.1.8	Phosphate acetyltransferase	0.6182795698924731	True
2.3.1.9: Acetyl-CoA C-acetyltransferase	0.989247311827957	0.9838709677419355	0.8655913978494624	2.3.1.9	Acetyl-CoA C-acetyltransferase	0.8655913978494624	True
2.3.1.n2: Phosphate acyltransferase	0.9946236559139785	0.9946236559139785	0.010752688172043012	2.3.1.n2	Phosphate acyltransferase	0.010752688172043012	False
2.3.2.2: Gamma-glutamyltransferase	0.7634408602150538	0.1774193548387097	0.0	2.3.2.2	Gamma-glutamyltransferase	0.0	False
