LayerPair	Subjects	MedianSpearmanRho	CILow	CIHigh
DNA–RNA	76	0.7307673229121173	0.7092130794121461	0.7510271497362146
DNA–Protein	76	0.10927148902866204	0.09751406043557474	0.13743456600269904
RNA–Protein	76	0.23774152898764994	0.2282097588544079	0.2544457038309529
