Threshold	ProteinTableRows	Profiles	DetectedProteinIDs	MedianDetectedPerSample	IQRLowDetectedPerSample	IQRHighDetectedPerSample	TotalReportedCounts
1 peptide · 1% FDR	35045	449	31876	1076.0	649.0	1738.0	1310576.0
1 peptide · 5% FDR	74721	450	66606	1413.5	906.25	2122.5	1589978.0
2 peptides · 1% FDR	11284	450	10469	373.0	190.0	644.0	926768.0
2 peptides · 5% FDR	12582	450	11666	447.0	238.0	726.25	1083447.0
