ThresholdA	ThresholdB	Intersection	Union	OnlyA	OnlyB	Jaccard
1 peptide · 1% FDR	1 peptide · 5% FDR	35045	74721	0	39676	0.4690113890338727
1 peptide · 1% FDR	2 peptides · 1% FDR	11283	35046	23762	1	0.3219482965245677
1 peptide · 1% FDR	2 peptides · 5% FDR	12501	35126	22544	81	0.3558902237658714
1 peptide · 5% FDR	2 peptides · 1% FDR	11283	74722	63438	1	0.15099970557533257
1 peptide · 5% FDR	2 peptides · 5% FDR	12582	74721	62139	0	0.16838639739832176
2 peptides · 1% FDR	2 peptides · 5% FDR	11283	12583	1	1299	0.8966860049272828
