Feature	EC	Description	LayerPair	Subjects	SpearmanRho	PValue	QValue	BH05
5.4.99.18: 5-(carboxyamino)imidazole ribonucleotide mutase	5.4.99.18	5-(carboxyamino)imidazole ribonucleotide mutase	DNA–Protein	76	-0.04014115259158661	0.7306345316861382	0.8176888588657633	False
5.4.99.5: Chorismate mutase	5.4.99.5	Chorismate mutase	DNA–Protein	76	0.22644493956282696	0.049181361994762605	0.10820958215040628	False
5.4.99.9: UDP-galactopyranose mutase	5.4.99.9	UDP-galactopyranose mutase	DNA–Protein	76	0.18886829603169175	0.10226520536175877	0.19322972937380986	False
5.99.1.2: DNA topoisomerase	5.99.1.2	DNA topoisomerase	DNA–Protein	76	-0.00783297814279131	0.9464578259655927	0.9620314087691267	False
5.99.1.3: DNA topoisomerase (ATP-hydrolyzing)	5.99.1.3	DNA topoisomerase (ATP-hydrolyzing)	DNA–Protein	76	0.27982807300873436	0.014358090235413946	0.03730906246915187	True
6.1.1.10: Methionine--tRNA ligase	6.1.1.10	Methionine--tRNA ligase	DNA–Protein	76	0.08369878436767314	0.47224020813922746	0.6021724299184406	False
6.1.1.11: Serine--tRNA ligase	6.1.1.11	Serine--tRNA ligase	DNA–Protein	76	0.07023517596904816	0.5465794748234032	0.6553969690511628	False
6.1.1.12: Aspartate--tRNA ligase	6.1.1.12	Aspartate--tRNA ligase	DNA–Protein	76	0.29534353516480716	0.009593991237123206	0.026467339461853878	True
6.1.1.14: Glycine--tRNA ligase	6.1.1.14	Glycine--tRNA ligase	DNA–Protein	76	0.1821950483619087	0.11520301770133151	0.21089369133724029	False
6.1.1.15: Proline--tRNA ligase	6.1.1.15	Proline--tRNA ligase	DNA–Protein	76	0.10100062144286744	0.38532147697497054	0.5300616342175519	False
6.1.1.16: Cysteine--tRNA ligase	6.1.1.16	Cysteine--tRNA ligase	DNA–Protein	76	0.19547532777007248	0.09060040618556127	0.17915719418648582	False
6.1.1.17: Glutamate--tRNA ligase	6.1.1.17	Glutamate--tRNA ligase	DNA–Protein	76	0.2706640553259502	0.01803920943188339	0.0459126975540516	True
6.1.1.18: Glutamine--tRNA ligase	6.1.1.18	Glutamine--tRNA ligase	DNA–Protein	76	0.34571253528267043	0.002222170440256426	0.007215195380091851	True
6.1.1.19: Arginine--tRNA ligase	6.1.1.19	Arginine--tRNA ligase	DNA–Protein	76	0.140787249403724	0.22510450038502908	0.35169792238373854	False
6.1.1.1: Tyrosine--tRNA ligase	6.1.1.1	Tyrosine--tRNA ligase	DNA–Protein	76	0.11313619187892239	0.33051301033935065	0.4690193617945102	False
6.1.1.20: Phenylalanine--tRNA ligase	6.1.1.20	Phenylalanine--tRNA ligase	DNA–Protein	76	0.17106327974688906	0.13954326424070967	0.2435832643493804	False
6.1.1.21: Histidine--tRNA ligase	6.1.1.21	Histidine--tRNA ligase	DNA–Protein	76	0.25735902604815686	0.024808593361311145	0.06097813134602646	False
6.1.1.22: Asparagine--tRNA ligase	6.1.1.22	Asparagine--tRNA ligase	DNA–Protein	76	0.12634391290046534	0.276793216150872	0.41134378992526405	False
6.1.1.2: Tryptophan--tRNA ligase	6.1.1.2	Tryptophan--tRNA ligase	DNA–Protein	76	-0.09616659299559324	0.40858613693350376	0.5482558878240382	False
6.1.1.3: Threonine--tRNA ligase	6.1.1.3	Threonine--tRNA ligase	DNA–Protein	76	0.12044592012826402	0.3000156955037543	0.43353916438179874	False
6.1.1.4: Leucine--tRNA ligase	6.1.1.4	Leucine--tRNA ligase	DNA–Protein	76	-0.1100090918443762	0.34413940116402425	0.4822841696597072	False
6.1.1.5: Isoleucine--tRNA ligase	6.1.1.5	Isoleucine--tRNA ligase	DNA–Protein	76	0.23053614316489665	0.045119958500322466	0.10171327787644122	False
6.1.1.6: Lysine--tRNA ligase	6.1.1.6	Lysine--tRNA ligase	DNA–Protein	76	0.30008239522551705	0.008446081730183309	0.0236310584578533	True
6.1.1.7: Alanine--tRNA ligase	6.1.1.7	Alanine--tRNA ligase	DNA–Protein	76	0.07877400466954884	0.4987824957572344	0.6246656970673935	False
6.1.1.9: Valine--tRNA ligase	6.1.1.9	Valine--tRNA ligase	DNA–Protein	76	0.17854491273788686	0.12279435846604708	0.22069418867815752	False
6.2.1.30: Phenylacetate--CoA ligase	6.2.1.30	Phenylacetate--CoA ligase	DNA–Protein	76	0.2353370685594202	0.04071134893590441	0.09283599511684561	False
6.2.1.5: Succinate--CoA ligase (ADP-forming)	6.2.1.5	Succinate--CoA ligase (ADP-forming)	DNA–Protein	76	0.011885253547298321	0.9188363636535274	0.9432290698893365	False
6.3.1.1: Aspartate--ammonia ligase	6.3.1.1	Aspartate--ammonia ligase	DNA–Protein	76	-0.240011779379144	0.03676833383715295	0.08582903963761443	False
6.3.1.2: Glutamate--ammonia ligase	6.3.1.2	Glutamate--ammonia ligase	DNA–Protein	76	0.2064081793360075	0.07362768644950142	0.15167687887377707	False
6.3.2.1: Pantoate--beta-alanine ligase (AMP-forming)	6.3.2.1	Pantoate--beta-alanine ligase (AMP-forming)	DNA–Protein	76	-0.002698442231009447	0.9815428801239005	0.9840372711788532	False
6.3.2.4: D-alanine--D-alanine ligase	6.3.2.4	D-alanine--D-alanine ligase	DNA–Protein	76	0.35222351020057396	0.0018062356870995591	0.005976963601522337	True
6.3.2.6: Phosphoribosylaminoimidazolesuccinocarboxamide synthase	6.3.2.6	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	DNA–Protein	76	0.2627479352610921	0.02184396536241205	0.054197763116173296	False
6.3.2.8: UDP-N-acetylmuramate--L-alanine ligase	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase	DNA–Protein	76	0.1525369427806729	0.1883552912111297	0.3061879992410525	False
6.3.2.9: UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	DNA–Protein	76	0.36473557628808323	0.0011979807767845826	0.004182331118951485	True
6.3.3.1: Phosphoribosylformylglycinamidine cyclo-ligase	6.3.3.1	Phosphoribosylformylglycinamidine cyclo-ligase	DNA–Protein	76	0.21209881869857175	0.06585960360346899	0.13768860015628695	False
6.3.4.13: Phosphoribosylamine--glycine ligase	6.3.4.13	Phosphoribosylamine--glycine ligase	DNA–Protein	76	0.06816719754303047	0.5584803843782212	0.665620881079179	False
6.3.4.2: CTP synthase (glutamine hydrolyzing)	6.3.4.2	CTP synthase (glutamine hydrolyzing)	DNA–Protein	76	0.34442235966247237	0.00231413519777837	0.0074830027501931705	True
6.3.4.3: Formate--tetrahydrofolate ligase	6.3.4.3	Formate--tetrahydrofolate ligase	DNA–Protein	76	-0.004420572838657678	0.9697680978130288	0.9759528433347955	False
6.3.4.4: Adenylosuccinate synthase	6.3.4.4	Adenylosuccinate synthase	DNA–Protein	76	0.20129127357398915	0.08122381602980047	0.16306766118959942	False
6.3.4.5: Argininosuccinate synthase	6.3.4.5	Argininosuccinate synthase	DNA–Protein	76	0.28881053001190016	0.011398738825536117	0.030800016895027385	True
6.3.5.2: GMP synthase (glutamine-hydrolyzing)	6.3.5.2	GMP synthase (glutamine-hydrolyzing)	DNA–Protein	76	0.38016474270467876	0.0007055636488437855	0.0026013538268119005	True
6.3.5.3: Phosphoribosylformylglycinamidine synthase	6.3.5.3	Phosphoribosylformylglycinamidine synthase	DNA–Protein	76	0.1739322892531517	0.1329278587149724	0.23568557421598477	False
6.3.5.5: Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	DNA–Protein	76	0.3064643516351368	0.007091129800231607	0.020139776112818593	True
6.4.1.1: Pyruvate carboxylase	6.4.1.1	Pyruvate carboxylase	DNA–Protein	76	0.23384135117619204	0.042044753219811305	0.09532560428284804	False
6.4.1.3: Propionyl-CoA carboxylase	6.4.1.3	Propionyl-CoA carboxylase	DNA–Protein	76	0.2022152808795683	0.07980784300153047	0.16145740545694243	False
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	RNA–Protein	76	0.12215538483334132	0.2931577393407356	0.42833603025896366	False
1.1.1.157: 3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	RNA–Protein	76	0.19030787551838171	0.09962877598017773	0.1908286682719137	False
1.1.1.205: IMP dehydrogenase	1.1.1.205	IMP dehydrogenase	RNA–Protein	76	-0.01680128911661833	0.8854587023397261	0.9290251544495265	False
1.1.1.262: 4-hydroxythreonine-4-phosphate dehydrogenase	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	RNA–Protein	76	0.19806225961645588	0.08632949940113563	0.17200498744317175	False
1.1.1.27: L-lactate dehydrogenase	1.1.1.27	L-lactate dehydrogenase	RNA–Protein	76	0.19072763467698506	0.09887012036636393	0.1902646950464906	False
1.1.1.35: 3-hydroxyacyl-CoA dehydrogenase	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	RNA–Protein	76	0.315319138995151	0.005528866009244025	0.015979030334408555	True
1.1.1.37: Malate dehydrogenase	1.1.1.37	Malate dehydrogenase	RNA–Protein	76	0.33318751037772676	0.0032709838602699324	0.010042047726665278	True
1.1.1.3: Homoserine dehydrogenase	1.1.1.3	Homoserine dehydrogenase	RNA–Protein	76	-0.010589492822216925	0.9276597837897417	0.9493172106486462	False
1.1.1.42: Isocitrate dehydrogenase (NADP(+))	1.1.1.42	Isocitrate dehydrogenase (NADP(+))	RNA–Protein	76	0.15539095109948015	0.18012393135021143	0.2954631638987876	False
1.1.1.44: Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	RNA–Protein	76	0.14551040045678898	0.2097714514666623	0.33234874539597703	False
1.1.1.49: Glucose-6-phosphate dehydrogenase (NADP(+))	1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+))	RNA–Protein	76	0.3759046544865443	0.0008187382155814579	0.003004578846947769	True
1.1.1.57: Fructuronate reductase	1.1.1.57	Fructuronate reductase	RNA–Protein	76	0.20311455704550085	0.07844870800739345	0.1595258521078181	False
1.1.1.58: Tagaturonate reductase	1.1.1.58	Tagaturonate reductase	RNA–Protein	76	0.09453139383459087	0.4166374587381901	0.556221581970274	False
1.1.1.69: Gluconate 5-dehydrogenase	1.1.1.69	Gluconate 5-dehydrogenase	RNA–Protein	76	-0.02317834589368345	0.8424646088966078	0.8982494275938157	False
1.1.1.77: Lactaldehyde reductase	1.1.1.77	Lactaldehyde reductase	RNA–Protein	76	0.09245494172734062	0.42699236338717494	0.5640032959422278	False
1.1.1.85: 3-isopropylmalate dehydrogenase	1.1.1.85	3-isopropylmalate dehydrogenase	RNA–Protein	76	0.07610546377941461	0.5134824379595124	0.6344422034811074	False
1.1.1.86: Ketol-acid reductoisomerase (NADP(+))	1.1.1.86	Ketol-acid reductoisomerase (NADP(+))	RNA–Protein	76	0.09721082945659436	0.40349240238179823	0.5432687806812949	False
1.11.1.15: Peroxiredoxin	1.11.1.15	Peroxiredoxin	RNA–Protein	76	0.2812524464327076	0.013848621759583776	0.03654368751943679	True
1.11.1.1: NADH peroxidase	1.11.1.1	NADH peroxidase	RNA–Protein	76	-0.14383743627190992	0.2151154132646258	0.3387692598726207	False
1.11.1.6: Catalase	1.11.1.6	Catalase	RNA–Protein	76	0.301187964063587	0.00819626643779099	0.023013716083334843	True
1.12.99.6: Hydrogenase (acceptor)	1.12.99.6	Hydrogenase (acceptor)	RNA–Protein	76	0.1558979128727963	0.1786895985762433	0.2943342239596158	False
1.15.1.1: Superoxide dismutase	1.15.1.1	Superoxide dismutase	RNA–Protein	76	0.12983355556303	0.2636339321202438	0.39545089818036566	False
1.15.1.2: Superoxide reductase	1.15.1.2	Superoxide reductase	RNA–Protein	76	0.020330594830502244	0.8616150870240928	0.9125024210228312	False
1.16.3.2: Bacterial non-heme ferritin	1.16.3.2	Bacterial non-heme ferritin	RNA–Protein	76	0.5107465247059526	2.4297481764823544e-06	1.546025251003692e-05	True
1.17.1.2: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	RNA–Protein	76	0.21308345456948022	0.06458523150150328	0.13552592461352683	False
1.17.7.3: (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	1.17.7.3	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	RNA–Protein	76	0.10585863484285347	0.36275910404936784	0.5039030512235056	False
1.2.1.11: Aspartate-semialdehyde dehydrogenase	1.2.1.11	Aspartate-semialdehyde dehydrogenase	RNA–Protein	76	-0.004719130466049869	0.9677273454858067	0.9751428807002573	False
1.2.1.12: Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	RNA–Protein	76	0.1368967874231032	0.2383103022331788	0.36368825621272355	False
1.2.1.38: N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase	RNA–Protein	76	-0.05418719898400205	0.6419989293907267	0.7405513966217593	False
1.2.7.8: Indolepyruvate ferredoxin oxidoreductase	1.2.7.8	Indolepyruvate ferredoxin oxidoreductase	RNA–Protein	76	0.22578091902046565	0.04986805435842697	0.10899139858393041	False
1.2.99.2: Carbon-monoxide dehydrogenase (acceptor)	1.2.99.2	Carbon-monoxide dehydrogenase (acceptor)	RNA–Protein	76	0.18186331158616448	0.11587763722019144	0.2115637350693724	False
1.2.99.7: Aldehyde dehydrogenase (FAD-independent)	1.2.99.7	Aldehyde dehydrogenase (FAD-independent)	RNA–Protein	76	0.28891085372547465	0.0113689347045777	0.030800016895027385	True
1.3.1.14: Dihydroorotate dehydrogenase (NAD(+))	1.3.1.14	Dihydroorotate dehydrogenase (NAD(+))	RNA–Protein	76	0.2685067356854462	0.019015011574232722	0.047932409367634564	True
1.3.1.9: Enoyl-[acyl-carrier-protein] reductase (NADH)	1.3.1.9	Enoyl-[acyl-carrier-protein] reductase (NADH)	RNA–Protein	76	0.03951325736077281	0.7346910747429184	0.8200725476066806	False
1.3.5.1: Succinate dehydrogenase (quinone)	1.3.5.1	Succinate dehydrogenase (quinone)	RNA–Protein	76	0.2805838664310659	0.014085778061602128	0.03680026122716582	True
1.3.8.1: Short-chain acyl-CoA dehydrogenase	1.3.8.1	Short-chain acyl-CoA dehydrogenase	RNA–Protein	76	-0.03781002810451031	0.7457311389588718	0.8287068572373941	False
1.3.99.1: Deleted entry	1.3.99.1	Deleted entry	RNA–Protein	76	0.039284140163986105	0.7361731102168808	0.8203963050298291	False
1.3.99.2: Transferred entry: 1.3.8.1	1.3.99.2	Transferred entry: 1.3.8.1	RNA–Protein	76	0.4290528856503573	0.0001100820725336347	0.00047986052612728055	True
1.4.1.13: Glutamate synthase (NADPH)	1.4.1.13	Glutamate synthase (NADPH)	RNA–Protein	76	0.1823092955419289	0.11497138654069071	0.21089369133724029	False
1.4.1.14: Glutamate synthase (NADH)	1.4.1.14	Glutamate synthase (NADH)	RNA–Protein	76	0.26488272844377664	0.020756023789816183	0.05182437585495243	False
1.4.1.16: Diaminopimelate dehydrogenase	1.4.1.16	Diaminopimelate dehydrogenase	RNA–Protein	76	0.2189321223625609	0.057420649253502355	0.12277748580220423	False
1.4.1.1: Alanine dehydrogenase	1.4.1.1	Alanine dehydrogenase	RNA–Protein	76	0.07398743650018774	0.525305072460017	0.6426331460908161	False
1.4.1.2: Glutamate dehydrogenase	1.4.1.2	Glutamate dehydrogenase	RNA–Protein	76	0.440634403899736	6.789459020011518e-05	0.00031697533531296375	True
1.4.1.3: Glutamate dehydrogenase (NAD(P)(+))	1.4.1.3	Glutamate dehydrogenase (NAD(P)(+))	RNA–Protein	76	0.08269684477154865	0.47757764266241365	0.6058018650492675	False
1.4.3.16: L-aspartate oxidase	1.4.3.16	L-aspartate oxidase	RNA–Protein	76	-0.08918408300905056	0.44359789671342464	0.5751120240213922	False
1.4.4.2: Glycine dehydrogenase (aminomethyl-transferring)	1.4.4.2	Glycine dehydrogenase (aminomethyl-transferring)	RNA–Protein	76	-0.0726091069967297	0.5330713832856746	0.6464440715448532	False
1.5.1.20: Methylenetetrahydrofolate reductase (NAD(P)H)	1.5.1.20	Methylenetetrahydrofolate reductase (NAD(P)H)	RNA–Protein	76	0.1213548749641718	0.29635625283113654	0.4308261802337581	False
1.5.1.2: Pyrroline-5-carboxylate reductase	1.5.1.2	Pyrroline-5-carboxylate reductase	RNA–Protein	76	-0.09094319062659749	0.43462272306636157	0.569630113786311	False
1.6.5.2: NAD(P)H dehydrogenase (quinone)	1.6.5.2	NAD(P)H dehydrogenase (quinone)	RNA–Protein	76	0.46618003923539597	2.19392292016563e-05	0.00011096187076991552	True
1.6.5.8: NADH:ubiquinone reductase (Na(+)-transporting)	1.6.5.8	NADH:ubiquinone reductase (Na(+)-transporting)	RNA–Protein	76	0.1610099286566956	0.16468892586001646	0.27788917453840095	False
1.7.99.1: Hydroxylamine reductase	1.7.99.1	Hydroxylamine reductase	RNA–Protein	76	0.07169957179895407	0.53822719832982	0.6493291429391865	False
1.8.1.4: Dihydrolipoyl dehydrogenase	1.8.1.4	Dihydrolipoyl dehydrogenase	RNA–Protein	76	0.07938966102471867	0.4954224745830744	0.6224336503917925	False
1.8.1.9: Thioredoxin-disulfide reductase	1.8.1.9	Thioredoxin-disulfide reductase	RNA–Protein	76	-0.12379417518022087	0.2866808349970216	0.42042970039526034	False
2.1.1.14: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	RNA–Protein	76	0.19375144823374474	0.09353769697285255	0.18404299977950292	False
2.1.1.192: 23S rRNA (adenine(2503)-C(2))-methyltransferase	2.1.1.192	23S rRNA (adenine(2503)-C(2))-methyltransferase	RNA–Protein	76	-0.12892228344239035	0.2670287772730701	0.39978312195152244	False
2.1.2.10: Aminomethyltransferase	2.1.2.10	Aminomethyltransferase	RNA–Protein	76	0.22794854664623565	0.047655115065844474	0.10569053275711641	False
2.1.2.1: Glycine hydroxymethyltransferase	2.1.2.1	Glycine hydroxymethyltransferase	RNA–Protein	76	0.1925580670577806	0.09561454133505734	0.18673235919148573	False
2.1.2.3: Phosphoribosylaminoimidazolecarboxamide formyltransferase	2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase	RNA–Protein	76	0.16612371416426838	0.15151010618949104	0.259309053760322	False
2.1.3.2: Aspartate carbamoyltransferase	2.1.3.2	Aspartate carbamoyltransferase	RNA–Protein	76	0.21473838817798535	0.06248828636391011	0.13182689289070876	False
2.1.3.3: Ornithine carbamoyltransferase	2.1.3.3	Ornithine carbamoyltransferase	RNA–Protein	76	0.35907501993510527	0.0014454722283659255	0.004937132416366732	True
2.2.1.1: Transketolase	2.2.1.1	Transketolase	RNA–Protein	76	-0.09886171514053663	0.3955159100693476	0.5372642713930358	False
2.2.1.2: Transaldolase	2.2.1.2	Transaldolase	RNA–Protein	76	0.2562178700286144	0.02547836642398408	0.06223662881895801	False
2.2.1.6: Acetolactate synthase	2.2.1.6	Acetolactate synthase	RNA–Protein	76	0.15889076634826663	0.17039128829962463	0.28527909377042854	False
2.3.1.129: Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	2.3.1.129	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	RNA–Protein	76	0.2023659959402545	0.07957875886140924	0.1614078168165858	False
2.3.1.179: Beta-ketoacyl-[acyl-carrier-protein] synthase II	2.3.1.179	Beta-ketoacyl-[acyl-carrier-protein] synthase II	RNA–Protein	76	0.2379512690564953	0.03846518466522446	0.08926185500253558	False
2.3.1.180: Beta-ketoacyl-[acyl-carrier-protein] synthase III	2.3.1.180	Beta-ketoacyl-[acyl-carrier-protein] synthase III	RNA–Protein	76	0.10155959177970408	0.38268347706043937	0.5278623486025991	False
2.3.1.234: N(6)-L-threonylcarbamoyladenine synthase	2.3.1.234	N(6)-L-threonylcarbamoyladenine synthase	RNA–Protein	76	0.04088092468024676	0.7258646637982011	0.8146617634947094	False
2.3.1.29: Glycine C-acetyltransferase	2.3.1.29	Glycine C-acetyltransferase	RNA–Protein	76	0.392688695697133	0.00045028354413691505	0.001716298146492879	True
2.3.1.39: [Acyl-carrier-protein] S-malonyltransferase	2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase	RNA–Protein	76	0.081226862976019	0.4854665268091046	0.6128529434438137	False
2.3.1.50: Serine C-palmitoyltransferase	2.3.1.50	Serine C-palmitoyltransferase	RNA–Protein	76	0.28418862475913925	0.012847540744217633	0.03413033551241654	True
2.3.1.54: Formate C-acetyltransferase	2.3.1.54	Formate C-acetyltransferase	RNA–Protein	76	-0.004824258358674935	0.9670088058824602	0.9751428807002573	False
2.3.1.61: Dihydrolipoyllysine-residue succinyltransferase	2.3.1.61	Dihydrolipoyllysine-residue succinyltransferase	RNA–Protein	76	0.13987986251923715	0.22813775836153857	0.35433206958120855	False
2.3.1.8: Phosphate acetyltransferase	2.3.1.8	Phosphate acetyltransferase	RNA–Protein	76	0.1213189953259134	0.29650014685289056	0.4308261802337581	False
2.3.1.9: Acetyl-CoA C-acetyltransferase	2.3.1.9	Acetyl-CoA C-acetyltransferase	RNA–Protein	76	0.4176255546361109	0.00017438430176539872	0.0007270203357656204	True
2.3.3.13: 2-isopropylmalate synthase	2.3.3.13	2-isopropylmalate synthase	RNA–Protein	76	0.0845896977825115	0.4675213920348255	0.5988220427199307	False
2.4.1.18: 1,4-alpha-glucan branching enzyme	2.4.1.18	1,4-alpha-glucan branching enzyme	RNA–Protein	76	-0.01421014603750595	0.9030303348012085	0.9383986645011176	False
2.4.1.1: Glycogen phosphorylase	2.4.1.1	Glycogen phosphorylase	RNA–Protein	76	-0.10481317496358744	0.36754485521087576	0.508759457476107	False
2.4.1.20: Cellobiose phosphorylase	2.4.1.20	Cellobiose phosphorylase	RNA–Protein	76	0.39061320755724716	0.00048567349795045013	0.0018160966345161383	True
2.4.1.211: 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	2.4.1.211	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	RNA–Protein	76	0.13315228901283835	0.251517581225928	0.37944048104638084	False
2.4.1.21: Starch synthase	2.4.1.21	Starch synthase	RNA–Protein	76	0.25327613822439343	0.027275973097878357	0.06621767007454162	False
2.4.1.25: 4-alpha-glucanotransferase	2.4.1.25	4-alpha-glucanotransferase	RNA–Protein	76	0.02364858210731498	0.83931082840302	0.8973119832113587	False
2.4.1.281: 4-O-beta-D-mannosyl-D-glucose phosphorylase	2.4.1.281	4-O-beta-D-mannosyl-D-glucose phosphorylase	RNA–Protein	76	0.21819182565971637	0.058290038572551404	0.12363129148855662	False
2.4.2.10: Orotate phosphoribosyltransferase	2.4.2.10	Orotate phosphoribosyltransferase	RNA–Protein	76	0.02633656040764767	0.8213330246523715	0.8816758591166274	False
2.4.2.14: Amidophosphoribosyltransferase	2.4.2.14	Amidophosphoribosyltransferase	RNA–Protein	76	0.02214971331286921	0.8493720119181021	0.9043920612731208	False
2.4.2.17: ATP phosphoribosyltransferase	2.4.2.17	ATP phosphoribosyltransferase	RNA–Protein	76	0.11719484522731305	0.3133450469356582	0.45032648821900606	False
2.4.2.1: Purine-nucleoside phosphorylase	2.4.2.1	Purine-nucleoside phosphorylase	RNA–Protein	76	0.08870355508971658	0.4460675161590383	0.5769627381139036	False
2.4.2.22: Xanthine phosphoribosyltransferase	2.4.2.22	Xanthine phosphoribosyltransferase	RNA–Protein	76	-0.007516361676990352	0.9486190570625863	0.9620314087691267	False
2.4.2.7: Adenine phosphoribosyltransferase	2.4.2.7	Adenine phosphoribosyltransferase	RNA–Protein	76	0.08912370925325082	0.4439077599860936	0.5751120240213922	False
2.4.2.9: Uracil phosphoribosyltransferase	2.4.2.9	Uracil phosphoribosyltransferase	RNA–Protein	76	0.030993807848410347	0.7904059178863826	0.8601220463169663	False
2.4.99.17: S-adenosylmethionine:tRNA ribosyltransferase-isomerase	2.4.99.17	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	RNA–Protein	76	0.16962829246765096	0.14294379973031876	0.247873973598289	False
2.5.1.47: Cysteine synthase	2.5.1.47	Cysteine synthase	RNA–Protein	76	-0.08956981498253092	0.4416210187214736	0.5751120240213922	False
2.5.1.49: O-acetylhomoserine aminocarboxypropyltransferase	2.5.1.49	O-acetylhomoserine aminocarboxypropyltransferase	RNA–Protein	76	-0.10065349929388302	0.386965147413574	0.5300616342175519	False
2.5.1.55: 3-deoxy-8-phosphooctulonate synthase	2.5.1.55	3-deoxy-8-phosphooctulonate synthase	RNA–Protein	76	0.10202693179454475	0.380486260849192	0.5257507177058012	False
2.5.1.6: Methionine adenosyltransferase	2.5.1.6	Methionine adenosyltransferase	RNA–Protein	76	0.09741290017757463	0.4025110312874257	0.5428738524543228	False
2.5.1.78: 6,7-dimethyl-8-ribityllumazine synthase	2.5.1.78	6,7-dimethyl-8-ribityllumazine synthase	RNA–Protein	76	0.18881160936921063	0.10237012278612487	0.19322972937380986	False
2.6.1.11: Acetylornithine transaminase	2.6.1.11	Acetylornithine transaminase	RNA–Protein	76	0.2263917831310279	0.04923604561723176	0.10820958215040628	False
2.6.1.1: Aspartate transaminase	2.6.1.1	Aspartate transaminase	RNA–Protein	76	0.04806821790114023	0.6800883972776257	0.7764748064594005	False
2.6.1.42: Branched-chain-amino-acid transaminase	2.6.1.42	Branched-chain-amino-acid transaminase	RNA–Protein	76	0.0910780951693584	0.43393869236056615	0.569630113786311	False
2.6.1.52: Phosphoserine transaminase	2.6.1.52	Phosphoserine transaminase	RNA–Protein	76	0.34266575529733423	0.0024448337340422168	0.007778120226448827	True
2.6.1.83: LL-diaminopimelate aminotransferase	2.6.1.83	LL-diaminopimelate aminotransferase	RNA–Protein	76	0.25178387542459213	0.028228098629212023	0.0679023470074643	False
2.7.1.11: 6-phosphofructokinase	2.7.1.11	6-phosphofructokinase	RNA–Protein	76	-0.05713187471522875	0.6239850837362455	0.7272145215183128	False
2.7.1.17: Xylulokinase	2.7.1.17	Xylulokinase	RNA–Protein	76	-0.287819472097116	0.011696831132757136	0.03139047538688905	True
2.7.1.30: Glycerol kinase	2.7.1.30	Glycerol kinase	RNA–Protein	76	0.3384506601580112	0.0027858283680727053	0.00875704614505723	True
2.7.1.40: Pyruvate kinase	2.7.1.40	Pyruvate kinase	RNA–Protein	76	0.19207390002304534	0.09646738075840809	0.18746986063641374	False
2.7.1.45: 2-dehydro-3-deoxygluconokinase	2.7.1.45	2-dehydro-3-deoxygluconokinase	RNA–Protein	76	0.5320194562591866	7.580200286068784e-07	5.388088311448892e-06	True
2.7.1.69: Protein-N(pi)-phosphohistidine--sugar phosphotransferase	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	RNA–Protein	76	0.13754850933639784	0.23606153873407626	0.3616554447790023	False
2.7.1.90: Diphosphate--fructose-6-phosphate 1-phosphotransferase	2.7.1.90	Diphosphate--fructose-6-phosphate 1-phosphotransferase	RNA–Protein	76	0.07301403035912252	0.530783922075796	0.645282765050544	False
2.7.2.1: Acetate kinase	2.7.2.1	Acetate kinase	RNA–Protein	76	-0.05591463077061332	0.6314056024828012	0.7317747518141252	False
2.7.2.3: Phosphoglycerate kinase	2.7.2.3	Phosphoglycerate kinase	RNA–Protein	76	0.012631665288506214	0.9137580804880349	0.9399675691069876	False
