Feature	EC	Description	LayerPair	Subjects	SpearmanRho	PValue	QValue	BH05
2.7.1.90: Diphosphate--fructose-6-phosphate 1-phosphotransferase	2.7.1.90	Diphosphate--fructose-6-phosphate 1-phosphotransferase	DNA–Protein	76	0.2279157375076361	0.04768799703616406	0.10569053275711641	False
2.7.2.1: Acetate kinase	2.7.2.1	Acetate kinase	DNA–Protein	76	0.23154462183952312	0.04416256698282913	0.09984030186089451	False
2.7.2.3: Phosphoglycerate kinase	2.7.2.3	Phosphoglycerate kinase	DNA–Protein	76	0.33375484453851817	0.00321528789046755	0.009909617756167567	True
2.7.2.4: Aspartate kinase	2.7.2.4	Aspartate kinase	DNA–Protein	76	0.15144075178426944	0.19158802709241496	0.3097601503604824	False
2.7.3.9: Phosphoenolpyruvate--protein phosphotransferase	2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	DNA–Protein	76	0.1110711729672079	0.3394725023083321	0.47829250771656073	False
2.7.4.22: UMP kinase	2.7.4.22	UMP kinase	DNA–Protein	76	0.2500822893621349	0.029347862905029498	0.06998921099667077	False
2.7.4.25: (d)CMP kinase	2.7.4.25	(d)CMP kinase	DNA–Protein	76	0.26605127880195256	0.020180343572221097	0.050546955804706174	False
2.7.4.3: Adenylate kinase	2.7.4.3	Adenylate kinase	DNA–Protein	76	0.2008411114340583	0.08192085483976098	0.16404963063089192	False
2.7.4.6: Nucleoside-diphosphate kinase	2.7.4.6	Nucleoside-diphosphate kinase	DNA–Protein	76	0.03080353246425019	0.7916635030334763	0.8601220463169663	False
2.7.6.1: Ribose-phosphate diphosphokinase	2.7.6.1	Ribose-phosphate diphosphokinase	DNA–Protein	76	0.1591434758620927	0.16970377259234323	0.284885694841189	False
2.7.7.12: UDP-glucose--hexose-1-phosphate uridylyltransferase	2.7.7.12	UDP-glucose--hexose-1-phosphate uridylyltransferase	DNA–Protein	76	0.0552354783594239	0.6355617598397784	0.7352759948879547	False
