Namespace	ProteinIDs	DetectedProteinIDs	ReportedCounts	DetectedEntries	ReportedCountShare
Taxon-prefixed reference	523	0	0.0	0	0.0
Contaminant namespace	10	8	41971.0	2192	0.045287493741691554
Generic accession	10515	10461	884797.0	194398	0.9547125062583084
Explicit host namespace	236	0	0.0	0	0.0
