task_id	platform	run_accession	rows	max_rss_kib	elapsed_seconds	filesystem_inputs	filesystem_outputs	output_sha256	status	scope
1	Illumina	ERR9765746	5000	17856	0.21	0	8960	ee7950af5a573334a21048a42b39687fa3deedda8ccffa828fd32751491eae9b	PASS	native local workflow smoke; not an assembler benchmark
2	ONT	ERR9765780	5000	17856	0.21	0	8960	39ee0169af3d379c2881ad7538bd0d64c816d215c61a35715ad2b5c091bcf974	PASS	native local workflow smoke; not an assembler benchmark
3	PacBio	ERR9765783	5000	17856	0.2	0	8960	96882ac3f792fc15152a2275e0fcb818a4b0ede8010955f6559dc85eee1fc477	PASS	native local workflow smoke; not an assembler benchmark
