task_id	phase	expected_action	observed_action	output_checksum_valid	status
1	first_run	COMPLETED	COMPLETED	True	PASS
2	first_run	COMPLETED	COMPLETED	True	PASS
3	first_run	COMPLETED	COMPLETED	True	PASS
1	second_run	SKIPPED	SKIPPED	True	PASS
2	second_run	SKIPPED	SKIPPED	True	PASS
3	second_run	SKIPPED	SKIPPED	True	PASS
