platform	run_accessions	compressed_bytes	compressed_gb_decimal	compressed_gib_binary	transfer_minutes_at_1_gbps	evidence_scope
Illumina	ERR9765746	3845199421	3.845199	3.581121	0.513	ENA-reported compressed source bytes
ONT	ERR9765780	3117261341	3.117261	2.903176	0.416	ENA-reported compressed source bytes
PacBio	ERR9765783	3982506052	3.982506	3.708998	0.531	ENA-reported compressed source bytes
