SGB_001.fna	SGB_001	QUERY_MAG
SGB_002.fna	SGB_002	QUERY_MAG
SGB_003.fna	SGB_003	QUERY_MAG
SGB_004.fna	SGB_004	QUERY_MAG
SGB_005.fna	SGB_005	QUERY_MAG
SGB_006.fna	SGB_006	QUERY_MAG
SGB_007.fna	SGB_007	QUERY_MAG
SGB_012.fna	SGB_012	QUERY_MAG
SGB_014.fna	SGB_014	QUERY_MAG
SGB_015.fna	SGB_015	QUERY_MAG
SGB_016.fna	SGB_016	QUERY_MAG
SGB_017.fna	SGB_017	QUERY_MAG
SGB_021.fna	SGB_021	QUERY_MAG
SGB_022.fna	SGB_022	QUERY_MAG
SGB_023.fna	SGB_023	QUERY_MAG
SGB_024.fna	SGB_024	QUERY_MAG
GCA_000018565.1	REF_GCA_000018565.1	REFERENCE
GCF_000010305.1	REF_GCF_000010305.1	REFERENCE
GCF_000010505.1	REF_GCF_000010505.1	REFERENCE
GCF_000016545.1	REF_GCF_000016545.1	REFERENCE
GCF_000016785.1	REF_GCF_000016785.1	REFERENCE
GCF_000018945.1	REF_GCF_000018945.1	REFERENCE
GCF_000019085.1	REF_GCF_000019085.1	REFERENCE
GCF_000020465.1	REF_GCF_000020465.1	REFERENCE
GCF_000020785.1	REF_GCF_000020785.1	REFERENCE
GCF_000021565.1	REF_GCF_000021565.1	REFERENCE
GCF_000196115.1	REF_GCF_000196115.1	REFERENCE
GCF_002952055.1	REF_GCF_002952055.1	REFERENCE
GCF_003968655.1	REF_GCF_003968655.1	REFERENCE
GCF_031191795.1	REF_GCF_031191795.1	REFERENCE
GCF_900167395.1	REF_GCF_900167395.1	REFERENCE
GCF_900456975.1	REF_GCF_900456975.1	REFERENCE
