Feature	Species	Samples	NonzeroSamples	NonzeroPrevalence	SamplesAtOrAbove0.01Pct	PrevalenceAtOrAbove0.01Pct	MaximumRelativeAbundance
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95	Firmicutes bacterium CAG 95	114	45	0.394736842105263	34	0.298245614035088	0.0143529
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	Anaerotruncus colihominis	114	45	0.394736842105263	27	0.236842105263158	0.0022959
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	Streptococcus gordonii	114	44	0.385964912280702	28	0.245614035087719	0.0064807
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	Holdemania filiformis	114	44	0.385964912280702	28	0.245614035087719	0.0026924
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	Streptococcus infantis	114	44	0.385964912280702	23	0.201754385964912	0.0007399
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	Actinomyces sp HMSC035G02	114	44	0.385964912280702	6	0.0526315789473684	0.0006477
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	Bacteroides plebeius	114	43	0.37719298245614	34	0.298245614035088	0.3232123
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens	Phascolarctobacterium succinatutens	114	43	0.37719298245614	39	0.342105263157895	0.0418359
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum	Clostridium symbiosum	114	43	0.37719298245614	29	0.254385964912281	0.0093636
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_309	Roseburia sp CAG 309	114	43	0.37719298245614	33	0.289473684210526	0.0026675
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	Rothia mucilaginosa	114	43	0.37719298245614	14	0.12280701754386	0.0016269
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	Romboutsia ilealis	114	43	0.37719298245614	14	0.12280701754386	0.0005561
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	Bifidobacterium pseudocatenulatum	114	42	0.368421052631579	26	0.228070175438596	0.1291589
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	Bifidobacterium dentium	114	42	0.368421052631579	26	0.228070175438596	0.0037266
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_lavalense	Clostridium lavalense	114	41	0.359649122807018	24	0.210526315789474	0.0093899
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	Streptococcus australis	114	41	0.359649122807018	22	0.192982456140351	0.0011665
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	Desulfovibrio piger	114	40	0.350877192982456	38	0.333333333333333	0.1613231
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum	Clostridium disporicum	114	40	0.350877192982456	35	0.307017543859649	0.0153642
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	Parabacteroides goldsteinii	114	40	0.350877192982456	35	0.307017543859649	0.0148728
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus	Coprobacter secundus	114	40	0.350877192982456	32	0.280701754385965	0.005054
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops	Alistipes inops	114	39	0.342105263157895	34	0.298245614035088	0.0117751
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis	Turicibacter sanguinis	114	39	0.342105263157895	30	0.263157894736842	0.0102401
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	Holdemanella biformis	114	38	0.333333333333333	35	0.307017543859649	0.1032182
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium	Phascolarctobacterium faecium	114	38	0.333333333333333	33	0.289473684210526	0.0264933
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis	Eisenbergiella massiliensis	114	38	0.333333333333333	23	0.201754385964912	0.0140812
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans	Gemella haemolysans	114	38	0.333333333333333	13	0.114035087719298	0.000443
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	Bacteroides nordii	114	37	0.324561403508772	23	0.201754385964912	0.0422005
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94	Firmicutes bacterium CAG 94	114	37	0.324561403508772	27	0.236842105263158	0.0130137
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalitalea|s__Faecalitalea_cylindroides	Faecalitalea cylindroides	114	36	0.315789473684211	28	0.245614035087719	0.2227469
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	Enterococcus faecalis	114	36	0.315789473684211	29	0.254385964912281	0.0833619
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_170	Firmicutes bacterium CAG 170	114	36	0.315789473684211	22	0.192982456140351	0.0101451
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	Streptococcus vestibularis	114	36	0.315789473684211	23	0.201754385964912	0.0100831
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_A12	Streptococcus sp A12	114	36	0.315789473684211	12	0.105263157894737	0.0003055
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	Bacteroides eggerthii	114	35	0.307017543859649	33	0.289473684210526	0.1462349
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251	Eubacterium sp CAG 251	114	35	0.307017543859649	30	0.263157894736842	0.1377924
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	Bacteroides clarus	114	35	0.307017543859649	30	0.263157894736842	0.0636284
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei	Solobacterium moorei	114	35	0.307017543859649	12	0.105263157894737	0.0094041
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	Actinomyces oris	114	35	0.307017543859649	8	0.0701754385964912	0.0006402
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	Bifidobacterium bifidum	114	34	0.298245614035088	27	0.236842105263158	0.1088382
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	Bacteroides finegoldii	114	34	0.298245614035088	32	0.280701754385965	0.1079015
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus	Butyrivibrio crossotus	114	33	0.289473684210526	27	0.236842105263158	0.3195609
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_asparagiforme	Clostridium asparagiforme	114	33	0.289473684210526	17	0.149122807017544	0.0079658
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus	Bacteroides galacturonicus	114	31	0.271929824561404	21	0.184210526315789	0.0119166
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme	Clostridium spiroforme	114	31	0.271929824561404	24	0.210526315789474	0.0089827
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	Veillonella dispar	114	31	0.271929824561404	17	0.149122807017544	0.0028373
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	Enterococcus faecium	114	30	0.263157894736842	23	0.201754385964912	0.06934
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	Dialister invisus	114	30	0.263157894736842	26	0.228070175438596	0.0615292
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	Bacteroides salyersiae	114	30	0.263157894736842	24	0.210526315789474	0.0399367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	Peptostreptococcus stomatis	114	30	0.263157894736842	18	0.157894736842105	0.0328574
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_274	Eubacterium sp CAG 274	114	30	0.263157894736842	26	0.228070175438596	0.0252702
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis	Sellimonas intestinalis	114	30	0.263157894736842	28	0.245614035087719	0.021999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D5	Ruminococcaceae bacterium D5	114	30	0.263157894736842	14	0.12280701754386	0.0096904
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides	Leuconostoc mesenteroides	114	30	0.263157894736842	19	0.166666666666667	0.002734
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	Bacteroides intestinalis	114	29	0.254385964912281	25	0.219298245614035	0.0467624
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_238	Firmicutes bacterium CAG 238	114	29	0.254385964912281	23	0.201754385964912	0.0293583
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum	Gemella morbillorum	114	29	0.254385964912281	17	0.149122807017544	0.0133325
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa	Dielma fastidiosa	114	29	0.254385964912281	16	0.140350877192982	0.0053658
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_parvirubra	Sutterella parvirubra	114	29	0.254385964912281	18	0.157894736842105	0.0023023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans	Streptococcus mutans	114	28	0.245614035087719	16	0.140350877192982	0.0099854
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae_CAG_59	Clostridium bolteae CAG 59	114	28	0.245614035087719	13	0.114035087719298	0.0035842
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii	Lactobacillus delbrueckii	114	28	0.245614035087719	9	0.0789473684210526	0.0034934
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_253	Clostridium sp CAG 253	114	27	0.236842105263158	25	0.219298245614035	0.0188926
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis	Coprobacillus cateniformis	114	27	0.236842105263158	20	0.175438596491228	0.0150256
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica	Blautia hydrogenotrophica	114	27	0.236842105263158	17	0.149122807017544	0.0095294
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	Veillonella atypica	114	27	0.236842105263158	16	0.140350877192982	0.0066537
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides|s__Sanguibacteroides_justesenii	Sanguibacteroides justesenii	114	27	0.236842105263158	19	0.166666666666667	0.0047743
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	Bifidobacterium catenulatum	114	26	0.228070175438596	22	0.192982456140351	0.0782067
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	Bacteroides faecis	114	26	0.228070175438596	23	0.201754385964912	0.0593317
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257	Blautia sp CAG 257	114	26	0.228070175438596	22	0.192982456140351	0.0290961
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_242	Clostridium sp CAG 242	114	26	0.228070175438596	22	0.192982456140351	0.0261382
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella|s__Christensenella_minuta	Christensenella minuta	114	26	0.228070175438596	12	0.105263157894737	0.0015138
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans	Allisonella histaminiformans	114	25	0.219298245614035	14	0.12280701754386	0.0010608
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila	Aeriscardovia aeriphila	114	25	0.219298245614035	3	0.0263157894736842	0.0001361
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	Bifidobacterium animalis	114	24	0.210526315789474	17	0.149122807017544	0.0763104
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_alvei	Hafnia alvei	114	24	0.210526315789474	19	0.166666666666667	0.0287705
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_144	Bacteroides sp CAG 144	114	24	0.210526315789474	22	0.192982456140351	0.016014
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167	Clostridium sp CAG 167	114	24	0.210526315789474	20	0.175438596491228	0.0103969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus	Ruminococcus callidus	114	24	0.210526315789474	17	0.149122807017544	0.00494
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_vadensis	Victivallis vadensis	114	24	0.210526315789474	15	0.131578947368421	0.0024696
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	Haemophilus sp HMSC71H05	114	24	0.210526315789474	12	0.105263157894737	0.0021035
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_aldenense	Clostridium aldenense	114	24	0.210526315789474	10	0.087719298245614	0.0020833
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified|s__Desulfovibrionaceae_bacterium	Desulfovibrionaceae bacterium	114	23	0.201754385964912	18	0.157894736842105	0.0041164
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D16	Ruminococcaceae bacterium D16	114	23	0.201754385964912	8	0.0701754385964912	0.0032523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_brachy	Eubacterium brachy	114	23	0.201754385964912	4	0.0350877192982456	0.0007536
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium	Veillonella infantium	114	23	0.201754385964912	9	0.0789473684210526	0.0005093
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_sp_CAG_318	Butyrivibrio sp CAG 318	114	22	0.192982456140351	20	0.175438596491228	0.0758882
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279	Prevotella sp CAG 279	114	22	0.192982456140351	20	0.175438596491228	0.0554757
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme	Clostridium clostridioforme	114	22	0.192982456140351	16	0.140350877192982	0.0525533
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_CAG_317	Dorea sp CAG 317	114	22	0.192982456140351	20	0.175438596491228	0.0183416
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_OM08_24	Eubacterium sp OM08 24	114	22	0.192982456140351	15	0.131578947368421	0.0055417
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	Actinomyces graevenitzii	114	22	0.192982456140351	2	0.0175438596491228	0.0001773
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_milleri	Streptococcus milleri	114	21	0.184210526315789	8	0.0701754385964912	0.0005823
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	Actinomyces naeslundii	114	21	0.184210526315789	1	0.0087719298245614	0.0001131
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	Actinomyces sp oral taxon 181	114	21	0.184210526315789	3	0.0263157894736842	0.0001107
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_303	Roseburia sp CAG 303	114	20	0.175438596491228	18	0.157894736842105	0.0186539
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified|s__Eubacteriaceae_bacterium_CHKCI005	Eubacteriaceae bacterium CHKCI005	114	20	0.175438596491228	6	0.0526315789473684	0.0003141
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_saccharolyticum	Clostridium saccharolyticum	114	19	0.166666666666667	12	0.105263157894737	0.0351608
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum	Eubacterium limosum	114	19	0.166666666666667	11	0.0964912280701754	0.0073414
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae	Atopobium rimae	114	19	0.166666666666667	2	0.0175438596491228	0.0006436
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_timidum	Mogibacterium timidum	114	19	0.166666666666667	6	0.0526315789473684	0.0003135
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	Rothia dentocariosa	114	19	0.166666666666667	6	0.0526315789473684	0.0002236
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini	Acidaminococcus intestini	114	18	0.157894736842105	16	0.140350877192982	0.2617045
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_sp_CAG_266	Phascolarctobacterium sp CAG 266	114	18	0.157894736842105	15	0.131578947368421	0.0232713
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An131	Lachnoclostridium sp An131	114	18	0.157894736842105	11	0.0964912280701754	0.0103703
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes	Dialister pneumosintes	114	18	0.157894736842105	16	0.140350877192982	0.0100571
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum	Fusobacterium nucleatum	114	18	0.157894736842105	13	0.114035087719298	0.0046812
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paragasseri	Lactobacillus paragasseri	114	18	0.157894736842105	9	0.0789473684210526	0.0037042
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	Atopobium parvulum	114	18	0.157894736842105	8	0.0701754385964912	0.0005696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_lactatifermentans	Anaerotignum lactatifermentans	114	17	0.149122807017544	14	0.12280701754386	0.086349
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis_CAG_32	Bacteroides faecis CAG 32	114	17	0.149122807017544	12	0.105263157894737	0.051491
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	Paraprevotella clara	114	17	0.149122807017544	6	0.0526315789473684	0.0034598
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massiliomicrobiota|s__Massiliomicrobiota_timonensis	Massiliomicrobiota timonensis	114	17	0.149122807017544	11	0.0964912280701754	0.0029737
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium|s__Fretibacterium_fastidiosum	Fretibacterium fastidiosum	114	17	0.149122807017544	2	0.0175438596491228	0.0027986
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	Actinomyces sp S6 Spd3	114	17	0.149122807017544	3	0.0263157894736842	0.0003265
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_profusa	Olsenella profusa	114	17	0.149122807017544	4	0.0350877192982456	0.0001889
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans	Acidaminococcus fermentans	114	16	0.140350877192982	14	0.12280701754386	0.1831794
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii	Megasphaera elsdenii	114	16	0.140350877192982	14	0.12280701754386	0.0756573
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai	Catenibacterium mitsuokai	114	16	0.140350877192982	15	0.131578947368421	0.05418
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_1185	Prevotella sp CAG 1185	114	16	0.140350877192982	15	0.131578947368421	0.052618
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	Alistipes onderdonkii	114	16	0.140350877192982	12	0.105263157894737	0.0496421
