Asset	Records	ResiduesOrBases	CompressedSHA256
catalog_faa	93782	25497843	3db88ff78a548dddfc48caa8a17f04bcbb58dcafe2345d9dd31bc4e12f2a3569
catalog_fna	93782	76730130	56f0be1fa7230517318dd745deba55be204da473ee3b6abbc24bd56ccaf3ceb6
coassembly	18354	84811518	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a
pseudomonas	59	6342489	698d281e6146e58b763e1f3ca8999258f7a2a0661bef69ef6d0959ed8ad9768d
staphylococcus	4	2917469	dedc519dfa13b276676cece80acae4949ee37a532bfd25a4a6af6988c55188d1
