ResistanceMechanism	GenesWithLabel	FractionalGeneEquivalent	MOCK1ReadsFromGenesWithLabel	MOCK1FractionalRawReads	MOCK2ReadsFromGenesWithLabel	MOCK2FractionalRawReads
antibiotic target alteration	20.0	20.0	1080.0	1080.0	1116.0	1116.0
antibiotic efflux	14.0	14.0	576.0	576.0	629.0	629.0
antibiotic inactivation	2.0	2.0	26.0	26.0	33.0	33.0
