Label	Elapsed	PeakRAMGiB	FileSystemInputs	FileSystemOutputs	ExitStatus
rgi-catalog-protein	0:37.45	1.431	0	2353320	0
rgi-coassembly-contig	1:16.38	2.741	0	3675080	0
rgi-pseudomonas-control	0:10.68	0.51	0	331896	0
rgi-staphylococcus-control	0:09.98	0.343	0	132680	0
