Dataset	EvidenceTier	Hits	UniqueORFs
catalog	Perfect	0	0
catalog	Strict	36	36
catalog	Loose	6763	6763
coassembly	Perfect	0	0
coassembly	Strict	34	34
coassembly	Loose	6813	6803
pseudomonas	Perfect	4	4
pseudomonas	Strict	28	28
pseudomonas	Loose	710	710
staphylococcus	Perfect	7	7
staphylococcus	Strict	14	14
staphylococcus	Loose	217	217
