Asset	Release	Bytes	SHA256	Status
CARD canonical archive	4.0.1	4620455	d80520c51ef3bae1098cd00e0c3d1d013e5785f8d8df787dcc5f435927557df9	PASS
CARD card.json	4.0.1	42440566	dee4dcdb0d9c7f79107452d64211d816d1eab55289ddf8dc5f1e99ddfdc5e111	PASS
