Tool	VersionEvidence
RGI	6.0.8
DIAMOND	diamond version 2.2.4
BLAST+	"blastp: 2.16.0+
 Package: blast 2.16.0, build Mar 28 2025 16:30:45"
Pyrodigal	3.7.1
