Tool	Version	PackageVersion	Executable
Kraken2	2.17.1	2.17.1	${KRAKEN_ENV_PREFIX}/bin/kraken2
Bracken	3.0.1	3.1p1	${KRAKEN_ENV_PREFIX}/bin/bracken
Python	3.12.13	3.12.13	${KRAKEN_ENV_PREFIX}/bin/python
