Donor	Approach	ModelID	CompoundsBeforeGapfill	CompoundsAfterGapfill	GapfillAddedCompounds	BlockedReactions	BlockedReactionPercent	SourceAnomaly
Donor 1	Reference-guided	Gemmiger_formicilis_model (v1)	1037.0	1037.0	0.0		0.0	Published blocked-reaction count is missing while percent is reported
Donor 2	Reference-guided	gemmiger_formicilis_rast_annotation	1037.0	1037.0	0.0		0.0	Published blocked-reaction count is missing while percent is reported
Donor 2	MAG-guided	bin.139	901.0	842.0	-59.0	361.0	40.929705215419496	Published after-gapfill compound count is lower than before-gapfill count
