Donor	Metric	ReferenceMedian	MAGMedian	MAGMinusReference	MAGToReferenceRatio	Inference
Donor 1	CompoundsBeforeGapfill	937.5	886.5	-51.0	0.9456	Descriptive only; models are nested within two donors
Donor 1	CompoundsAfterGapfill	1003.0	933.0	-70.0	0.9302093718843469	Descriptive only; models are nested within two donors
Donor 1	GapfillAddedCompounds	53.0	48.0	-5.0	0.9056603773584906	Descriptive only; models are nested within two donors
Donor 1	BlockedReactionPercent	41.17959727110404	39.989775051124745	-1.1898222199792983	0.9711065115050505	Descriptive only; models are nested within two donors
Donor 2	CompoundsBeforeGapfill	1016.0	926.0	-90.0	0.9114173228346457	Descriptive only; models are nested within two donors
Donor 2	CompoundsAfterGapfill	1040.0	978.0	-62.0	0.9403846153846154	Descriptive only; models are nested within two donors
Donor 2	GapfillAddedCompounds	41.0	47.5	6.5	1.1585365853658536	Descriptive only; models are nested within two donors
Donor 2	BlockedReactionPercent	40.797824116047146	40.74074074074074	-0.05708337530640506	0.9986008230452674	Descriptive only; models are nested within two donors
