Donor	Approach	Models	CompoundsBeforeGapfillMedian	CompoundsBeforeGapfillQ1	CompoundsBeforeGapfillQ3	CompoundsAfterGapfillMedian	CompoundsAfterGapfillQ1	CompoundsAfterGapfillQ3	GapfillAddedCompoundsMedian	GapfillAddedCompoundsQ1	GapfillAddedCompoundsQ3	GapfillAddedFractionMedian	GapfillAddedFractionQ1	GapfillAddedFractionQ3	BlockedReactionPercentMedian	BlockedReactionPercentQ1	BlockedReactionPercentQ3
Donor 1	Reference-guided	34	937.5	805.0	1074.0	1003.0	867.0	1109.5	53.0	27.0	69.25	0.054381364790859026	0.025223908487833527	0.0715676589666853	41.17959727110404	38.85867535730048	42.70521030220078
Donor 1	MAG-guided	34	886.5	847.5	959.0	933.0	891.25	993.5	48.0	35.25	56.75	0.05194859955936456	0.03556614915610111	0.06362698483897013	39.989775051124745	38.26479063224967	41.747269908025054
Donor 2	Reference-guided	37	1016.0	919.0	1079.0	1040.0	967.0	1113.0	41.0	24.0	52.0	0.0400355871886121	0.02181818181818182	0.05096153846153846	40.797824116047146	38.628571428571426	42.282507015902716
Donor 2	MAG-guided	37	926.0	875.0	969.0	978.0	927.0	1023.0	47.5	38.5	54.5	0.04967117769762734	0.0384102835919644	0.06023799313893653	40.74074074074074	39.00804289544236	41.65792235047219
