Donor	LongitudinalSamples	Weeks	DetectedMetabolites	MetabolitesWithKEGGID	AdditionalSynonymousKEGGIDs	KEGGIDsSearched	KEGGAnnotatedFraction	ValidationTransform	BiologicalOriginBoundary
Donor 1	4	24;26;34;40	1348	489	34	523	0.36275964391691395	Presence/absence per donor before imputation	Microbial + host + diet + other biota
Donor 2	7	20;22;31;33;41;42;70	1190	453	35	488	0.380672268907563	Presence/absence per donor before imputation	Microbial + host + diet + other biota
